NumPCs,BRKG_BIOMASS,CLMB_BIOMASS,FRMI_BIOMASS,KBSM_BIOMASS,KING_BIOMASS,LINC_BIOMASS,PKLE_BIOMASS,STIL_BIOMASS,TMPL_BIOMASS,BRKG_REGR,CLMB_REGR,FRMI_REGR,KBSM_REGR,KING_REGR,LINC_REGR,OVTN_REGR,PKLE_REGR,STIL_REGR,TMPL_REGR,BRKG_LD_EOS,CLMB_LD_EOS,FRMI_LD_EOS,KBSM_LD_EOS,KING_LD_EOS,LINC_LD_EOS,OVTN_LD_EOS,PKLE_LD_EOS,STIL_LD_EOS,TMPL_LD_EOS,BRKG_MOISTURE,CLMB_MOISTURE,FRMI_MOISTURE,KBSM_MOISTURE,KING_MOISTURE,LINC_MOISTURE,PKLE_MOISTURE,STIL_MOISTURE,TMPL_MOISTURE
0,1.470830822,5.398962723,3.530574915,5.121385475,5.2672233,3.304540973,6.68135859,6.547802272,6.102485857,1.850708506,1.059534233,2.38223547,2.312023677,1.655105761,1.156653704,1.502071741,4.009875223,1.147916685,3.208370072,2.738673536,2.582823895,1.718063119,1.896661194,2.817526196,2.101631725,3.478686415,2.252694327,1.015805973,2.65938519,3.91807313,3.517500366,4.144875932,6.017087987,0.965443826,3.443216153,2.711425468,2.516898254,1.88138151
1,1.713850041,5.885709654,3.204079664,5.684727842,4.253076274,3.742909633,6.423463254,6.307833414,5.8875182,1.988978415,1.148601714,2.118691762,2.401311409,1.49909181,1.162489475,1.64647722,4.031607215,0.874318724,3.102379915,1.041806239,2.073938366,0.82097496,1.23159112,2.374893791,1.4987893,3.304141904,2.167719078,0.998138364,2.408969776,4.209095132,3.730809336,4.03048439,6.759904244,1.026344095,3.783620068,2.618290259,3.061395461,1.876144824
2,1.365725746,1.473387962,1.571174358,1.747539015,1.141231784,1.222349132,1.225704414,1.055378204,1.336378987,1.292475231,0.883438102,1.123276764,0.983553594,0.94586365,0.998819532,1.351522107,1.260815731,0.937557767,1.048619961,1.154691782,1.013389431,0.898050566,1.000833044,0.971677323,0.994378352,1.19675027,1.19022804,1.112181614,1.039378265,1.189570644,1.119671928,1.123630051,1.823697033,1.03009181,1.130204583,1.072879976,1.376603481,1.299678896
3,1.166470892,1.292231183,1.010347375,1.371588198,1.191237637,1.152719221,1.235945963,1.079030354,1.106210509,0.971475728,0.893074095,1.015918354,0.976570281,0.96555519,1.006777496,1.091205206,1.015958903,0.697063114,1.021511918,1.019482254,0.946053693,0.899487691,1.014098553,0.987866258,1.002578108,1.206590021,1.174545595,0.954241311,1.068211371,1.164186033,1.136105,1.129222124,1.274338478,1.029873092,1.088336961,1.094455789,1.264277597,1.341316603
4,1.050310634,1.054166139,0.952120185,1.132133763,1.20289674,1.075504391,1.059656548,1.026705529,1.117673451,0.980613541,0.853036054,1.025462092,0.982183947,0.969612354,1.018195191,1.082207381,1.017432999,0.701826866,0.993102545,1.004800778,0.948387675,0.908184915,1.024272114,0.995701823,0.997591389,1.180532278,1.142430391,0.949928919,1.071840594,1.136209743,1.136704979,1.135667513,1.132059309,1.037454366,1.100374938,1.091208239,1.24720082,1.352069471
5,1.045878754,1.050415034,0.954139516,1.143681656,1.0886663,1.07460032,1.063613561,1.034667178,1.115477157,0.986144397,0.856405828,1.029313187,0.990823187,0.912055689,1.004576527,1.041972017,1.018847471,0.697094381,0.996836391,1.002784847,0.949361987,0.914113531,1.021782586,0.989712887,0.990102179,1.083403817,1.100501167,0.958732888,1.007759525,1.100603949,1.074066042,1.046031501,1.123300843,1.046635584,1.052097099,1.047785078,1.13585369,1.147072384
6,1.044961212,1.037834856,0.968363914,1.057625909,1.041796945,1.076319956,1.066495998,1.005189188,0.993905078,0.989362994,0.859081474,1.016088985,0.995516871,0.918155736,1.003533665,1.044728157,1.015360131,0.698839315,0.994520332,0.999531038,0.952099178,0.916040713,1.019062591,0.935976995,0.990285161,1.087446176,1.088921106,0.960702323,0.993874183,1.085198974,1.057648058,1.049169044,1.127129704,1.031974231,1.051924904,1.051816947,1.143371092,1.1539679
7,1.046742894,1.040244943,0.963908074,1.059833913,1.039067648,1.077025654,1.067398713,1.006241085,0.999393639,0.991517821,0.861402177,1.019668309,0.999769972,0.920900967,1.007340509,1.044041199,1.008713981,0.700305247,0.998186713,1.003680469,0.955296495,0.914486484,1.022162834,0.935731621,0.9932934,1.090497118,1.093031239,0.959185842,0.991668984,1.091775259,1.061953139,1.016025989,1.093754608,1.03598171,1.054653478,1.052876533,1.145368857,1.156472311
8,1.053461169,1.03908381,0.932077114,1.062259884,0.99899268,1.066749715,1.035697949,0.996763018,0.926274903,0.998200715,0.862984587,1.024920444,1.004379283,0.914329803,1.013233981,1.031547453,1.002206054,0.703872727,1.003185508,1.006374151,0.958466162,0.919151159,1.022129801,0.93854382,0.997073931,1.095571551,1.093247373,0.960954742,0.997582839,1.09111182,1.063921759,1.021097774,1.073319807,1.037747566,1.059358723,1.033099692,1.144981733,1.126273117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
