PLANT_ID,LIBRARY,LIB_CLIMATE,LIB_PHENO
J170.A,AOSTU,Y,Y
J190.A,AOSUO,Y,Y
J212.A,AOSWB,Y,Y
J217.A,AOSWH,Y,Y
J247.A,AOSXW,Y,Y
J248.A,AOSXX,Y,Y
J003.A,IEKY,N,Y
J005.A,IEKZ,Y,Y
J006.A,IELA,Y,Y
J008.A,IELB,Y,Y
J013.A,IELC,Y,Y
J016.A,IELD,Y,Y
J019.A,IELE,Y,Y
J024.A,IELG,N,Y
J026.A,IELH,Y,Y
J029.A,IELI,N,Y
J036.A,IELJ,Y,Y
J037.A,IELK,Y,Y
J041.A,IELL,Y,Y
J171.A,IELP,Y,Y
J172.A,IELQ,Y,Y
J186.A,IELR,Y,Y
J189.A,IELS,Y,Y
J193.A,IELT,Y,Y
J205.A,IELW,Y,Y
J208.A,IELX,Y,Y
J250.A,IEMA,Y,Y
J251.A,IEMB,Y,Y
J270.A,IEME,Y,Y
J273.A,IEMF,Y,Y
J276.A,IEMG,Y,Y
J279.A,IEMH,Y,Y
J280.A,IEMI,Y,Y
J294.A,IEMK,Y,Y
J295.A,IEML,Y,Y
J303.A,IEMM,Y,Y
J308.A,IEMN,Y,Y
J312.A,IEMP,Y,Y
J314.A,IEMQ,Y,Y
J318.A,IEMR,Y,Y
J319.A,IEMS,Y,Y
J324.A,IEMT,Y,Y
J326.A,IEMU,Y,Y
J329.A,IEMW,Y,Y
J330.A,IEMX,Y,Y
J331.A,IEMY,Y,Y
J337.A,IEMZ,Y,Y
J340.A,IENA,Y,Y
J343.A,IENB,Y,Y
J359.A,IENC,Y,Y
J390.A,IEND,Y,Y
J395.A,IENE,Y,Y
J403.A,IENF,Y,Y
J407.A,IENG,Y,Y
J424.A,IENH,Y,Y
J426.A,IENI,Y,Y
J463.A,IENK,Y,Y
J466.A,IENL,Y,Y
J477.A,IENN,Y,Y
J483.A,IENQ,Y,Y
J484.A,IENR,Y,Y
J490.A,IENT,Y,Y
J496.A,IENU,Y,Y
J497.A,IENW,Y,Y
J498.A,IENX,Y,Y
J500.A,IENZ,Y,Y
J501.A,IEPA,Y,Y
J502.A,IEPB,Y,Y
J503.A,IEPC,Y,Y
J504.A,IEPD,Y,Y
J514.A,IEPF,Y,Y
J516.A,IEPG,Y,Y
J522.A,IEPH,Y,Y
J525.A,IEPI,Y,Y
J530.A,IEPJ,Y,Y
J535.A,IEPL,Y,Y
J536.A,IEPM,Y,Y
J539.A,IEPN,Y,Y
J540.A,IEPP,Y,Y
J542.A,IEPQ,Y,Y
J574.A,IEPT,Y,Y
J576.A,IEPU,Y,Y
J577.A,IEPW,Y,Y
J578.A,IEPX,Y,Y
J018.A,IEXI,Y,Y
J022.A,IEXM,Y,Y
J173.A,IEXW,Y,Y
J175.A,IEXY,Y,Y
J181.A,IEYF,Y,Y
J185.A,IEYG,Y,Y
J192.A,IEYL,Y,Y
J249.C,IEYZ,Y,Y
J250.B,IEZA,Y,Y
J250.C,IEZB,Y,Y
J251.B,IEZC,Y,Y
J251.C,IEZD,Y,Y
J326.B,IEZE,Y,Y
J339.A,IEZF,Y,Y
J341.A,IEZG,Y,Y
J365.A,IEZI,Y,Y
J376.A,IEZJ,Y,Y
J376.B,IEZK,Y,Y
J378.A,IEZL,Y,Y
J385.B,IEZM,Y,Y
J386.A,IEZN,Y,Y
J393.B,IEZP,Y,Y
J403.B,IEZQ,Y,Y
J441.A,IEZS,Y,Y
J466.B,IEZT,Y,Y
J466.C,IEZU,Y,Y
J470.B,IEZW,Y,Y
J471.C,IEZZ,Y,Y
J477.C,IFAB,Y,Y
J481.C,IFAC,Y,Y
J482.A,IFAD,Y,Y
J482.B,IFAE,Y,Y
J484.B,IFAF,Y,Y
J488.A,IFAH,Y,Y
J488.B,IFAI,Y,Y
J490.C,IFAJ,Y,Y
J491.B,IFAK,Y,Y
J496.C,IFAM,Y,Y
J497.B,IFAN,Y,Y
J498.B,IFAQ,Y,Y
J498.C,IFAR,Y,Y
J499.A,IFAS,Y,Y
J499.C,IFAT,Y,Y
J500.B,IFAU,Y,Y
J500.C,IFAW,Y,Y
J502.C,IFAX,Y,Y
J504.C,IFAZ,Y,Y
J526.B,IFBA,Y,Y
J530.B,IFBB,Y,Y
J536.C,IFBC,Y,Y
J576.B,IFBD,Y,Y
J576.C,IFBE,Y,Y
J577.B,IFBF,Y,Y
J431.A,IGNF,Y,Y
J011.B,IGNG,N,Y
J386.C,IGNH,Y,Y
J182.A,IGNI,Y,Y
J086.B,IGNK,N,Y
J407.B,IGNL,Y,Y
J259.A,IGNM,Y,Y
J306.B,IGNN,Y,Y
J461.B,IGNP,Y,Y
J359.B,IGNQ,Y,Y
J516.C,IGNR,Y,Y
J335.A,IGNS,Y,Y
J483.B,IGNT,Y,Y
J378.B,IGNU,Y,Y
J534.A,IGNW,Y,Y
J409.B,IGNX,Y,Y
J433.B,IGNZ,Y,Y
J027.A,IGPA,Y,Y
J387.A,IGPB,Y,Y
J188.A,IGPC,Y,Y
J422.B,IGPD,Y,Y
J379.A,IGPF,Y,Y
J534.C,IGPG,Y,Y
J306.C,IGPH,Y,Y
J465.B,IGPI,Y,Y
J365.B,IGPJ,Y,Y
J517.A,IGPK,Y,Y
J351.B,IGPL,Y,Y
J483.C,IGPM,Y,Y
J427.A,IGPN,Y,Y
J169.A,IGPP,Y,Y
J415.B,IGPQ,Y,Y
J264.A,IGPR,Y,Y
J434.B,IGPS,Y,Y
J027.B,IGPT,Y,Y
J387.C,IGPU,Y,Y
J191.A,IGPW,Y,Y
J353.B,IGPX,Y,Y
J489.B,IGPY,Y,Y
J381.A,IGPZ,Y,Y
J537.B,IGQA,Y,Y
J307.A,IGQB,Y,Y
J469.A,IGQC,Y,Y
J371.A,IGQD,Y,Y
J521.A,IGQE,Y,Y
J393.A,IGQF,Y,Y
J194.A,IGQG,Y,Y
J427.B,IGQH,Y,Y
J416.B,IGQJ,Y,Y
J293.A,IGQK,Y,Y
J446.A,IGQL,N,Y
J028.C,IGQM,N,Y
J374.A,IGQN,Y,Y
J525.C,IGQP,Y,Y
J355.A,IGQQ,Y,Y
J489.C,IGQR,Y,Y
