Value,Estimate,SE,Phenotype,Subpop,iterations,sig_diff_zero,negative,
h2_MI,0.864653536,0.023312538,FL50,Gulf,50,TRUE,,
h2_MO,0.662110705,0.064565109,FL50,Gulf,50,TRUE,,
h2_TX2,0.970413758,0.004966825,FL50,Gulf,50,TRUE,,
r_MIMO,0.596312847,0.06935096,FL50,Gulf,50,TRUE,,
r_TX2MI,0.398575932,0.071595454,FL50,Gulf,50,TRUE,,
r_TX2MO,0.425331437,0.085752765,FL50,Gulf,50,TRUE,,
h2_MI,0.537876295,0.078126868,GR50,Gulf,50,TRUE,,
h2_MO,0.939372574,0.014546864,GR50,Gulf,50,TRUE,,
h2_TX2,0.850984956,0.026336026,GR50,Gulf,50,TRUE,,
r_MIMO,0.576384197,0.104686878,GR50,Gulf,50,TRUE,,
r_TX2MI,-0.322709846,0.123476487,GR50,Gulf,50,TRUE,TRUE,*
r_TX2MO,-0.380095507,0.089489814,GR50,Gulf,50,TRUE,TRUE,*
h2_MI,0.921230661,0.012208689,FL50,Gulf_and_Midwest,50,TRUE,,
h2_MO,0.724554349,0.04737297,FL50,Gulf_and_Midwest,50,TRUE,,
h2_TX2,0.962492596,0.005613786,FL50,Gulf_and_Midwest,50,TRUE,,
r_MIMO,0.750280755,0.037614269,FL50,Gulf_and_Midwest,50,TRUE,,
r_TX2MI,0.404592839,0.054016099,FL50,Gulf_and_Midwest,50,TRUE,,
r_TX2MO,0.477124289,0.058813323,FL50,Gulf_and_Midwest,50,TRUE,,
h2_MI,0.533175496,0.068745928,GR50,Gulf_and_Midwest,50,TRUE,,
h2_MO,0.900020741,0.022424427,GR50,Gulf_and_Midwest,50,TRUE,,
h2_TX2,0.822055688,0.029131068,GR50,Gulf_and_Midwest,50,TRUE,,
r_MIMO,0.532038283,0.090091063,GR50,Gulf_and_Midwest,50,TRUE,,
r_TX2MI,-0.332850443,0.113440795,GR50,Gulf_and_Midwest,50,TRUE,TRUE,*
r_TX2MO,-0.295660538,0.077401065,GR50,Gulf_and_Midwest,50,TRUE,TRUE,*
h2_MI,0.812141373,0.235538647,FL50,Midwest,50,TRUE,,
h2_MI,0.832812522,0.237280507,FL50,Midwest,150,TRUE,,
h2_MI,0.831428917,0.228756825,FL50,Midwest,2600,TRUE,,
h2_MO,0.768854908,0.103948976,FL50,Midwest,50,TRUE,,
h2_MO,0.757633206,0.111022683,FL50,Midwest,150,TRUE,,
h2_MO,0.755446741,0.108179204,FL50,Midwest,2600,TRUE,,
h2_TX2,0.740166625,0.306507684,FL50,Midwest,50,TRUE,,
h2_TX2,0.76360164,0.305199856,FL50,Midwest,150,TRUE,,
h2_TX2,0.275449867,0.454752577,FL50,Midwest,2600,,,
r_MIMO,0.838412446,0.092469153,FL50,Midwest,50,TRUE,,
r_MIMO,0.929754177,0.07343566,FL50,Midwest,150,TRUE,,
r_MIMO,0.940387144,0.070038094,FL50,Midwest,2600,TRUE,,
r_TX2MI,0.301292219,0.275035294,FL50,Midwest,50,,,
r_TX2MI,0.287834357,0.26605425,FL50,Midwest,150,,,
r_TX2MI,0.243451556,0.4880979,FL50,Midwest,2600,,,
r_TX2MO,0.394298551,0.226302979,FL50,Midwest,50,,,
r_TX2MO,0.484662259,0.212667661,FL50,Midwest,150,TRUE,,
r_TX2MO,0.556084703,0.474368908,FL50,Midwest,2600,,,
h2_MI,0.183519435,0.603024448,GR50,Midwest,50,,,
h2_MI,0.163049287,0.617213329,GR50,Midwest,150,,,
h2_MI,0.058767153,0.662882468,GR50,Midwest,2600,,,
h2_MO,0.771365741,0.181547464,GR50,Midwest,50,TRUE,,
h2_MO,0.789675447,0.158672801,GR50,Midwest,150,TRUE,,
h2_MO,0.822004669,0.109020526,GR50,Midwest,2600,TRUE,,
h2_TX2,0.550010464,0.257648908,GR50,Midwest,50,TRUE,,
h2_TX2,0.476478661,0.305459595,GR50,Midwest,150,,,
h2_TX2,0.157891429,0.399563559,GR50,Midwest,2600,,,
r_MIMO,0.224885673,0.744910542,GR50,Midwest,50,,,
r_MIMO,0.229290293,0.781189364,GR50,Midwest,150,,,
r_MIMO,0.304634832,1.595134704,GR50,Midwest,2600,,,
r_TX2MI,0.704159928,1.056381884,GR50,Midwest,50,,,
r_TX2MI,0.666543241,1.167314026,GR50,Midwest,150,,,
r_TX2MI,0.037329832,3.898246694,GR50,Midwest,2600,,,
r_TX2MO,-0.199251164,0.412894611,GR50,Midwest,50,,TRUE,
r_TX2MO,-0.23310789,0.46311352,GR50,Midwest,150,,TRUE,
r_TX2MO,-0.587277635,1.2270856,GR50,Midwest,2600,,TRUE,
