site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
BRKG,CGDD.12C,104,10.6M,1,2020-06-14,Atlantic,06.47.37,10,,,skip
BRKG,CGDD.12C,111,12.1M,12,2020-06-12,Midwest_Gulf,16.00.54,1,,,skip
BRKG,CGDD.12C,152,11.5M,10,2020-06-15,Atlantic_Gulf,17.06.36,,,,
BRKG,CGDD.12C,167,12.3M,7,2020-06-14,Midwest_Atlantic,21.43.18,10,nice,,
BRKG,CRAIN.5d,104,10.6M,0,2020-06-14,Atlantic,11.17.34,100,structure,,skip
BRKG,CRAIN.5d,111,12.1M,1,2020-06-12,Midwest_Gulf,22.07.56,10,nice,,
BRKG,CRAIN.5d,152,11.5M,1,2020-06-15,Atlantic_Gulf,23.10.21,,,,
BRKG,CRAIN.5d,167,12.3M,1,2020-06-15,Midwest_Atlantic,03.29.54,10,nice,,
BRKG,CRAIN,104,10.6M,1,2020-06-14,Atlantic,11.04.48,100,,,skip
BRKG,CRAIN,111,12.1M,8,2020-06-12,Midwest_Gulf,21.54.03,10,nice,,
BRKG,CRAIN,152,11.5M,15,2020-06-15,Atlantic_Gulf,22.56.24,,,,
BRKG,CRAIN,167,12.3M,5,2020-06-15,Midwest_Atlantic,03.15.56,100,nice,,
BRKG,EM1,109,10.6M,7,2020-06-14,Atlantic,15.34.55,10,nice,,
BRKG,EM1,139,12.1M,15,2020-06-13,Midwest_Gulf,04.10.32,1,nice,,
BRKG,EM1,172,12.3M,15,2020-06-15,Midwest_Atlantic,09.02.24,1,,,skip
BRKG,EM1,185,11.5M,13,2020-06-16,Atlantic_Gulf,05.13.12,,,,
BRKG,EM50,109,10.6M,7,2020-06-14,Atlantic,15.48.00,1,,,skip
BRKG,EM50,139,12.1M,8,2020-06-13,Midwest_Gulf,04.24.50,,structure,,skip
BRKG,EM50,172,12.3M,15,2020-06-15,Midwest_Atlantic,09.16.46,10,,,skip
BRKG,EM50,185,11.5M,13,2020-06-16,Atlantic_Gulf,05.27.10,,,,
BRKG,FL1,109,10.6M,3,2020-06-14,Atlantic,16.00.49,100,nice,,
BRKG,FL1,139,12.1M,15,2020-06-13,Midwest_Gulf,04.39.05,0,,,skip
BRKG,FL1,172,12.3M,5,2020-06-15,Midwest_Atlantic,09.31.20,100,nice,,
BRKG,FL1,185,11.5M,12,2020-06-16,Atlantic_Gulf,05.41.18,,,,
BRKG,FL50,109,10.6M,3,2020-06-14,Atlantic,09.34.42,100,nice,,
BRKG,FL50,135,12.1M,15,2020-06-12,Midwest_Gulf,19.48.44,0,,,skip
BRKG,FL50,172,12.3M,5,2020-06-15,Midwest_Atlantic,01.19.51,100,nice,,
BRKG,FL50,181,11.5M,12,2020-06-15,Atlantic_Gulf,20.50.30,,,,
BRKG,GR1,110,10.6M,3,2020-06-14,Atlantic,16.13.35,0,,,skip
BRKG,GR1,144,12.1M,3,2020-06-13,Midwest_Gulf,04.53.12,0,,,skip
BRKG,GR1,173,12.3M,2,2020-06-15,Midwest_Atlantic,09.45.49,10,nice,,
BRKG,GR1,191,11.5M,8,2020-06-16,Atlantic_Gulf,05.55.20,,,,
BRKG,GR100,131,11.5M,3,2020-06-16,Atlantic_Gulf,06.08.58,,,,
BRKG,GR100,160,12.3M,2,2020-06-15,Midwest_Atlantic,10.00.28,0,,,skip
BRKG,GR50,104,10.6M,3,2020-06-14,Atlantic,08.04.48,0,,,skip
BRKG,GR50,112,12.1M,3,2020-06-12,Midwest_Gulf,17.56.47,0,,,skip
BRKG,GR50,153,11.5M,7,2020-06-15,Atlantic_Gulf,18.58.19,,,,
BRKG,GR50,167,12.3M,2,2020-06-14,Midwest_Atlantic,23.24.39,10,nice,,
BRKG,PTT.12C,104,10.6M,1,2020-06-14,Atlantic,13.25.38,10,,,skip
BRKG,PTT.12C,111,12.1M,9,2020-06-13,Midwest_Gulf,01.20.15,1,,,skip
BRKG,PTT.12C,152,11.5M,8,2020-06-16,Atlantic_Gulf,02.24.10,,,,
BRKG,PTT.12C,167,12.3M,7,2020-06-15,Midwest_Atlantic,06.22.34,10,nice,,
CLMB,CGDD.12C,119,8.8M,9,2020-06-13,Midwest,11.57.03,10,nice,,
CLMB,CGDD.12C,148,10.3M,2,2020-06-13,Gulf,18.20.32,0,nice,,
CLMB,CGDD.12C,228,10.6M,7,2020-06-14,Atlantic,07.00.48,0,,,skip
CLMB,CGDD.12C,267,12.1M,15,2020-06-12,Midwest_Gulf,16.15.08,10,nice,,
CLMB,CGDD.12C,347,12.3M,15,2020-06-14,Midwest_Atlantic,21.57.44,100,nice,,
CLMB,CGDD.12C,376,11.5M,12,2020-06-15,Atlantic_Gulf,17.20.46,,,,
CLMB,CRAIN.5d,119,8.8M,3,2020-06-13,Midwest,14.03.03,0,,,skip
CLMB,CRAIN.5d,148,10.3M,1,2020-06-13,Gulf,22.07.53,0,,,skip
CLMB,CRAIN.5d,228,10.6M,1,2020-06-14,Atlantic,11.43.01,0,,,skip
CLMB,CRAIN.5d,267,12.1M,2,2020-06-12,Midwest_Gulf,22.36.08,0,nice,,
CLMB,CRAIN.5d,347,12.3M,5,2020-06-15,Midwest_Atlantic,03.58.50,0,nice,,
CLMB,CRAIN.5d,376,11.5M,3,2020-06-15,Atlantic_Gulf,23.38.03,,,,
