site,phe,indv,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot,qqplot,plot order,,key
BRKG,CGDD.12C,104,10.6M,1,2020-06-14,Atlantic,06.47.37,10,,,,drop,1,,drop = obvious population structure in qqplot
BRKG,CGDD.12C,111,12.1M,12,2020-06-12,Midwest_Gulf,16.00.54,1,,,,ok,2,,ok = close to expected line but does not have a signal bump at high -log10pvalues
BRKG,CGDD.12C,152,11.5M,10,2020-06-15,Atlantic_Gulf,17.06.36,,structure,,skip,drop,3,,iffy = far from expected line
BRKG,CGDD.12C,167,12.3M,7,2020-06-14,Midwest_Atlantic,21.43.18,10,nice,,,ok,4,,signal = signal bump in the highest -log10pvalues
BRKG,CRAIN.5d,104,10.6M,0,2020-06-14,Atlantic,11.17.34,100,structure,,skip,drop,5,,
BRKG,CRAIN.5d,111,12.1M,1,2020-06-12,Midwest_Gulf,22.07.56,10,nice,3N,,ok,6,,nice = at least one 'peaky' region with high -log10pvalues
BRKG,CRAIN.5d,152,11.5M,1,2020-06-15,Atlantic_Gulf,23.10.21,10,nice,3N,,iffy,7,,structure = many p-values at the same height on manhattan. Pop structure issue
BRKG,CRAIN.5d,167,12.3M,1,2020-06-15,Midwest_Atlantic,03.29.54,10,nice,"3N, 8K",,signal,8,,centromere = at least one 'peaky' region in a pericentromeric region
BRKG,CRAIN,104,10.6M,1,2020-06-14,Atlantic,11.04.48,100,,,,signal,9,,
BRKG,CRAIN,111,12.1M,8,2020-06-12,Midwest_Gulf,21.54.03,10,nice,,,signal,10,,
BRKG,CRAIN,152,11.5M,15,2020-06-15,Atlantic_Gulf,22.56.24,,structure,,skip,drop,11,,
BRKG,CRAIN,167,12.3M,5,2020-06-15,Midwest_Atlantic,03.15.56,100,nice,"1K, 9N",,signal,12,,
BRKG,EM1,109,10.6M,7,2020-06-14,Atlantic,15.34.55,10,nice,5N,,signal,13,,
BRKG,EM1,139,12.1M,15,2020-06-13,Midwest_Gulf,04.10.32,1,nice,5N,,signal,14,,
