path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,qqplot,peak info
analysis/gwas/GDD/QQplot,BRKG,CGDD.12C,Atlantic,104,10.6M,1,2020-06-14,06.47.37.png,10,,,
analysis/gwas/GDD/QQplot,BRKG,CGDD.12C,Midwest_Gulf,111,12.1M,12,2020-06-12,16.00.54.png,1,,,
analysis/gwas/GDD/QQplot,BRKG,CGDD.12C,Midwest_Atlantic,167,12.3M,7,2020-06-14,21.43.18.png,10,nice,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN.5d,Atlantic,104,10.6M,0,2020-06-14,11.17.34.png,100,structure,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN.5d,Midwest_Gulf,111,12.1M,1,2020-06-12,22.07.56.png,10,nice,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN.5d,Midwest_Atlantic,167,12.3M,1,2020-06-15,03.29.54.png,10,nice,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN,Atlantic,104,10.6M,1,2020-06-14,11.04.48.png,100,nice?,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN,Midwest_Gulf,111,12.1M,8,2020-06-12,21.54.03.png,10,nice,,
analysis/gwas/GDD/QQplot,BRKG,CRAIN,Midwest_Atlantic,167,12.3M,5,2020-06-15,03.15.56.png,100,nice,,
analysis/gwas/GDD/QQplot,BRKG,EM1,Atlantic,109,10.6M,7,2020-06-14,15.34.55.png,10,nice,,
analysis/gwas/GDD/QQplot,BRKG,EM1,Midwest_Gulf,139,12.1M,15,2020-06-13,04.10.32.png,1,nice,,
analysis/gwas/GDD/QQplot,BRKG,EM1,Midwest_Atlantic,172,12.3M,15,2020-06-15,09.02.24.png,1,,,
analysis/gwas/GDD/QQplot,BRKG,EM50,Atlantic,109,10.6M,7,2020-06-14,15.48.00.png,1,,,
analysis/gwas/GDD/QQplot,BRKG,EM50,Midwest_Gulf,139,12.1M,8,2020-06-13,04.24.50.png,NA,structure,,
analysis/gwas/GDD/QQplot,BRKG,EM50,Midwest_Atlantic,172,12.3M,15,2020-06-15,09.16.46.png,10,,,
analysis/gwas/GDD/QQplot,BRKG,FL1,Atlantic,109,10.6M,3,2020-06-14,16.00.49.png,100,nice,,
analysis/gwas/GDD/QQplot,BRKG,FL1,Midwest_Gulf,139,12.1M,15,2020-06-13,04.39.05.png,0,,,
