Effect,solution,std.error,z.ratio
manu_site_TX1,308.5184920507679,138.08063198226245,2.234335747321895
manu_site_TX2,361.7545004814257,137.22703292263097,2.636175196510909
manu_site_TX3,582.5043934327217,137.437131880105,4.238333450823731
manu_site_OK,74.15602782735851,139.1117663453806,0.5330679767464613
manu_site_MO,-315.3263423326436,137.65806726142225,-2.2906492049885965
manu_site_NE,-240.241612876439,139.40727472193757,-1.7233075774246795
manu_site_MI,-350.9064269244895,137.27383873053623,-2.556251286986347
manu_site_SD,-420.45903166029484,140.0055306468008,-3.003160158872642
"vm(PLANT_ID, k_full)_J181.A",74.36256221225004,249.74280659602357,0.297756572955219
"vm(PLANT_ID, k_full)_J250.C",158.6991712643586,157.0894094063288,1.0102474244706463
"vm(PLANT_ID, k_full)_J251.C",31.945023614381718,163.0066676431142,0.19597372350634118
"vm(PLANT_ID, k_full)_J352.A",-43.65334321458172,252.7811358814692,-0.17269225040214659
"vm(PLANT_ID, k_full)_J001.A",-108.66316742266191,234.1961929534438,-0.46398349201288347
"vm(PLANT_ID, k_full)_J208.B",-233.6738218829513,223.0711508461169,-1.0475304448675595
"vm(PLANT_ID, k_full)_J008.C",70.95754429283726,245.5263108688558,0.28900179390850766
"vm(PLANT_ID, k_full)_J344.C",-43.534430090943985,246.06969228053447,-0.17691910648350825
"vm(PLANT_ID, k_full)_J004.B",420.55591344509304,151.5671641112997,2.774716515354658
"vm(PLANT_ID, k_full)_J301.A",-199.05089067501834,139.30718674436943,-1.4288630423660726
"vm(PLANT_ID, k_full)_J013.C",-186.90833661148693,147.72770427485835,-1.265221967192627
"vm(PLANT_ID, k_full)_J018.C",-195.2939342299448,139.76158724763005,-1.3973362643908898
"vm(PLANT_ID, k_full)_J384.C",-42.39391143437159,242.5894413566057,-0.17475579809779385
"vm(PLANT_ID, k_full)_J488.C",-40.48082490687614,240.9469469934795,-0.16800721242577782
"vm(PLANT_ID, k_full)_J022.C",27.978783993331742,151.6822392843227,0.18445655948476972
"vm(PLANT_ID, k_full)_J428.B",-9.547475980133493,244.19572388290115,-0.039097637863273076
"vm(PLANT_ID, k_full)_J065.A",-80.05870302796653,146.93668014981162,-0.5448517207979751
"vm(PLANT_ID, k_full)_J584.A",17.751537505622466,252.6853521326469,0.07025154943015381
"vm(PLANT_ID, k_full)_J311.A",61.02225878879014,164.2269266441175,0.3715727989054219
"vm(PLANT_ID, k_full)_J016.B",-234.35824867863224,146.59272555459995,-1.5987031265841574
"vm(PLANT_ID, k_full)_J352.B",-46.57158363088859,243.08288899740376,-0.19158725578329783
"vm(PLANT_ID, k_full)_J001.B",-359.33159526920684,141.40719457694874,-2.5411125391761553
"vm(PLANT_ID, k_full)_J208.C",-107.34081603012488,236.45940391618052,-0.4539502944369037
"vm(PLANT_ID, k_full)_J008.D",-268.46944499658326,147.0996369587392,-1.8250857075322882
"vm(PLANT_ID, k_full)_J005.B",3.357509480203319,146.57166123044485,0.022906948396556215
"vm(PLANT_ID, k_full)_J065.B",-18.84568950605048,147.1985417678712,-0.12802905028617545
"vm(PLANT_ID, k_full)_J584.B",17.835256902080676,251.5100950426128,0.07091268801381069
"vm(PLANT_ID, k_full)_J020.B",-314.7623800319184,142.40519059166274,-2.21032940389426
"vm(PLANT_ID, k_full)_J386.B",-43.73592101527824,240.83743516012072,-0.181599347236863
"vm(PLANT_ID, k_full)_J525.B",-8.205452954438401,240.62372451202654,-0.034100764465676316
"vm(PLANT_ID, k_full)_J022.D",170.16669276022338,149.7525235175611,1.13631936720097
"vm(PLANT_ID, k_full)_J430.A",-17.433026612625184,241.50512474129542,-0.07218491380379506
"vm(PLANT_ID, k_full)_J348.A",-44.06096260443576,245.12949445301606,-0.1797456593412137
"vm(PLANT_ID, k_full)_J005.D",-172.35055374147785,143.11673381449992,-1.2042655610410256
"vm(PLANT_ID, k_full)_J316.A",93.8628428969621,157.04552403341455,0.5976791982749596
"vm(PLANT_ID, k_full)_J016.C",-129.27706049954037,143.4722900235571,-0.9010594343919235
"vm(PLANT_ID, k_full)_J352.C",-44.704808983128615,251.16651173986347,-0.17798873215004868
"vm(PLANT_ID, k_full)_J003.B",-85.0227775062529,235.60306155698456,-0.3608729739943923
"vm(PLANT_ID, k_full)_J258.A",-43.74995384969209,252.41879698966133,-0.17332288391931452
"vm(PLANT_ID, k_full)_J009.C",64.92093246505614,161.19718425481136,0.4027423479211201
"vm(PLANT_ID, k_full)_J023.B",-345.8165331347344,146.3454672281467,-2.3630149924330786
"vm(PLANT_ID, k_full)_J430.B",-17.45722518619702,242.81382079033125,-0.07189551702360165
"vm(PLANT_ID, k_full)_J073.A",361.4029675450085,157.03558595430698,2.301408087528433
"vm(PLANT_ID, k_full)_J585.A",14.688013788561403,241.13569592395308,0.06091181868483528
"vm(PLANT_ID, k_full)_J020.C",-202.01528104374552,143.72169775698475,-1.4056004360964887
"vm(PLANT_ID, k_full)_J394.B",-43.40257088134846,251.91271092844082,-0.17229210356788047
"vm(PLANT_ID, k_full)_J538.C",-19.50446345704453,241.88807821379868,-0.08063424870325785
"vm(PLANT_ID, k_full)_J348.C",-39.83807674088943,243.7616419261886,-0.1634304578279484
