Effect,solution,std.error,z.ratio
manu_site_TX1,-100.73666025333343,43.624564810342314,-2.3091728408360246
manu_site_TX2,-79.72781886842958,34.85411809992806,-2.2874719893886555
manu_site_TX3,70.59923704750179,37.20698505155181,1.8974726640625044
manu_site_OK,162.66952987816006,37.92909685764486,4.288779416200968
manu_site_MO,-28.46309802680733,34.82961269604633,-0.8172097196486571
manu_site_NE,5.569505901348121,36.71162472434655,0.1517095999745965
manu_site_MI,3.4464881616435408,35.06520654601588,0.09828797549276469
manu_site_SD,-33.35718384146105,36.98140221987903,-0.9019988923927332
"vm(PLANT_ID, k_full)_J181.A",-10.946073455060242,170.9721747349987,-0.06402254327071817
"vm(PLANT_ID, k_full)_J250.C",26.23157141217148,166.2809252065983,0.15775454328017274
"vm(PLANT_ID, k_full)_J251.C",25.262795356950203,167.00391617824118,0.15127067637137048
"vm(PLANT_ID, k_full)_J352.A",70.15367921179501,115.6768741079852,0.6064624390377807
"vm(PLANT_ID, k_full)_J001.A",1.7715263930861564,161.2037523382512,0.010989362017882757
"vm(PLANT_ID, k_full)_J208.B",-12.769208409154068,161.59656720451062,-0.07901905733550535
"vm(PLANT_ID, k_full)_J008.C",-7.287580920882722,168.07690611439614,-0.04335860939707365
"vm(PLANT_ID, k_full)_J344.C",-46.2819231837933,115.1122145157481,-0.4020591852783932
"vm(PLANT_ID, k_full)_J004.B",26.010681231704417,166.89738931809708,0.15584834093557637
"vm(PLANT_ID, k_full)_J301.A",24.337714147556074,170.9650175667642,0.14235493607955124
"vm(PLANT_ID, k_full)_J013.C",25.56864143971097,182.39368160851726,0.1401838112714371
"vm(PLANT_ID, k_full)_J018.C",24.55850652334659,170.14815458665373,0.1443360145927374
"vm(PLANT_ID, k_full)_J384.C",308.99763287619345,114.41287883017748,2.700724219472156
"vm(PLANT_ID, k_full)_J488.C",125.72540476261378,103.54953074344445,1.214157165753967
"vm(PLANT_ID, k_full)_J022.C",29.810164576159984,167.05680641907333,0.17844328055319797
"vm(PLANT_ID, k_full)_J428.B",-54.0215178806728,159.69497520320328,-0.3382793842569769
"vm(PLANT_ID, k_full)_J065.A",23.446944454245926,169.59684416186954,0.13825106575607793
"vm(PLANT_ID, k_full)_J584.A",-18.19013172687926,172.2509095797422,-0.1056025293059964
"vm(PLANT_ID, k_full)_J311.A",27.86855375171496,166.78133764269165,0.16709635589696423
"vm(PLANT_ID, k_full)_J016.B",27.285769328192398,176.03039269700548,0.155006012939813
"vm(PLANT_ID, k_full)_J352.B",-18.98899049741586,99.72141511402147,-0.19042038739325798
"vm(PLANT_ID, k_full)_J001.B",1.4736646502611945,161.92417314814938,0.009100955228672953
"vm(PLANT_ID, k_full)_J208.C",-19.639528136596446,162.7004700661197,-0.12070971969912046
"vm(PLANT_ID, k_full)_J008.D",28.431546474825918,170.93830467773859,0.16632636276828933
"vm(PLANT_ID, k_full)_J005.B",15.128765313034968,166.51698607620526,0.09085418652792215
"vm(PLANT_ID, k_full)_J065.B",29.46894608767039,170.22581763996314,0.1731167839064155
"vm(PLANT_ID, k_full)_J584.B",-12.687193940443118,171.2976282013101,-0.07406520495154226
"vm(PLANT_ID, k_full)_J020.B",29.029765775264135,170.73611495770353,0.17002709580486636
"vm(PLANT_ID, k_full)_J386.B",23.037615932121472,129.28693777699237,0.1781898181536263
"vm(PLANT_ID, k_full)_J525.B",-23.544812920319192,162.22240143311336,-0.14513909738925335
"vm(PLANT_ID, k_full)_J022.D",26.659898080568254,167.56374723093165,0.15910301912636468
"vm(PLANT_ID, k_full)_J430.A",-27.19344822205651,162.4555738191742,-0.1673900598346041
"vm(PLANT_ID, k_full)_J348.A",-126.09094927399171,109.43981382534216,-1.1521487918028035
"vm(PLANT_ID, k_full)_J005.D",17.986946749335008,165.1992007291709,0.1088803497228959
"vm(PLANT_ID, k_full)_J316.A",28.608314740907836,169.08308969827166,0.1691967824337685
"vm(PLANT_ID, k_full)_J016.C",28.917822840470528,176.82456062955924,0.16353962785210743
"vm(PLANT_ID, k_full)_J352.C",52.272429992918035,110.61632095103214,0.4725562154255528
"vm(PLANT_ID, k_full)_J003.B",-7.773356874984886,163.16605302685815,-0.04764077288616734
"vm(PLANT_ID, k_full)_J258.A",-68.9307303364176,111.10715513925008,-0.6203986615445876
"vm(PLANT_ID, k_full)_J009.C",25.42996858640992,166.96986997324544,0.15230273935342176
"vm(PLANT_ID, k_full)_J023.B",27.70568308928655,176.4915248018179,0.15698024661749183
"vm(PLANT_ID, k_full)_J430.B",-27.97703855614915,163.3404048632031,-0.17128057555373272
"vm(PLANT_ID, k_full)_J073.A",26.624293297386068,167.57389049744447,0.15888091646229394
"vm(PLANT_ID, k_full)_J585.A",-11.155428528006968,164.4588974990417,-0.0678311036839583
"vm(PLANT_ID, k_full)_J020.C",27.4196147351657,169.39152760919328,0.16187122887530753
"vm(PLANT_ID, k_full)_J394.B",-146.96460671487011,101.86617589046253,-1.4427223308441683
"vm(PLANT_ID, k_full)_J538.C",-29.370786226395776,162.50402300854591,-0.18073882530804297
"vm(PLANT_ID, k_full)_J348.C",-3.900820906482319,109.37756199308258,-0.03566381290094051
"vm(PLANT_ID, k_full)_J006.B",-28.397608330892773,161.52594060970358,-0.17580834523360023
"vm(PLANT_ID, k_full)_J320.A",25.144082385128634,167.2943688862765,0.15029843833070736
"vm(PLANT_ID, k_full)_J016.D",13.97716443134973,163.35639621459336,0.08556239458777364
"vm(PLANT_ID, k_full)_J353.C",-27.736889627499995,104.04562844780148,-0.26658390209460153
"vm(PLANT_ID, k_full)_J003.D",25.229092268789092,165.48059619314813,0.15245952002337373
"vm(PLANT_ID, k_full)_J030.C",24.358938218228406,171.71959644866632,0.14185299011875002
"vm(PLANT_ID, k_full)_J086.A",9.26928251723335,162.76198210037748,0.05694992404010452
"vm(PLANT_ID, k_full)_J585.C",-16.198050769170198,164.20687096369258,-0.09864417167264404
"vm(PLANT_ID, k_full)_J396.A",77.97989277988529,100.41215427643021,0.7765981453321885
"vm(PLANT_ID, k_full)_J354.C",-75.37269684718947,101.88333591491302,-0.7397941593720128
"vm(PLANT_ID, k_full)_J003.E",20.17201891821646,172.2536420921891,0.11710648711520723
"vm(PLANT_ID, k_full)_J296.A",21.4400833788002,171.90117532192244,0.12472330883514303
"vm(PLANT_ID, k_full)_J350.B",20.66423292596261,102.94639712397533,0.2007280828009676
"vm(PLANT_ID, k_full)_J006.C",-13.656046562222746,163.56875001695803,-0.08348811469676788
"vm(PLANT_ID, k_full)_J336.A",30.31438317373256,167.4490752108535,0.18103643233359393
"vm(PLANT_ID, k_full)_J016.E",24.431699785071423,177.58367844024838,0.13757852072701582
"vm(PLANT_ID, k_full)_J021.C",-6.683015985781379,165.34450113128872,-0.04041873748480365
"vm(PLANT_ID, k_full)_J026.B",1.047357851645755,161.69512976864343,0.006477361768065217
"vm(PLANT_ID, k_full)_J458.C",19.134069225634,167.34670982107906,0.11433788716904827
"vm(PLANT_ID, k_full)_J586.A",-14.020310394453983,168.34320998882382,-0.08328408609640259
"vm(PLANT_ID, k_full)_J018.B",29.454664556877606,171.42080863109115,0.17182665740578779
"vm(PLANT_ID, k_full)_J003.F",7.251583039078691,167.09728716191756,0.04339737144895652
"vm(PLANT_ID, k_full)_J299.A",8.060777767501648,158.3039122652742,0.05091963712175339
"vm(PLANT_ID, k_full)_J013.B",27.390270795617432,174.1682595852647,0.15726327438099263
"vm(PLANT_ID, k_full)_J350.C",-69.42544094519937,99.94138417609639,-0.6946615910669395
"vm(PLANT_ID, k_full)_J008.B",19.666867555996486,169.48024840128815,0.11604223938491116
"vm(PLANT_ID, k_full)_J204.A",-14.18236920801175,172.2501536782152,-0.08233588711047646
"vm(PLANT_ID, k_full)_J461.C",18.280821986419014,173.00848953810294,0.10566430604200433
"vm(PLANT_ID, k_full)_J022.B",25.132662466283513,167.50251671902507,0.15004349163566283
"vm(PLANT_ID, k_full)_J425.A",-22.419870416180586,162.4769273156734,-0.13798802566361584
"vm(PLANT_ID, k_full)_J045.C",16.698209105003556,100.77419729222905,0.1656992519283624
"vm(PLANT_ID, k_full)_J026.C",-1.4908895043791346,166.88054602227643,-0.0089338724010414
"vm(PLANT_ID, k_full)_J587.A",25.508339809590595,169.19012569914133,0.15076730810490824
"vm(PLANT_ID, k_full)_J537.C",-28.111796092463685,164.96695775562662,-0.1704086471310638
"vm(PLANT_ID, k_full)_J596.C",-20.751587808152095,165.75706421943673,-0.12519278080770183
"vm(PLANT_ID, k_full)_J601.A",-21.070280191387276,165.2033994726718,-0.1275414444172667
"vm(PLANT_ID, k_full)_J597.A",-19.867995386640256,164.3813697249318,-0.12086525024025803
"vm(PLANT_ID, k_full)_J601.B",-22.005797906165082,167.1104403846538,-0.1316841596222969
"vm(PLANT_ID, k_full)_J597.B",-22.591908271412375,162.70472137033175,-0.1388521985172821
"vm(PLANT_ID, k_full)_J602.A",-21.259054900892863,169.7693503571376,-0.12522316222669735
"vm(PLANT_ID, k_full)_J597.C",-19.37960763260065,168.70667894096107,-0.11487160884355116
"vm(PLANT_ID, k_full)_J602.B",-16.494056071431384,166.09193254177475,-0.09930678642253059
"vm(PLANT_ID, k_full)_J598.A",-16.581448719825516,165.60397733211815,-0.10012711643133718
"vm(PLANT_ID, k_full)_J598.B",-20.28056487245922,170.7029644927667,-0.11880616679810842
"vm(PLANT_ID, k_full)_J599.B",-19.403210708400838,165.59259465028305,-0.1171743866286938
"vm(PLANT_ID, k_full)_J599.C",-20.89555657984656,164.93285855081353,-0.1266912897978357
"vm(PLANT_ID, k_full)_J600.A",-20.947068492462016,165.1353339719465,-0.12684788887168474
"vm(PLANT_ID, k_full)_J600.B",-20.11984624396551,164.62587184530324,-0.122215578987924
"vm(PLANT_ID, k_full)_J646.A",-29.29702883260829,165.27751922890542,-0.17725961140566615
"vm(PLANT_ID, k_full)_J646.B",-30.25248825059637,173.13292763593893,-0.17473561305571408
"vm(PLANT_ID, k_full)_J646.C",-29.381470015822398,168.2050801074683,-0.17467647229828145
"vm(PLANT_ID, k_full)_J647.B",-30.47769126102288,166.05291634757756,-0.1835420414853045
"vm(PLANT_ID, k_full)_J647.C",-31.656474656658723,166.02961975611498,-0.19066763330036954
"vm(PLANT_ID, k_full)_J649.A",-34.97924600527262,161.43372994545564,-0.21667867066623078
"vm(PLANT_ID, k_full)_J649.B",-35.604660474476475,159.92546383872417,-0.22263284169919165
"vm(PLANT_ID, k_full)_J649.C",-33.89762788495072,159.68601216029643,-0.21227675127188672
"vm(PLANT_ID, k_full)_J650.A",18.110018954715017,167.1813838288361,0.10832557154363817
"vm(PLANT_ID, k_full)_J650.B",17.68184203426676,168.78479127944007,0.10475968776708505
"vm(PLANT_ID, k_full)_J650.C",19.127631449542335,164.95424136145593,0.1159571969272916
"vm(PLANT_ID, k_full)_J651.A",23.05568564047968,171.6041918276445,0.13435386044436667
"vm(PLANT_ID, k_full)_J651.C",24.321390166497984,173.71308285934347,0.14000897207144242
"vm(PLANT_ID, k_full)_J652.B",20.37783748071696,171.6170242559996,0.11874018658148691
"vm(PLANT_ID, k_full)_J209.A",28.680044550869084,168.63904014733524,0.17006764581802725
"vm(PLANT_ID, k_full)_J210.A",23.490468648113268,179.42311452303957,0.13092219868414376
"vm(PLANT_ID, k_full)_J211.A",24.859449683145414,167.13266688832113,0.14874081857232985
"vm(PLANT_ID, k_full)_J215.A",26.074803509200244,165.62072959239936,0.15743683519189655
"vm(PLANT_ID, k_full)_J216.A",23.418598044070627,167.30145472503378,0.13997844837966275
"vm(PLANT_ID, k_full)_J218.A",25.42263164696841,167.4192026543725,0.15185015364965032
"vm(PLANT_ID, k_full)_J219.A",29.325356767796585,167.77793135867677,0.17478673464571837
"vm(PLANT_ID, k_full)_J220.A",30.16884244887924,165.1718734017954,0.18265120947978122
"vm(PLANT_ID, k_full)_J222.A",25.33244905157194,166.66378344305446,0.15199732376306882
"vm(PLANT_ID, k_full)_J224.A",27.52557302626785,167.0508540644039,0.1647736144806287
"vm(PLANT_ID, k_full)_J225.A",23.171761394605294,166.96636190401028,0.13878101630990106
"vm(PLANT_ID, k_full)_J226.A",23.90836738218547,168.1631863276082,0.142173610671293
"vm(PLANT_ID, k_full)_J228.A",29.10047503703338,168.1865298142656,0.1730250042567028
"vm(PLANT_ID, k_full)_J229.A",25.735232448745055,170.31786986178187,0.1511011878532181
"vm(PLANT_ID, k_full)_J230.A",22.874399925154275,168.48411856451486,0.1357659114701387
"vm(PLANT_ID, k_full)_J231.A",26.771006532707478,163.7098662083481,0.1635271419661226
"vm(PLANT_ID, k_full)_J234.A",22.314899079528494,169.17233569363688,0.13190631309802167
"vm(PLANT_ID, k_full)_J235.A",25.5909019585247,167.03056363335895,0.1532108938738787
"vm(PLANT_ID, k_full)_J237.A",23.395975648445614,166.57050817695605,0.14045689062550568
"vm(PLANT_ID, k_full)_J238.A",27.645679475281703,168.25424193103078,0.16430895980984517
"vm(PLANT_ID, k_full)_J240.A",29.74565986390144,167.49777924678082,0.1775883835455277
"vm(PLANT_ID, k_full)_J246.A",24.49848916552822,170.8220213530772,0.14341528669123726
"vm(PLANT_ID, k_full)_J206.A",25.98429321631796,175.19515547676107,0.14831627704320094
"vm(PLANT_ID, k_full)_J171.A",-23.76827174212601,162.3426263492483,-0.1464080770197301
"vm(PLANT_ID, k_full)_J172.A",-23.94410230174009,163.3070059332862,-0.1466201781417858
"vm(PLANT_ID, k_full)_J186.A",1.3288979370933762,171.2260562967962,0.0077610730856869075
"vm(PLANT_ID, k_full)_J189.A",12.878853422154984,166.063966978138,0.0775535696064063
"vm(PLANT_ID, k_full)_J193.A",-14.35723285778584,172.10319304651347,-0.08342223408897233
"vm(PLANT_ID, k_full)_J205.A",-18.647903235019466,174.62531853750127,-0.10678808428924799
"vm(PLANT_ID, k_full)_J208.A",-27.14358298347589,166.11395843028862,-0.16340338427891335
"vm(PLANT_ID, k_full)_J250.A",27.624809081378434,165.6994735539773,0.1667163358390486
"vm(PLANT_ID, k_full)_J251.A",26.48043996250122,165.94789153886282,0.15957081296389866
"vm(PLANT_ID, k_full)_J270.A",25.79646307408197,171.7765940063643,0.1501744939309148
"vm(PLANT_ID, k_full)_J273.A",24.173067492267393,171.82566726454573,0.14068368176362223
"vm(PLANT_ID, k_full)_J276.A",22.842173268230162,176.0943565663167,0.12971553270435363
"vm(PLANT_ID, k_full)_J279.A",25.554111412149886,170.88884163238166,0.1495364540367254
"vm(PLANT_ID, k_full)_J280.A",25.70593782133897,173.26336044093495,0.14836338020872025
"vm(PLANT_ID, k_full)_J294.A",27.52669979756715,168.53495614970663,0.16332932007954284
"vm(PLANT_ID, k_full)_J295.A",23.511452733106136,167.24866619227151,0.14057781905463465
"vm(PLANT_ID, k_full)_J303.A",27.732374817717275,175.20426202711764,0.15828596003803225
"vm(PLANT_ID, k_full)_J308.A",30.755759416625555,166.66479214296035,0.18453663200950163
"vm(PLANT_ID, k_full)_J312.A",23.912515954633516,171.2928140620283,0.1396002283316704
"vm(PLANT_ID, k_full)_J314.A",29.450570611776087,168.0122987599006,0.17528818324105352
