Estimate,SE,site,subpop,phe,bic,loglik
0.900199609,0.025124218,TX1,Gulf,dyln_fl50,-185.6512425,97.85605916
NA,NA,NA,NA,NA,NA,NA
0.677690835,0.080057481,TX1,Gulf,dyln_change_sec,1309.09109,-649.5151073
0.798542526,0.050825086,TX1,Gulf,FL50,1165.596765,-577.7679447
0.546190608,0.104815479,TX1,Gulf,GR50,746.488782,-368.2139531
0.812242721,0.047139502,TX1,Gulf,cgdd_12c_gr2fl,2047.435972,-1018.687548
0.308485598,0.116595743,TX1,Gulf,crain_gr2fl,1466.433341,-728.1862328
0.028400261,0.039666883,TX1,Gulf,CRAIN_5d,1162.296754,-576.1179389
1.43E-07,0.082839839,TX1,Gulf,crain_2d,831.541803,-410.7404636
1.57E-07,0.056614284,TX1,Gulf,crain_3d,867.609189,-428.7741566
0.022749196,0.037147711,TX1,Gulf,crain_7d,1163.444199,-576.6916617
0.99999888,3.29E-07,TX1,Midwest,dyln_fl50,-30.67445278,18.47272061
0.999999236,2.25E-07,TX1,Midwest,dyln_change_sec,176.4157704,-85.07239096
0.999999074,2.72E-07,TX1,Midwest,FL50,159.2449805,-76.48699603
0.999999303,2.05E-07,TX1,Midwest,GR50,154.4091145,-74.06906301
0.999997696,2.112730407,TX1,Midwest,cgdd_12c_gr2fl,285.8297174,-139.7793645
0.999999256,2.19E-07,TX1,Midwest,crain_gr2fl,210.4913042,-102.1101579
0.727865404,1.461317686,TX1,Midwest,CRAIN_5d,149.6829874,-71.7059995
0.999999089,2.69E-07,TX1,Midwest,crain_2d,139.638941,-66.68397629
0.733385233,2.028815554,TX1,Midwest,crain_3d,139.7886694,-66.75884049
0.999998789,3.56E-07,TX1,Midwest,crain_7d,163.5076311,-78.61832133
0.982588643,0.003151773,TX2,Gulf,dyln_fl50,-213.7945088,112.5140255
0.941218027,0.01077632,TX2,Gulf,dyln_change_sec,1938.280824,-963.5236411
0.976952982,0.004176856,TX2,Gulf,FL50,1853.05815,-920.9123039
0.859465059,0.024771203,TX2,Gulf,GR50,1423.224483,-705.9954706
0.973948843,0.004722982,TX2,Gulf,cgdd_12c_gr2fl,3446.457035,-1717.611746
0.986911073,0.00236704,TX2,Gulf,crain_gr2fl,1999.344972,-994.055715
0.593290391,0.076196511,TX2,Gulf,CRAIN_5d,1567.795214,-778.2808359
0.494464986,0.092716376,TX2,Gulf,crain_2d,1099.496886,-544.1316717
0.551258877,0.082433839,TX2,Gulf,crain_3d,1251.301778,-620.0341181
0.680722917,0.060168272,TX2,Gulf,crain_7d,1581.550873,-785.1586655
0.920277343,0.070183263,TX2,Midwest,dyln_fl50,-265.4742558,137.5329185
0.983632995,0.016053575,TX2,Midwest,dyln_change_sec,908.5108912,-449.4596551
0.964039684,0.034654238,TX2,Midwest,FL50,756.5512891,-373.479854
0.251144291,0.368725927,TX2,Midwest,GR50,683.9049235,-337.1566712
0.983981421,0.015953711,TX2,Midwest,cgdd_12c_gr2fl,1399.239138,-694.8237783
0.955112121,0.043620608,TX2,Midwest,crain_gr2fl,1114.301879,-552.3551489
0.49332932,0.287379285,TX2,Midwest,CRAIN_5d,1055.735762,-523.0720907
0.101139714,0.292598968,TX2,Midwest,crain_2d,875.9921454,-433.2002821
0.295528081,0.317607046,TX2,Midwest,crain_3d,940.2188873,-465.3136531
0.48722049,0.252032034,TX2,Midwest,crain_7d,1074.546424,-532.4774213
0.637780479,0.080434224,TX3,Gulf,dyln_fl50,-2.379728112,6.66213473
0.481086241,0.12238025,TX3,Gulf,dyln_change_sec,1776.218271,-882.6368647
0.629037088,0.085326588,TX3,Gulf,FL50,1750.410031,-869.7327449
0.790377363,0.043874,TX3,Gulf,GR50,1189.558695,-589.3070768
0.632070696,0.083812628,TX3,Gulf,cgdd_12c_gr2fl,3106.553022,-1547.804241
0.877920313,0.03379712,TX3,Gulf,crain_gr2fl,1684.120717,-836.5880877
0.003259419,0.033024432,TX3,Gulf,CRAIN_5d,1327.273547,-658.1645026
0.012314682,0.043674764,TX3,Gulf,crain_2d,1123.719659,-556.3875589
1.53E-07,0.042294021,TX3,Gulf,crain_3d,1209.782081,-599.41877
0.475517219,0.135470233,TX3,Gulf,crain_7d,1358.626756,-673.8411073
0.999999514,8.95E-08,TX3,Midwest,dyln_fl50,-57.93641611,33.0457455
0.999999509,0.591026576,TX3,Midwest,dyln_change_sec,539.805982,-265.8254536
0.999999261,1.36E-07,TX3,Midwest,FL50,465.5500746,-228.6974998
0.999999152,1.56E-07,TX3,Midwest,GR50,308.6463862,-150.2456556
0.999996628,6.21E-07,TX3,Midwest,cgdd_12c_gr2fl,788.0297883,-389.9373567
0.91644356,0.56025314,TX3,Midwest,crain_gr2fl,610.0641169,-300.954521
0.999998269,0.797464836,TX3,Midwest,CRAIN_5d,367.1254238,-179.4851745
1.86E-06,0.663248147,TX3,Midwest,crain_2d,313.3495172,-152.5972212
1.86E-06,3.42E-07,TX3,Midwest,crain_3d,306.6515371,-149.2482311
0.99999604,7.29E-07,TX3,Midwest,crain_7d,369.7150875,-180.7800063
0.851837363,0.047328218,OK,Gulf,dyln_fl50,-54.02651014,31.65764597
0.888526154,0.037506856,OK,Gulf,dyln_change_sec,624.0429784,-307.3770983
0.856994772,0.046039475,OK,Gulf,FL50,648.6563683,-319.6837932
0.024556025,0.0713406,OK,Gulf,GR50,746.2886314,-368.4999248
0.644876814,0.106039523,OK,Gulf,cgdd_12c_gr2fl,1242.698472,-616.7048451
2.75E-07,0.076246747,OK,Gulf,crain_gr2fl,1196.70844,-593.7098292
0.025915152,0.066218331,OK,Gulf,CRAIN_5d,822.3817609,-406.5464896
0.066982306,0.077553557,OK,Gulf,crain_2d,742.9349792,-366.8230987
0.047307593,0.063942238,OK,Gulf,crain_3d,752.3238059,-371.517512
0.141914722,0.126344886,OK,Gulf,crain_7d,832.0133018,-411.36226
0.999999516,9.40E-08,OK,Midwest,dyln_fl50,-42.91683941,25.42871162
0.999999019,1.91E-07,OK,Midwest,dyln_change_sec,452.2951661,-222.1772911
0.99999893,2.08E-07,OK,Midwest,FL50,368.7819103,-180.4206632
0.999998818,2.30E-07,OK,Midwest,GR50,379.3023092,-185.6808627
0.999999115,1.72E-07,OK,Midwest,cgdd_12c_gr2fl,662.9977068,-327.5285615
0.999998959,2.02E-07,OK,Midwest,crain_gr2fl,620.4085899,-306.234003
0.999998818,0.713012925,OK,Midwest,CRAIN_5d,393.4002134,-192.7298148
1.12E-06,1.049760588,OK,Midwest,crain_2d,305.071165,-148.5652906
0.387247575,0.914963312,OK,Midwest,crain_3d,330.150096,-161.1047561
0.999999111,1.73E-07,OK,Midwest,crain_7d,405.2520661,-198.6557411
