Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-0.7403384887593291,0.41489116533593295,-1.7844161327462464
"vm(PLANT_ID, k_use)_J251.C",-0.7396206916783512,0.41462516256881293,-1.7838297297154526
"vm(PLANT_ID, k_use)_J352.A",1.2221988417198413,0.41502750326417887,2.944862285287804
"vm(PLANT_ID, k_use)_J344.C",1.3299442983795071,0.41493430747060095,3.205192423077084
"vm(PLANT_ID, k_use)_J004.B",-0.7390338299001372,0.414751684568501,-1.781870592446207
"vm(PLANT_ID, k_use)_J301.A",-0.7416384043780389,0.4136536979545336,-1.7928968314446336
"vm(PLANT_ID, k_use)_J013.C",-0.7198223856796612,0.41473538560958817,-1.7356184464984792
"vm(PLANT_ID, k_use)_J018.C",-0.6108059302907646,0.4138466761981752,-1.4759232474740793
"vm(PLANT_ID, k_use)_J384.C",0.011476173561669575,0.41459228140088644,0.027680625222669758
"vm(PLANT_ID, k_use)_J488.C",0.8321840847883867,0.6119643206798961,1.3598571953734575
"vm(PLANT_ID, k_use)_J022.C",-0.7461582989869336,0.4148170570447013,-1.79876474777296
"vm(PLANT_ID, k_use)_J065.A",-0.9273274387941388,0.40089103120472463,-2.3131658396233283
"vm(PLANT_ID, k_use)_J311.A",-0.533172404922209,0.4149405688399204,-1.2849367956785664
"vm(PLANT_ID, k_use)_J016.B",-0.3450640152239428,0.4145049203393954,-0.8324726638743044
"vm(PLANT_ID, k_use)_J352.B",1.1457307038821407,0.41466781165098304,2.763008537654419
"vm(PLANT_ID, k_use)_J001.B",-0.14946409615096046,0.41476362975140574,-0.3603596974993777
"vm(PLANT_ID, k_use)_J008.D",-0.5106928716026885,0.4145120765804115,-1.2320337583786145
"vm(PLANT_ID, k_use)_J005.B",-0.6901898085274807,0.41464600636048415,-1.6645278091197744
"vm(PLANT_ID, k_use)_J065.B",-1.1068070917096569,0.41464488110497116,-2.6692891728463386
"vm(PLANT_ID, k_use)_J020.B",-0.5575582702891917,0.4134840643194597,-1.3484395612848081
"vm(PLANT_ID, k_use)_J386.B",0.8358781104992475,0.5756725656269409,1.452002684180247
"vm(PLANT_ID, k_use)_J022.D",-1.5576489812331875,0.4137662744672428,-3.7645624531356146
"vm(PLANT_ID, k_use)_J348.A",1.6416168246931329,0.41444003078917147,3.9610479266860077
"vm(PLANT_ID, k_use)_J005.D",-0.49333364514802486,0.4145984963592571,-1.189906981043516
"vm(PLANT_ID, k_use)_J316.A",-1.1219611029290661,0.4148698265027548,-2.704369012292139
"vm(PLANT_ID, k_use)_J016.C",-0.6786235795215676,0.4008747569798345,-1.6928568529340073
"vm(PLANT_ID, k_use)_J352.C",1.3140420489878053,0.41512202123403025,3.1654356593311093
"vm(PLANT_ID, k_use)_J258.A",1.7812029637253495,0.4151535585824472,4.290467772472707
"vm(PLANT_ID, k_use)_J009.C",-0.7436888414063978,0.4141491946570528,-1.7957027346684304
"vm(PLANT_ID, k_use)_J023.B",-0.6360240699071547,0.41422153375075366,-1.5354683860783165
"vm(PLANT_ID, k_use)_J073.A",-0.5346455575937646,0.41485745251209133,-1.2887452168360938
"vm(PLANT_ID, k_use)_J020.C",-0.7178071662254965,0.4145616636731326,-1.731484671943671
"vm(PLANT_ID, k_use)_J394.B",1.841040055478898,0.41460596886478684,4.4404571900394085
"vm(PLANT_ID, k_use)_J348.C",1.4588691270594203,0.41448632388704354,3.5197038912603387
"vm(PLANT_ID, k_use)_J320.A",-1.1157918270427525,0.414722365918145,-2.6904549133069415
"vm(PLANT_ID, k_use)_J016.D",-0.5880111906332146,0.41366774519591715,-1.4214576733671287
"vm(PLANT_ID, k_use)_J353.C",0.9861629583558791,0.4147127754020005,2.377942076657622
"vm(PLANT_ID, k_use)_J003.D",-0.7826807055714343,0.41266664582532325,-1.896641547092065
"vm(PLANT_ID, k_use)_J030.C",-0.722724174262404,0.41371624236287324,-1.7469079051252183
"vm(PLANT_ID, k_use)_J086.A",1.014248608495852,0.41420304680187203,2.4486749103538172
"vm(PLANT_ID, k_use)_J396.A",1.6574854561781538,0.4149888653503015,3.994048020490942
"vm(PLANT_ID, k_use)_J354.C",1.331005499513083,0.41508818668106406,3.2065607796633593
"vm(PLANT_ID, k_use)_J003.E",-0.662182269726106,0.41412912568160953,-1.5989753645948692
"vm(PLANT_ID, k_use)_J296.A",-0.5915450114672158,0.41451823844239155,-1.427066306394687
"vm(PLANT_ID, k_use)_J350.B",1.2072675114072526,0.4151012882683903,2.9083685007180096
