Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",0.2622176511283464,1.2809431201029668,0.2047067094651856
"vm(PLANT_ID, k_use)_J251.C",-0.8071614241046889,1.2635877286239143,-0.6387854248819845
"vm(PLANT_ID, k_use)_J352.A",-1.0224894593552996,1.295168680997192,-0.7894643179358322
"vm(PLANT_ID, k_use)_J344.C",-1.4428830612919679,1.280236877813511,-1.127043820012619
"vm(PLANT_ID, k_use)_J004.B",1.053357397889907,1.2674850857675424,0.8310609802970836
"vm(PLANT_ID, k_use)_J301.A",-1.6603123297908133,1.2324319841443896,-1.3471837400775328
"vm(PLANT_ID, k_use)_J013.C",-1.8067282173310752,1.2794697156609895,-1.4120914275784149
"vm(PLANT_ID, k_use)_J018.C",-0.7622378366411888,1.239882717651593,-0.6147660789118101
"vm(PLANT_ID, k_use)_J384.C",-0.981439439930436,1.2664109109051225,-0.7749770879887531
"vm(PLANT_ID, k_use)_J488.C",-1.0203216640824857,1.3886504444180314,-0.7347577413624
"vm(PLANT_ID, k_use)_J022.C",-0.2273325691415179,1.273581204669741,-0.17849868411058145
"vm(PLANT_ID, k_use)_J065.A",-1.1286518412164674,1.1859275296158034,-0.9517038883329649
"vm(PLANT_ID, k_use)_J311.A",2.228280031586705,1.2875111918049482,1.730687892866316
"vm(PLANT_ID, k_use)_J016.B",-1.2693757009438231,1.2588496754254002,-1.0083616223000302
"vm(PLANT_ID, k_use)_J352.B",-0.9870352993319288,1.2650318572477426,-0.780245409375986
"vm(PLANT_ID, k_use)_J001.B",-0.5897755312185448,1.2746234498574067,-0.4627056965604418
"vm(PLANT_ID, k_use)_J008.D",-0.890663790767037,1.2549918023443491,-0.7096968992970788
"vm(PLANT_ID, k_use)_J005.B",-0.5422858389192932,1.281762697008289,-0.4230781877058997
"vm(PLANT_ID, k_use)_J065.B",-0.9881241619662948,1.2652169529296278,-0.7809918762772498
"vm(PLANT_ID, k_use)_J020.B",-0.6704050929475529,1.2359335965068585,-0.5424280841967003
"vm(PLANT_ID, k_use)_J386.B",-1.1447244170830213,1.347177360333831,-0.8497206461362727
