Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",5.875950216550513e-7,0.006528452352604846,9.000525544474587e-5
"vm(PLANT_ID, k_use)_J344.C",1.4601725747326772e-6,0.0063092357105818545,2.3143414538843028e-4
"vm(PLANT_ID, k_use)_J384.C",3.1365233459647763e-6,0.0061711459398634885,5.08256226076896e-4
"vm(PLANT_ID, k_use)_J488.C",3.994847830459981e-6,0.006229014307728349,6.413290503288082e-4
"vm(PLANT_ID, k_use)_J352.B",-2.9430352705814126e-6,0.006167424727426223,-4.7719030237919e-4
"vm(PLANT_ID, k_use)_J386.B",3.931381718320282e-7,0.006053596720305836,6.494290749717572e-5
"vm(PLANT_ID, k_use)_J348.A",-3.5478568575374384e-7,0.006206945841906282,-5.715946212361051e-5
"vm(PLANT_ID, k_use)_J352.C",-4.620216064577624e-6,0.006519285409993188,-7.086997690721522e-4
"vm(PLANT_ID, k_use)_J258.A",2.104512949873592e-6,0.006536650952408611,3.219558402606958e-4
"vm(PLANT_ID, k_use)_J394.B",-5.900959610673699e-6,0.006468772729356545,-9.122224350059479e-4
"vm(PLANT_ID, k_use)_J348.C",-3.885154470161916e-6,0.0061951646470648145,-6.27126911308588e-4
"vm(PLANT_ID, k_use)_J353.C",-4.0040431868578376e-6,0.006181573294166071,-6.477385280923059e-4
"vm(PLANT_ID, k_use)_J396.A",7.855120256261832e-6,0.006332116049885604,0.0012405205770673997
"vm(PLANT_ID, k_use)_J354.C",-3.5270133454428723e-6,0.0064596672641571646,-5.460054212100452e-4
"vm(PLANT_ID, k_use)_J350.B",-3.3128939665657265e-6,0.00667275893004906,-4.964803915883965e-4
"vm(PLANT_ID, k_use)_J350.C",-5.002348686520878e-6,0.006197605421847224,-8.071421696010304e-4
"vm(PLANT_ID, k_use)_J045.C",1.2488405226569668e-6,0.006379450432844848,1.9575989120117042e-4
"vm(PLANT_ID, k_use)_J359.A",-3.0478608413086645e-6,0.0061389800983316055,-4.96476742470135e-4
"vm(PLANT_ID, k_use)_J390.A",-2.9870328880096564e-7,0.006271526001663693,-4.762848606889718e-5
"vm(PLANT_ID, k_use)_J395.A",4.410988153352331e-6,0.006259323393252743,7.04706863062415e-4
"vm(PLANT_ID, k_use)_J403.A",-4.695021661279095e-6,0.006415783303043147,-7.317924311832887e-4
"vm(PLANT_ID, k_use)_J407.A",-3.244289015245935e-7,0.00664603924602066,-4.881537552141999e-5
"vm(PLANT_ID, k_use)_J490.A",1.2751536763103293e-6,0.006076467291563686,2.0985115448258885e-4
"vm(PLANT_ID, k_use)_J530.A",3.5175786012330367e-6,0.006237851923602783,5.639086410376661e-4
"vm(PLANT_ID, k_use)_J536.A",4.655713239726573e-6,0.006221702260538651,7.483021598856611e-4
"vm(PLANT_ID, k_use)_J539.A",4.562821603966156e-6,0.006222751524217495,7.332482401408316e-4
"vm(PLANT_ID, k_use)_J374.B",2.605968705997185e-6,0.006358613449557852,4.0983285533395525e-4
"vm(PLANT_ID, k_use)_J355.C",-3.96853037076538e-6,0.0062944214305385,-6.304837409696389e-4
"vm(PLANT_ID, k_use)_J384.B",-5.615514971451759e-8,0.006313993645708233,-8.893760885028375e-6
"vm(PLANT_ID, k_use)_J400.A",2.265391871790124e-6,0.006581746635353989,3.4419311427479207e-4
