Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",-4.121242084740874,5.114300132879426,-0.8058271860592888
"vm(PLANT_ID, k_use)_J344.C",-1.8461105626130618,5.043504783921503,-0.3660372383304543
"vm(PLANT_ID, k_use)_J384.C",-3.1443812954542594,4.940038955839065,-0.6365094128939286
"vm(PLANT_ID, k_use)_J488.C",-1.2945720691621454,6.029649790505069,-0.21470103806040558
"vm(PLANT_ID, k_use)_J352.B",-2.6442649389919066,4.945406654445899,-0.5346911030288528
"vm(PLANT_ID, k_use)_J386.B",-2.005549044246413,5.774563996114525,-0.34730744097664645
"vm(PLANT_ID, k_use)_J348.A",3.5377987611340482,4.912588738935551,0.720149588972231
"vm(PLANT_ID, k_use)_J352.C",-2.7534737393899484,5.132199120965727,-0.5365095302209995
"vm(PLANT_ID, k_use)_J258.A",-0.6858337381136258,5.151931033255757,-0.133121684604581
"vm(PLANT_ID, k_use)_J394.B",-4.682441077480034,5.020890018392533,-0.9325918433439704
"vm(PLANT_ID, k_use)_J348.C",-1.3562783488589722,4.92075163199762,-0.27562422375469087
"vm(PLANT_ID, k_use)_J353.C",-2.297963467058421,4.960134492870444,-0.46328652385564306
"vm(PLANT_ID, k_use)_J396.A",4.7092486445094925,5.064128895265696,0.9299227452350254
"vm(PLANT_ID, k_use)_J354.C",-2.1511206757996986,5.107387148418019,-0.4211783076726413
"vm(PLANT_ID, k_use)_J350.B",-3.6509246070069197,5.14009274696735,-0.710283799676759
"vm(PLANT_ID, k_use)_J350.C",-0.5721049072339154,4.853997821180475,-0.11786262135049362
"vm(PLANT_ID, k_use)_J045.C",-3.560762185453276,5.063011432073125,-0.7032893828555447
"vm(PLANT_ID, k_use)_J359.A",0.26172587698372957,4.949144332635546,0.05288305601795893
"vm(PLANT_ID, k_use)_J390.A",0.11158542128491135,5.0303652525365,0.022182369605993475
"vm(PLANT_ID, k_use)_J395.A",4.695470457819382,4.6310684210713555,1.0139065180844655
"vm(PLANT_ID, k_use)_J403.A",0.05863096508970955,5.060514603413679,0.011585968954651128
"vm(PLANT_ID, k_use)_J407.A",-1.9065587534869168,5.188395129629651,-0.3674659901284364
"vm(PLANT_ID, k_use)_J490.A",-1.665229700566766,5.964065368676653,-0.27921050451803786
"vm(PLANT_ID, k_use)_J530.A",6.225645299351941,4.692358285405013,1.326762561741294
"vm(PLANT_ID, k_use)_J536.A",6.10811586968693,4.707996598830461,1.2973917337162648
"vm(PLANT_ID, k_use)_J539.A",4.315077931844087,5.622591957043928,0.7674535098422356
"vm(PLANT_ID, k_use)_J374.B",0.8214907802945839,5.0481935799618345,0.16272965116777366
"vm(PLANT_ID, k_use)_J355.C",-2.0990649785554214,5.006098119022601,-0.419301605491753
"vm(PLANT_ID, k_use)_J384.B",-3.1285478160765425,5.010620324131829,-0.6243833325404902
"vm(PLANT_ID, k_use)_J400.A",-3.5511601943718816,5.178057465536469,-0.685809344142527
"vm(PLANT_ID, k_use)_J257.A",-1.9878649427439588,5.006022257475928,-0.39709470723493234
"vm(PLANT_ID, k_use)_J385.A",-2.665867374093065,5.0017808045383045,-0.5329836468791721
