Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",1.0947561479531869e-6,0.001675766607467093,6.532867662328595e-4
"vm(PLANT_ID, k_use)_J344.C",-1.9919403325387203e-6,0.0016194967865118003,-0.001229974859554441
"vm(PLANT_ID, k_use)_J384.C",1.3067405559881975e-6,0.0015840509967884563,8.249359134507129e-4
"vm(PLANT_ID, k_use)_J488.C",4.550606077836559e-7,0.0015989058484910945,2.8460750719818914e-4
"vm(PLANT_ID, k_use)_J352.B",1.197738092138432e-6,0.0015830957841301754,7.565796739181663e-4
"vm(PLANT_ID, k_use)_J386.B",1.8561277107767226e-7,0.0015538785005496426,1.1945127692545894e-4
"vm(PLANT_ID, k_use)_J348.A",1.257391248695393e-6,0.0015932401567984515,7.892038393145119e-4
"vm(PLANT_ID, k_use)_J352.C",-1.6681887456933485e-6,0.001673413644658862,-9.968777002732168e-4
"vm(PLANT_ID, k_use)_J258.A",7.677196272192071e-7,0.001677871200890592,4.5755575684934075e-4
"vm(PLANT_ID, k_use)_J394.B",-1.9308150369698783e-6,0.0016604475078269446,-0.001162828109812859
"vm(PLANT_ID, k_use)_J348.C",8.644148050284179e-7,0.001590216136847581,5.43583218028475e-4
"vm(PLANT_ID, k_use)_J353.C",8.41931603924952e-7,0.0015867275191858985,5.306088120012701e-4
"vm(PLANT_ID, k_use)_J396.A",2.970207973160191e-6,0.0016253699089293857,0.0018274043076856492
"vm(PLANT_ID, k_use)_J354.C",9.439984339926449e-7,0.0016581104713998295,5.693217974769145e-4
"vm(PLANT_ID, k_use)_J350.B",2.7666681397425864e-6,0.0017128080568313071,0.0016152820677764203
"vm(PLANT_ID, k_use)_J350.C",1.8092967645279934e-6,0.0015908424451456604,0.0011373198961650353
"vm(PLANT_ID, k_use)_J045.C",-2.391978127239736e-6,0.0016375199298100784,-0.0014607322229764621
"vm(PLANT_ID, k_use)_J359.A",-3.746441903240591e-7,0.001575794498525963,-2.3774939605037998e-4
"vm(PLANT_ID, k_use)_J390.A",-7.13837624193578e-8,0.0016098172630542595,-4.43427735915339e-5
"vm(PLANT_ID, k_use)_J395.A",2.19962299486809e-6,0.0016066834786902897,0.001369045629734827
"vm(PLANT_ID, k_use)_J403.A",-6.161678063922601e-6,0.001646846030159836,-0.003741502211548322
"vm(PLANT_ID, k_use)_J407.A",9.704322251457235e-7,0.0017059496423517668,5.688516243702933e-4
"vm(PLANT_ID, k_use)_J490.A",-1.9771929569558642e-8,0.0015597492287481541,-1.267635156032581e-5
"vm(PLANT_ID, k_use)_J530.A",2.8432565680665738e-6,0.0016011721871579106,0.0017757344218633786
"vm(PLANT_ID, k_use)_J536.A",2.73914641456461e-6,0.0015970268721807995,0.001715153615933966
"vm(PLANT_ID, k_use)_J539.A",2.5690476598786646e-6,0.0015972973121243861,0.0016083716164662309
"vm(PLANT_ID, k_use)_J374.B",-2.091129891567287e-6,0.0016321713173892128,-0.00128119509838723
"vm(PLANT_ID, k_use)_J355.C",-2.4214900986472262e-6,0.0016156940605708485,-0.001498730581327803
"vm(PLANT_ID, k_use)_J384.B",6.220213053214422e-7,0.0016207180498987788,3.837936557566507e-4
"vm(PLANT_ID, k_use)_J400.A",-1.9578436566944773e-6,0.0016894466645295963,-0.0011588668040252176
"vm(PLANT_ID, k_use)_J257.A",7.236840847793755e-7,0.0015986911314073014,4.5267285879188455e-4
"vm(PLANT_ID, k_use)_J385.A",9.909337190125648e-7,0.0015967849841129894,6.205805596067941e-4
"vm(PLANT_ID, k_use)_J376.C",-1.8365995122501697e-7,0.0016620278665850337,-1.1050353301378924e-4
"vm(PLANT_ID, k_use)_J358.A",5.188043694903051e-7,0.0015606450643490062,3.324294430179835e-4
"vm(PLANT_ID, k_use)_J422.A",-9.118008295038436e-7,0.0013539184314063813,-6.734532955258697e-4
"vm(PLANT_ID, k_use)_J024.A",-4.863905118513378e-6,0.0016094545735028899,-0.003022082883599103
"vm(PLANT_ID, k_use)_J029.A",2.9166552846910984e-6,0.0016991967606534895,0.0017164906102865862
"vm(PLANT_ID, k_use)_J036.A",2.613603204819054e-7,0.0016774977095000846,1.5580368247405482e-4
"vm(PLANT_ID, k_use)_J037.A",7.966745681754395e-7,0.0016299497844815972,4.887724614343383e-4
"vm(PLANT_ID, k_use)_J379.A",-4.615782632614579e-7,0.0016285379967328794,-2.8343106773527014e-4
"vm(PLANT_ID, k_use)_J365.B",-6.958733182074906e-7,0.0015994322003860001,-4.3507522109380536e-4
"vm(PLANT_ID, k_use)_J351.B",1.645690854807756e-6,0.0016408517935548326,0.001002949115375277
"vm(PLANT_ID, k_use)_J415.B",-1.7834901405859295e-7,0.00158517309408639,-1.1251075022906814e-4
"vm(PLANT_ID, k_use)_J264.A",-5.150155003292638e-7,0.0016354630647535055,-3.149050023987464e-4
"vm(PLANT_ID, k_use)_J387.C",1.0457278926653096e-6,0.0015912504302698124,6.57173674723215e-4
"vm(PLANT_ID, k_use)_J353.B",-1.6763537147361699e-6,0.0016417645436465804,-0.0010210682897395032
"vm(PLANT_ID, k_use)_J489.B",-9.17315187361421e-8,0.0015660699015124246,-5.8574345019690896e-5
"vm(PLANT_ID, k_use)_J381.A",-2.285918114810705e-6,0.0016675089926963293,-0.0013708580432387474
"vm(PLANT_ID, k_use)_J371.A",1.0285994881911847e-6,0.0016343725822318643,6.293543463550711e-4
"vm(PLANT_ID, k_use)_J393.A",5.856177163947908e-7,0.0016047280850992147,3.6493267727571684e-4
"vm(PLANT_ID, k_use)_J374.A",-2.3999467369208597e-6,0.001635124681047237,-0.0014677454048236751
"vm(PLANT_ID, k_use)_J355.A",-3.359075045650752e-7,0.0015915908175256125,-2.1105142155023124e-4
"vm(PLANT_ID, k_use)_J489.C",-1.3481077565133443e-7,0.0015824167846735665,-8.519296367242735e-5
"vm(PLANT_ID, k_use)_J384.A",-1.4601571907240441e-6,0.0015826493050544932,-9.226031225368456e-4
"vm(PLANT_ID, k_use)_J470.A",9.405613694813334e-7,0.0016006517674279738,5.876114896575447e-4
"vm(PLANT_ID, k_use)_J029.B",3.0754787551195546e-6,0.001798516351624465,0.0017100087815947324
"vm(PLANT_ID, k_use)_J394.A",4.074527156873099e-7,0.0016880617465375005,2.4137311121649678e-4
"vm(PLANT_ID, k_use)_J636.B",1.2104266944432946e-6,0.001665026503354037,7.269714277850866e-4
"vm(PLANT_ID, k_use)_J636.C",-5.116173001719258e-7,0.00149802404638532,-3.41528095898354e-4
"vm(PLANT_ID, k_use)_J365.A",-2.1372264843345128e-6,0.0015606358358231987,-0.001369458803441596
"vm(PLANT_ID, k_use)_J376.A",-1.412947815729084e-7,0.0016654631475837847,-8.483813152989642e-5
"vm(PLANT_ID, k_use)_J376.B",-7.387490311229898e-7,0.001717497419334632,-4.3013108654869783e-4
"vm(PLANT_ID, k_use)_J378.A",-3.5751748436949905e-6,0.001633037109101644,-0.0021892796089990527
"vm(PLANT_ID, k_use)_J385.B",3.4076062001590105e-7,0.0016161107270144842,2.1085227287947271e-4
"vm(PLANT_ID, k_use)_J386.A",6.869434286783231e-7,0.0015683796035883333,4.3799564028163126e-4
"vm(PLANT_ID, k_use)_J393.B",-2.6326697984916985e-7,0.0015993175216586586,-1.646120775167489e-4
"vm(PLANT_ID, k_use)_J403.B",-6.559540123381592e-6,0.001671561047278714,-0.003924200156530605
"vm(PLANT_ID, k_use)_J470.B",7.173293872759942e-7,0.0016198815295942982,4.428283020522189e-4
"vm(PLANT_ID, k_use)_J471.C",7.409563696069734e-7,0.0015797153390444232,4.6904423302946547e-4
"vm(PLANT_ID, k_use)_J488.B",-8.748197085397262e-7,0.0015936361426479675,-5.489457004195047e-4
"vm(PLANT_ID, k_use)_J490.C",-1.3266748069377887e-6,0.0015767426131199492,-8.414022655940379e-4
"vm(PLANT_ID, k_use)_J491.B",1.0440957724456679e-6,0.0015999563165835363,6.525776745424999e-4
"vm(PLANT_ID, k_use)_J530.B",3.958231019605751e-6,0.0016546572633481204,0.002392175773970531
"vm(PLANT_ID, k_use)_J386.C",6.26644138303166e-7,0.0015632700080144978,4.0085470525917904e-4
"vm(PLANT_ID, k_use)_J407.B",4.594234249004327e-7,0.001706087279340498,2.692848311242474e-4
"vm(PLANT_ID, k_use)_J259.A",1.3697348761986683e-6,0.0015860154799824126,8.636327283601654e-4
"vm(PLANT_ID, k_use)_J359.B",-8.310644862082594e-7,0.0016000837112354915,-5.19388129741387e-4
"vm(PLANT_ID, k_use)_J378.B",-5.266943353544475e-6,0.001626010161430219,-0.0032391823116970776
"vm(PLANT_ID, k_use)_J409.B",3.985825170142228e-8,0.0015968466206074184,2.4960601216828673e-5
"vm(PLANT_ID, k_use)_J387.A",3.0823471860870584e-7,0.0015664251729302142,1.9677589707787338e-4
"vm(PLANT_ID, k_use)_J368.A",-2.1165216541010993e-6,0.0016800458964646955,-0.0012597999010353679
"vm(PLANT_ID, k_use)_J368.B",5.236364912431216e-7,0.001633767303016998,3.205086123808132e-4
"vm(PLANT_ID, k_use)_J368.C",1.235982696030442e-7,0.0016752459343479153,7.377917896643305e-5
"vm(PLANT_ID, k_use)_J395.B",-4.6902872620279525e-6,0.00162106112909576,-0.0028933438584418034
"vm(PLANT_ID, k_use)_J420.A",-9.002400091077741e-7,0.0016250716208195135,-5.539694359155621e-4
"vm(PLANT_ID, k_use)_J580.A",-3.5705670133134875e-7,0.001580427765940387,-2.2592408778574746e-4
"vm(PLANT_ID, k_use)_J656.A",1.0806482237318007e-6,0.0017270340061120932,6.25724924875429e-4
"vm(PLANT_ID, k_use)_J656.B",1.920623488327456e-6,0.0016586858807816267,0.0011579187539851705
"vm(PLANT_ID, k_use)_J656.C",1.4931611568819407e-6,0.0016976803893917543,8.795301908487682e-4
"vm(PLANT_ID, k_use)_J657.A",2.6850989864778927e-7,0.0016747465821728249,1.6032867390565033e-4
"vm(PLANT_ID, k_use)_J657.B",2.4029747520159114e-7,0.0016716850923370055,1.4374565897794586e-4
"vm(PLANT_ID, k_use)_J657.C",-3.841581612583901e-7,0.0016814310816297012,-2.2847095278270385e-4
"vm(PLANT_ID, k_use)_J658.A",-3.342020103757727e-6,0.0015864150549076508,-0.002106649261439513
"vm(PLANT_ID, k_use)_J658.B",-2.8954185734701983e-6,0.0015826137063428552,-0.0018295169325691022
"vm(PLANT_ID, k_use)_J488.A",-7.228508984730476e-8,0.001623625983329062,-4.452077669950338e-5
"vm(PLANT_ID, k_use)_J357.B",4.6319533068360807e-7,0.0015987648699409673,2.897207334188617e-4
"vm(PLANT_ID, k_use)_J258.C",-4.822804021736642e-7,0.0016517953492751166,-2.919734592940408e-4
"vm(PLANT_ID, k_use)_J267.A",-2.3990416676510204e-7,0.0016193824923145391,-1.4814546155937104e-4
"vm(PLANT_ID, k_use)_J267.B",9.783323664997455e-7,0.0016011804217687935,6.110069503716517e-4
"vm(PLANT_ID, k_use)_J267.C",2.7518333022109007e-7,0.001568389621854518,1.7545597496093082e-4
"vm(PLANT_ID, k_use)_J344.A",-1.921330540644941e-8,0.0015783178458106208,-1.2173280215672589e-5
"vm(PLANT_ID, k_use)_J348.B",-1.4114290277717327e-6,0.001599516181692957,-8.824099711688135e-4
"vm(PLANT_ID, k_use)_J349.A",1.1150393073871841e-6,0.001579036666799237,7.061516244884979e-4
"vm(PLANT_ID, k_use)_J349.B",3.869894917037656e-7,0.0015986455846496567,2.4207334972784126e-4
"vm(PLANT_ID, k_use)_J349.C",2.8709276350585975e-7,0.0015840603009570629,1.8123853197533142e-4
"vm(PLANT_ID, k_use)_J489.A",-1.621543975233504e-6,0.001564047487072331,-0.0010367613442919166
"vm(PLANT_ID, k_use)_J581.C",5.910676445934944e-7,0.0015585493745060887,3.792421685586999e-4
"vm(PLANT_ID, k_use)_J582.A",-2.0732485573897997e-6,0.0015666791789173673,-0.001323339574106353
"vm(PLANT_ID, k_use)_J582.C",7.017127273183704e-7,0.001573546929445979,4.459433107377562e-4
"vm(PLANT_ID, k_use)_J583.C",-5.901003334624632e-7,0.0015815622682519952,-3.73112298711239e-4
"vm(PLANT_ID, k_use)_J536.B",-4.889282036365002e-7,0.001601528383060451,-3.052885036618456e-4
"vm(PLANT_ID, k_use)_J351.C",1.4897667633890561e-6,0.001712955260872415,8.697055885921457e-4
"vm(PLANT_ID, k_use)_J353.A",1.6732623152148882e-7,0.001584687341055768,1.0558942902264297e-4
"vm(PLANT_ID, k_use)_J354.B",4.546116615555323e-7,0.0015627427144854962,2.9090627480877725e-4
"vm(PLANT_ID, k_use)_J355.B",-1.2313962177155642e-6,0.0016218351156836982,-7.592610406616205e-4
"vm(PLANT_ID, k_use)_J357.C",-3.2518445253548974e-7,0.0016648169495258585,-1.953274518427402e-4
"vm(PLANT_ID, k_use)_J378.C",-2.316762510585642e-6,0.0016273885101418845,-0.001423607513600827
