Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-0.32435979004063725,0.24191261503687592,-1.3408138719479077
"vm(PLANT_ID, k_use)_J251.C",-0.19705834428618085,0.2419236726149098,-0.8145475891474876
"vm(PLANT_ID, k_use)_J004.B",-0.006590288960325785,0.24187739737849792,-0.027246402647590415
"vm(PLANT_ID, k_use)_J301.A",-0.48319052702676324,0.2399702731529753,-2.013543263830603
"vm(PLANT_ID, k_use)_J013.C",-0.4199666292824515,0.24190834178784174,-1.7360568311892703
"vm(PLANT_ID, k_use)_J018.C",-0.5730459540677951,0.24023318986698983,-2.3853737877979064
"vm(PLANT_ID, k_use)_J022.C",-0.19991162705889412,0.24199474056346124,-0.826099057332483
"vm(PLANT_ID, k_use)_J065.A",-0.555197042804164,0.2414472073029824,-2.2994552266966983
"vm(PLANT_ID, k_use)_J311.A",-0.005317925851840091,0.24203758311581328,-0.021971487995298238
"vm(PLANT_ID, k_use)_J016.B",-0.49805750788656633,0.24138996893477344,-2.063289995373203
"vm(PLANT_ID, k_use)_J001.B",-0.45759672034026705,0.24181283102109769,-1.8923591374700157
"vm(PLANT_ID, k_use)_J008.D",-0.5738307936997298,0.24141347165077776,-2.376962601862658
"vm(PLANT_ID, k_use)_J005.B",-0.475415833772466,0.24147472026317462,-1.9688016751994881
"vm(PLANT_ID, k_use)_J065.B",-0.4603025174048657,0.24172673466460173,-1.904226762685311
"vm(PLANT_ID, k_use)_J020.B",-0.3033763814884665,0.23952079998882142,-1.2665972287276315
"vm(PLANT_ID, k_use)_J022.D",-0.12477110034906923,0.24009218562905033,-0.5196799721830362
"vm(PLANT_ID, k_use)_J005.D",-0.5638279465866385,0.24143440055298832,-2.3353256424736104
"vm(PLANT_ID, k_use)_J316.A",0.5499969146970505,0.24215401289261487,2.2712690495075587
"vm(PLANT_ID, k_use)_J016.C",-0.5026367141162976,0.24136042916682565,-2.0825149998754795
"vm(PLANT_ID, k_use)_J009.C",-0.1486769716840823,0.2407673276115431,-0.6175130702283639
"vm(PLANT_ID, k_use)_J023.B",-0.5027147577729462,0.24088358074524974,-2.086961494916501
"vm(PLANT_ID, k_use)_J073.A",-0.01395580597558436,0.2420765564835494,-0.05765038208701033
"vm(PLANT_ID, k_use)_J020.C",-0.566825242918792,0.24151728250521315,-2.34693450108092
"vm(PLANT_ID, k_use)_J320.A",0.02701028577492499,0.38515949455549753,0.07012753458433331
"vm(PLANT_ID, k_use)_J016.D",-0.4865679737782039,0.23973326341132242,-2.029622284594586
"vm(PLANT_ID, k_use)_J003.D",-0.4555973846974726,0.23815406204666728,-1.9130363798212116
"vm(PLANT_ID, k_use)_J030.C",-0.4025595221008737,0.24003655876383942,-1.6770758761665672
"vm(PLANT_ID, k_use)_J086.A",-0.4642908955468057,0.24055162155356158,-1.93010919048586
"vm(PLANT_ID, k_use)_J003.E",-0.5524670264636784,0.2405554835874168,-2.296630358305319
"vm(PLANT_ID, k_use)_J296.A",-0.7008900317180302,0.24180156208932138,-2.898616641108058
"vm(PLANT_ID, k_use)_J336.A",0.547124563664066,0.24218437216336858,2.259124148997509
"vm(PLANT_ID, k_use)_J016.E",-0.5868658454807651,0.24110599768627664,-2.434057431637955
"vm(PLANT_ID, k_use)_J458.C",0.1450199100788747,0.37689499426616396,0.38477536790117556
"vm(PLANT_ID, k_use)_J018.B",-0.6970758645274729,0.24155529663471814,-2.885781741236652
"vm(PLANT_ID, k_use)_J003.F",-0.4825140240902661,0.24156065736216886,-1.9974859704361496
"vm(PLANT_ID, k_use)_J299.A",-0.5479857114197522,0.2409873548822179,-2.273918943537843
"vm(PLANT_ID, k_use)_J013.B",-0.4866792749237138,0.35572589064652654,-1.368130034165299
"vm(PLANT_ID, k_use)_J008.B",-0.4916927509002729,0.24162992776860825,-2.0349000450438077
"vm(PLANT_ID, k_use)_J461.C",0.41482112143020317,0.3867417015684525,1.0726050998583112
"vm(PLANT_ID, k_use)_J022.B",0.1644428544739519,0.24193999576493988,0.6796844562803027
"vm(PLANT_ID, k_use)_J587.A",0.5682558406976047,0.24102392017077254,2.35767404453043
"vm(PLANT_ID, k_use)_J650.A",0.553395563573256,0.24219866033417156,2.2848828429096724
"vm(PLANT_ID, k_use)_J650.B",0.38393999305855886,0.24225025450624205,1.5848899471379747
