Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-1.2689055191637821,1.4244355306150955,-0.8908128812371362
"vm(PLANT_ID, k_use)_J251.C",-1.2798869475436916,1.4243966911935142,-0.8985467008290109
"vm(PLANT_ID, k_use)_J352.A",-1.779149576659902,1.4245090756114385,-1.2489562945720385
"vm(PLANT_ID, k_use)_J344.C",-1.6027522371683034,1.4244804733503709,-1.1251486188495363
"vm(PLANT_ID, k_use)_J004.B",-1.8517777397295316,1.424399887262714,-1.3000406390708965
"vm(PLANT_ID, k_use)_J301.A",-1.7731393864731917,1.4241493988192122,-1.2450515289641195
"vm(PLANT_ID, k_use)_J013.C",-1.3319303357853478,1.424414127740298,-0.9350723991332021
"vm(PLANT_ID, k_use)_J018.C",-1.6037715777429282,1.4241899220781131,-1.1260938958216877
"vm(PLANT_ID, k_use)_J384.C",-1.6055120181734697,1.4243659370686115,-1.1271766449832845
"vm(PLANT_ID, k_use)_J488.C",-1.5979144718497342,1.424401732800912,-1.1218144678240671
"vm(PLANT_ID, k_use)_J022.C",-1.2877666303452577,1.4244213330310127,-0.9040630047326175
"vm(PLANT_ID, k_use)_J065.A",-1.58591256152819,1.4243660259099933,-1.1134164482159623
"vm(PLANT_ID, k_use)_J311.A",-1.8540308763806175,1.4244288285134632,-1.3015960076541613
"vm(PLANT_ID, k_use)_J016.B",-1.7858355887422563,1.424369307682495,-1.253772865723905
"vm(PLANT_ID, k_use)_J352.B",-1.7782117545622975,1.4244218201986862,-1.24837441363701
"vm(PLANT_ID, k_use)_J001.B",-1.745869751091128,1.4243876291961575,-1.2256984793362722
"vm(PLANT_ID, k_use)_J008.D",-1.6048352044581902,1.4243681554822973,-1.1266997217547214
"vm(PLANT_ID, k_use)_J005.B",-1.7719468596317582,1.4243677533107946,-1.244023431106926
"vm(PLANT_ID, k_use)_J065.B",-1.7615142825361803,1.4243911006634864,-1.236678803817056
"vm(PLANT_ID, k_use)_J020.B",-1.3358296885225738,1.424069810049875,-0.9380366602082444
"vm(PLANT_ID, k_use)_J386.B",-1.2069759786500085,2.076918107082836,-0.5811379729099109
"vm(PLANT_ID, k_use)_J022.D",-1.6940742995198006,1.4240893546899553,-1.1895842728833717
"vm(PLANT_ID, k_use)_J348.A",-1.6013977090508091,1.4243601589258867,-1.124292686098737
"vm(PLANT_ID, k_use)_J005.D",-1.586282991841206,1.4243778595434387,-1.1136672626669888
"vm(PLANT_ID, k_use)_J316.A",4.14915645161398,1.4244311119388353,2.9128516056957223
"vm(PLANT_ID, k_use)_J016.C",-1.7921853325838464,1.424356101547647,-1.2582424652350148
"vm(PLANT_ID, k_use)_J352.C",-1.6031607219295567,1.4245264855069613,-1.1253990278453987
"vm(PLANT_ID, k_use)_J258.A",-1.7775835066337602,1.4245319389644726,-1.247836891551852
"vm(PLANT_ID, k_use)_J009.C",-1.222259867291762,1.424259739003,-0.8581720270681522
"vm(PLANT_ID, k_use)_J023.B",-1.782816556897656,1.4242872284317174,-1.2517254394401298
"vm(PLANT_ID, k_use)_J073.A",-1.859081374930938,1.4244376536300896,-1.305133552313214
"vm(PLANT_ID, k_use)_J020.C",-1.5960807536042074,1.4243726369891114,-1.12054999664839
"vm(PLANT_ID, k_use)_J394.B",-0.9250720315068713,1.424386392751114,-0.6494530109348714
"vm(PLANT_ID, k_use)_J348.C",-1.6002057545339152,1.42435335257782,-1.1234612195336462
"vm(PLANT_ID, k_use)_J320.A",0.2487619733122542,2.2002327434303033,0.11306166316042475
"vm(PLANT_ID, k_use)_J016.D",-1.7684462677025863,1.4241087503895233,-1.24179158875253
"vm(PLANT_ID, k_use)_J353.C",-0.9235073462692891,1.4244325124518886,-0.6483335210312263
"vm(PLANT_ID, k_use)_J003.D",-1.7721527974634732,1.4238758361972703,-1.2445978451297708
"vm(PLANT_ID, k_use)_J030.C",-1.323885235725758,1.4241747724141975,-0.9295805973880347
"vm(PLANT_ID, k_use)_J086.A",-1.7677116336779903,1.4242518276076868,-1.2411510376273924
"vm(PLANT_ID, k_use)_J396.A",-1.6047226361495226,1.424495158111985,-1.1265202461455959
"vm(PLANT_ID, k_use)_J354.C",-1.6073845330325651,1.4245281443374473,-1.1283627771216587
"vm(PLANT_ID, k_use)_J003.E",-1.60316450857464,1.4242799597104534,-1.1255964795717217
"vm(PLANT_ID, k_use)_J296.A",-0.9184301996355823,1.4243966664434746,-0.6447854177648267
"vm(PLANT_ID, k_use)_J350.B",-1.5989049319302624,1.4245141673860409,-1.1224212215903935
"vm(PLANT_ID, k_use)_J336.A",4.213615806466342,1.4244174211436895,2.958132738283386
"vm(PLANT_ID, k_use)_J016.E",-1.6106392003461039,1.424329127929777,-1.1308054920474198
"vm(PLANT_ID, k_use)_J458.C",1.4918969294920077,2.165731277603451,0.688865209142155
"vm(PLANT_ID, k_use)_J018.B",-0.9182222459184796,1.4243915148287984,-0.644641754994478
"vm(PLANT_ID, k_use)_J003.F",-1.7725584308487317,1.4243750259909973,-1.2444464403716209
"vm(PLANT_ID, k_use)_J299.A",-1.5779902877064567,1.4242820809784678,-1.107919778519149
"vm(PLANT_ID, k_use)_J013.B",-1.635508338425049,2.0533844949047473,-0.7964939554590906
"vm(PLANT_ID, k_use)_J350.C",-1.5991414540749014,1.4242986968930529,-1.122757085689433
"vm(PLANT_ID, k_use)_J008.B",-1.7867415954120796,1.42439666034233,-1.2543848530104431
"vm(PLANT_ID, k_use)_J461.C",3.6049653462636635,2.2106079027496217,1.6307574680157877
"vm(PLANT_ID, k_use)_J022.B",-0.281730163962678,1.4244068810584312,-0.19778770217210223
"vm(PLANT_ID, k_use)_J045.C",-1.7791433025285637,1.4244976928561008,-1.2489618701743228
"vm(PLANT_ID, k_use)_J587.A",4.182737075500187,1.4241679480358191,2.9369689728440562
"vm(PLANT_ID, k_use)_J650.A",4.447087624422281,1.4244298197260894,3.1220124451462503
"vm(PLANT_ID, k_use)_J650.B",3.412201878539396,1.4244261541002594,2.39549229612027
"vm(PLANT_ID, k_use)_J650.C",4.1807139818343755,1.424321361782896,2.9352322404272315
"vm(PLANT_ID, k_use)_J651.A",-1.3410617437668622,1.4243635761722337,-0.941516454226362
"vm(PLANT_ID, k_use)_J651.C",-1.6125417660888282,1.4243553343706985,-1.1321204247121897
"vm(PLANT_ID, k_use)_J652.B",-1.9010907134502781,1.4243767504014542,-1.334682493879842
"vm(PLANT_ID, k_use)_J209.A",2.320692007493782,2.2918103572537576,1.0126021117535364
"vm(PLANT_ID, k_use)_J210.A",4.145047850724953,1.4245071911023022,2.9098118118431264
"vm(PLANT_ID, k_use)_J211.A",4.1710422448415425,1.4244183829475563,2.928242358267227
"vm(PLANT_ID, k_use)_J215.A",-0.4282128667711407,1.4243430151217704,-0.3006388645325942
"vm(PLANT_ID, k_use)_J216.A",1.0056859774283644,2.2055765365545907,0.4559741912195811
"vm(PLANT_ID, k_use)_J218.A",4.432010576360465,1.4244204033540235,3.1114483939745554
"vm(PLANT_ID, k_use)_J219.A",4.90596230445172,1.4243072830211476,3.444454973259361
"vm(PLANT_ID, k_use)_J220.A",2.0616238531463966,2.265206536237785,0.9101262159390053
"vm(PLANT_ID, k_use)_J222.A",4.888946158841828,1.424421405015755,3.4322330046618146
"vm(PLANT_ID, k_use)_J224.A",0.784460136497362,2.27943232620387,0.3441471490420553
"vm(PLANT_ID, k_use)_J225.A",-1.2692861283101764,1.424445295684334,-0.8910739725532135
"vm(PLANT_ID, k_use)_J226.A",4.477201025235127,1.4244188752386713,3.1431772655251713
"vm(PLANT_ID, k_use)_J228.A",2.31249562251197,2.316765737035493,0.9981568639179779
"vm(PLANT_ID, k_use)_J229.A",-1.2341185912212878,1.4243995008397974,-0.8664132432605293
"vm(PLANT_ID, k_use)_J230.A",-1.271091995553492,1.4244276809820466,-0.892352776152988
