Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",0.044119380693780734,1.725417396681475,0.025570265362245853
"vm(PLANT_ID, k_use)_J251.C",0.10741562983884685,1.723337013753751,0.062330019596617076
"vm(PLANT_ID, k_use)_J352.A",-2.3490047001810272,1.7280906862727474,-1.359306382958122
"vm(PLANT_ID, k_use)_J344.C",-2.691423064345998,1.7263420947757782,-1.559032287106205
"vm(PLANT_ID, k_use)_J004.B",-0.3806312646991744,1.723101766872859,-0.22089888828212184
"vm(PLANT_ID, k_use)_J301.A",-1.9854932921375386,1.7076864112987464,-1.1626802667051217
"vm(PLANT_ID, k_use)_J013.C",-0.8410518463729555,1.7229758177380892,-0.48813908919341803
"vm(PLANT_ID, k_use)_J018.C",-2.402005507775745,1.7100393951244028,-1.4046492230671694
"vm(PLANT_ID, k_use)_J384.C",-2.74574960441634,1.7211206578711142,-1.5953266215586583
"vm(PLANT_ID, k_use)_J488.C",-2.675775062096865,1.7235256278092292,-1.5525008847695747
"vm(PLANT_ID, k_use)_J022.C",0.08305715821583622,1.724352975693348,0.048167144074686696
"vm(PLANT_ID, k_use)_J065.A",-2.278692286661136,1.7189835939393414,-1.3256044413077426
"vm(PLANT_ID, k_use)_J311.A",-0.3909935461839091,1.7263105851635572,-0.22649084674810407
"vm(PLANT_ID, k_use)_J016.B",-2.241208930720988,1.7187930936835778,-1.3039434117796058
"vm(PLANT_ID, k_use)_J352.B",-2.3571496161292855,1.7219597800736326,-1.3688761162751963
"vm(PLANT_ID, k_use)_J001.B",-1.9114828030619226,1.7231250150304862,-1.109311736750629
"vm(PLANT_ID, k_use)_J008.D",-2.4795975304106146,1.7190675589493745,-1.4424084251383615
"vm(PLANT_ID, k_use)_J005.B",-2.1091799522336627,1.7220159833280253,-1.224831809143485
"vm(PLANT_ID, k_use)_J065.B",-1.8851198971593717,1.7217478228764378,-1.0948873418698426
"vm(PLANT_ID, k_use)_J020.B",-0.7836070552988205,1.7052028145645053,-0.45953891736857544
"vm(PLANT_ID, k_use)_J386.B",-2.3607220856464237,2.2344071356733415,-1.0565317519606905
"vm(PLANT_ID, k_use)_J022.D",0.049458867668266515,1.7102061494593195,0.02891982798910114
"vm(PLANT_ID, k_use)_J348.A",-2.7111264695595128,1.7186502191375639,-1.5774742523932435
"vm(PLANT_ID, k_use)_J005.D",-2.4011305180019002,1.7211147904333897,-1.395101902178923
"vm(PLANT_ID, k_use)_J316.A",5.011470701027058,1.7258396658523298,2.9037869508880907
"vm(PLANT_ID, k_use)_J016.C",-2.3144636837094805,1.7181434438394023,-1.3470724414822592
"vm(PLANT_ID, k_use)_J352.C",-2.7091827372565063,1.7293420905026868,-1.566597350596491
"vm(PLANT_ID, k_use)_J258.A",-2.3470594168649823,1.729930453774788,-1.3567362848278615
"vm(PLANT_ID, k_use)_J009.C",0.48431744316854713,1.7144385339851778,0.2824933256969913
"vm(PLANT_ID, k_use)_J023.B",-2.262584874660605,1.7145788344599315,-1.3196155400887635
"vm(PLANT_ID, k_use)_J073.A",-0.4364343633013637,1.724811291537038,-0.25303310886400926
"vm(PLANT_ID, k_use)_J020.C",-2.3939807500631693,1.7199288378653692,-1.3919068611201244
"vm(PLANT_ID, k_use)_J394.B",-2.2247920893072006,1.7215982686125706,-1.2922829500172255
"vm(PLANT_ID, k_use)_J348.C",-2.698762170292452,1.7192625066327487,-1.5697208308102388
"vm(PLANT_ID, k_use)_J320.A",1.37317322199358,2.3452746976306997,0.585506347457217
"vm(PLANT_ID, k_use)_J016.D",-2.1398773253282033,1.7063441283064953,-1.2540713738980536
"vm(PLANT_ID, k_use)_J353.C",-2.2209938849752477,1.7225648651036378,-1.2893528307519624
"vm(PLANT_ID, k_use)_J003.D",-1.8372075179088396,1.693739204552393,-1.084705079135463
"vm(PLANT_ID, k_use)_J030.C",-0.7822379739573326,1.7079459212981611,-0.45799926344434594
"vm(PLANT_ID, k_use)_J086.A",-2.055424451018182,1.7153435374295218,-1.198258195030879
"vm(PLANT_ID, k_use)_J396.A",-2.7222049424269468,1.7272326652931773,-1.5760499422727654
"vm(PLANT_ID, k_use)_J354.C",-2.7261013450895044,1.7289518521686431,-1.5767364149962453
"vm(PLANT_ID, k_use)_J003.E",-2.310295903724298,1.7137544452210862,-1.3480903930937749
"vm(PLANT_ID, k_use)_J296.A",-1.9741876885504537,1.7242455715956062,-1.1449573779235822
"vm(PLANT_ID, k_use)_J350.B",-2.6820168139517864,1.7294019987660931,-1.5508348064043942
"vm(PLANT_ID, k_use)_J336.A",4.650374290616852,1.7281475674252837,2.690959023566088
"vm(PLANT_ID, k_use)_J016.E",-2.582406016921518,1.7165667307687995,-1.5044017634927218
"vm(PLANT_ID, k_use)_J458.C",2.094051488268975,2.3153166022263565,0.9044341867783361
"vm(PLANT_ID, k_use)_J018.B",-1.9434224571803678,1.719691507121847,-1.13009946791734
"vm(PLANT_ID, k_use)_J003.F",-2.1767384546566797,1.7215601121609663,-1.2643987504591732
"vm(PLANT_ID, k_use)_J299.A",-2.278014965864206,1.7162104941708367,-1.327351728474774
"vm(PLANT_ID, k_use)_J013.B",-1.9491551508959424,2.1975892554359597,-0.8869515293062658
"vm(PLANT_ID, k_use)_J350.C",-2.7042725039443676,1.7148148314957348,-1.577005548514871
"vm(PLANT_ID, k_use)_J008.B",-2.2390947114957442,1.7205267023387087,-1.301400732957034
"vm(PLANT_ID, k_use)_J461.C",4.11619797104231,2.3708625620492896,1.736160516822373
"vm(PLANT_ID, k_use)_J022.B",0.6763210274832439,1.7236886188105411,0.3923684475853591
"vm(PLANT_ID, k_use)_J045.C",-2.3970141342981393,1.7268988344106075,-1.3880454873989436
"vm(PLANT_ID, k_use)_J587.A",5.319937744299041,1.7176653836973197,3.0971909865516043
"vm(PLANT_ID, k_use)_J650.A",4.854444924317109,1.7271230155067412,2.8107117331725244
"vm(PLANT_ID, k_use)_J650.B",4.0311453539150985,1.727321236444942,2.333755452582598
"vm(PLANT_ID, k_use)_J650.C",5.244416357157655,1.7241143987423122,3.0418030038977073
"vm(PLANT_ID, k_use)_J651.A",-0.678276622886887,1.7178378775793175,-0.39484321060767213
"vm(PLANT_ID, k_use)_J651.C",-2.5336901548241624,1.7184343708037932,-1.4744177594859416
"vm(PLANT_ID, k_use)_J652.B",-1.1104463917011203,1.7206105204423126,-0.6453792874727169
"vm(PLANT_ID, k_use)_J209.A",3.1762744423267013,2.4411975253284957,1.3011132484657468
"vm(PLANT_ID, k_use)_J210.A",4.977752305275386,1.7333246024530709,2.8717946414830036
"vm(PLANT_ID, k_use)_J211.A",4.2847455925361615,1.7236369958381483,2.485874695705652
"vm(PLANT_ID, k_use)_J215.A",1.1005420508825745,1.725185087585241,0.6379269440724267
"vm(PLANT_ID, k_use)_J216.A",1.8948136981882648,2.3473277032556608,0.8072216314578595
"vm(PLANT_ID, k_use)_J218.A",4.811057671500098,1.7245025315368634,2.7898234902633168
"vm(PLANT_ID, k_use)_J219.A",5.298909187627595,1.7280404300936207,3.066426627148136
"vm(PLANT_ID, k_use)_J220.A",2.9562499883159696,2.408757894701996,1.2272922882030481
"vm(PLANT_ID, k_use)_J222.A",5.1605410123416755,1.7229683631026385,2.995145542341138
"vm(PLANT_ID, k_use)_J224.A",1.6217595581951827,2.4220753308198333,0.669574367716401
"vm(PLANT_ID, k_use)_J225.A",0.06854015985352432,1.726420683631491,0.039700729088434854
"vm(PLANT_ID, k_use)_J226.A",5.043789311092712,1.7243040639342824,2.9251159447971604
"vm(PLANT_ID, k_use)_J228.A",3.104586818489182,2.4644096268646996,1.2597689867162776
"vm(PLANT_ID, k_use)_J229.A",0.3878950312635911,1.7240277909633404,0.22499349099636368
"vm(PLANT_ID, k_use)_J230.A",0.20924810345120406,1.7249884758074778,0.12130405877248178
"vm(PLANT_ID, k_use)_J231.A",3.3913075560114385,2.2547440490335084,1.5040765081363074
"vm(PLANT_ID, k_use)_J234.A",1.3599058365025174,2.451413372539857,0.5547435825127885
"vm(PLANT_ID, k_use)_J235.A",5.084941164701069,1.723781289506618,2.9498760635442824
"vm(PLANT_ID, k_use)_J237.A",1.7253530121076257,2.414025309371595,0.7147203492065953
"vm(PLANT_ID, k_use)_J238.A",1.951613539783117,2.3785522021174423,0.82050481719331
"vm(PLANT_ID, k_use)_J240.A",5.047974630770632,1.7262369264018884,2.9242652347221334
"vm(PLANT_ID, k_use)_J246.A",-1.9418504080802637,1.7276915540847875,-1.123956648100258
"vm(PLANT_ID, k_use)_J206.A",-1.6349318976303318,1.612595179995585,-1.0138514103922893
"vm(PLANT_ID, k_use)_J189.A",2.3894321170218773,2.384048930213834,1.002258001813562
"vm(PLANT_ID, k_use)_J250.A",0.09274657852337269,1.7253035507287713,0.05375667283835147
"vm(PLANT_ID, k_use)_J251.A",0.11051104157212097,1.721532448371934,0.06419341190846102
"vm(PLANT_ID, k_use)_J270.A",4.0914266455235095,2.159136917040348,1.8949361725202039
"vm(PLANT_ID, k_use)_J273.A",0.8767068932873899,1.7188151235887577,0.510064684244162
"vm(PLANT_ID, k_use)_J276.A",4.011061452186994,2.3290704196521275,1.7221726824327153
"vm(PLANT_ID, k_use)_J279.A",5.9120233391238255,1.7170941499370531,3.443039707135776
"vm(PLANT_ID, k_use)_J280.A",0.7483142465392509,2.3807574366991844,0.31431771880832843
"vm(PLANT_ID, k_use)_J294.A",3.1815272385426012,2.4576682810744486,1.2945307806762654
"vm(PLANT_ID, k_use)_J295.A",0.10009049303573206,1.7237912947406506,0.05806415970489685
"vm(PLANT_ID, k_use)_J303.A",2.9880894275055523,2.557829110683416,1.1682130815639895
