Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-2.0315433314486233,1.7917285683580477,-1.1338454759977084
"vm(PLANT_ID, k_use)_J251.C",-1.7381962606889623,1.791771290353816,-0.9700994038953071
"vm(PLANT_ID, k_use)_J004.B",-3.9901623225428957,1.7916089802447852,-2.227139050172502
"vm(PLANT_ID, k_use)_J301.A",-3.1257475499193546,1.7837152901885414,-1.7523803081762888
"vm(PLANT_ID, k_use)_J013.C",-2.427394209945681,1.7917780965995636,-1.3547404193367414
"vm(PLANT_ID, k_use)_J018.C",-3.2794002593120295,1.784834327904315,-1.837369557522225
"vm(PLANT_ID, k_use)_J022.C",-1.7517186159641052,1.79207228753225,-0.9774821184118007
"vm(PLANT_ID, k_use)_J065.A",-3.22268567113753,1.7899915912193944,-1.80039151409764
"vm(PLANT_ID, k_use)_J311.A",-3.972001477434987,1.792135863018442,-2.2163506458405786
"vm(PLANT_ID, k_use)_J016.B",-3.218169895812176,1.789770861350883,-1.7980904513012166
"vm(PLANT_ID, k_use)_J001.B",-3.066549136249964,1.7910996457919095,-1.7121041497912488
"vm(PLANT_ID, k_use)_J008.D",-3.3123317842694266,1.7898492862665438,-1.8506205017846151
"vm(PLANT_ID, k_use)_J005.B",-3.1395266954935073,1.7898127202682432,-1.7541090528303873
"vm(PLANT_ID, k_use)_J065.B",-3.1130019586399222,1.791028895708534,-1.7381081712857644
"vm(PLANT_ID, k_use)_J020.B",-2.062648676394584,1.7816763494047971,-1.1577011038417
"vm(PLANT_ID, k_use)_J022.D",-1.462670338478228,1.7837104780386162,-0.8200155554877904
"vm(PLANT_ID, k_use)_J005.D",-3.2471477157078596,1.7897747442489518,-1.8142773140261679
"vm(PLANT_ID, k_use)_J316.A",3.581737498862166,1.7926461658103696,1.9980169914027814
"vm(PLANT_ID, k_use)_J016.C",-3.277676522515296,1.7896618893533256,-1.831450142629817
"vm(PLANT_ID, k_use)_J009.C",-1.6536654404831643,1.7869917582847517,-0.9253906364237735
"vm(PLANT_ID, k_use)_J023.B",-3.244902798989935,1.787690683111791,-1.8151366059264846
"vm(PLANT_ID, k_use)_J073.A",-4.02424938505489,1.7924428520460693,-2.245120049691525
"vm(PLANT_ID, k_use)_J020.C",-3.2720884421197587,1.7902460029206837,-1.827731181514459
"vm(PLANT_ID, k_use)_J320.A",-0.3322707185290939,2.9934548347936625,-0.11099907527149885
"vm(PLANT_ID, k_use)_J016.D",-3.1630655875503155,1.782677698498193,-1.7743339641344158
"vm(PLANT_ID, k_use)_J003.D",-3.0585621506812957,1.775984650676035,-1.7221782572935205
"vm(PLANT_ID, k_use)_J030.C",-2.395727671766096,1.7840908791833272,-1.342828271653262
"vm(PLANT_ID, k_use)_J086.A",-3.0909419937126312,1.785960763844588,-1.7306886334159135
"vm(PLANT_ID, k_use)_J003.E",-3.2429650850288216,1.7862788482643288,-1.8154864724395685
"vm(PLANT_ID, k_use)_J296.A",-2.3888257493134253,1.7911655314776518,-1.333671124936579
"vm(PLANT_ID, k_use)_J336.A",0.38184658569312896,1.792583133781602,0.21301471518790432
"vm(PLANT_ID, k_use)_J016.E",-3.352474729344275,1.788605077082312,-1.8743515672073614
"vm(PLANT_ID, k_use)_J458.C",0.8517997092856995,2.9268801150994825,0.29102651143494046
"vm(PLANT_ID, k_use)_J018.B",-2.409927005375727,1.7905012873065653,-1.3459510040347182
"vm(PLANT_ID, k_use)_J003.F",-3.1961189785209254,1.7901751340395617,-1.7853666480713686
"vm(PLANT_ID, k_use)_J299.A",-3.191847068037749,1.7878600019722457,-1.7852891526834986
"vm(PLANT_ID, k_use)_J013.B",-3.194322006839096,2.761043834640403,-1.1569254956269548
"vm(PLANT_ID, k_use)_J008.B",-3.2311045178034825,1.7907612352741347,-1.8043189980650078
"vm(PLANT_ID, k_use)_J461.C",2.4616569055383852,3.000461954636885,0.8204259686526484
"vm(PLANT_ID, k_use)_J022.B",0.0015791717256439096,1.7918423964733108,8.813117318532156e-4
"vm(PLANT_ID, k_use)_J587.A",3.855601573260878,1.787490835407306,2.1569909601143897
"vm(PLANT_ID, k_use)_J650.A",3.449402388887411,1.792679596405231,1.9241600092979927
"vm(PLANT_ID, k_use)_J650.B",4.3805688378802214,1.7928723510225637,2.443324442692067
"vm(PLANT_ID, k_use)_J650.C",3.762091124899788,1.7908132136952186,2.1007724848852183
"vm(PLANT_ID, k_use)_J651.A",-2.052684230495053,1.7894879570489308,-1.1470790973526097
"vm(PLANT_ID, k_use)_J651.C",-3.3814384560987683,1.7896167650339785,-1.88947629580044
"vm(PLANT_ID, k_use)_J652.B",-4.254725387090029,1.7904101559376047,-2.376397035606575
"vm(PLANT_ID, k_use)_J209.A",1.7906224717049286,3.123838118509163,0.5732123124739559
"vm(PLANT_ID, k_use)_J210.A",3.585918066352844,1.795418164142755,1.9972606593656614
"vm(PLANT_ID, k_use)_J211.A",0.15928525115272346,1.7919397283346137,0.08888984860040991
"vm(PLANT_ID, k_use)_J215.A",1.7103371613265725,1.7911669737276632,0.9548731002822853
"vm(PLANT_ID, k_use)_J216.A",0.23214945064504952,3.003037696367056,0.07730487397007829
"vm(PLANT_ID, k_use)_J218.A",3.3924732914994085,1.7922769389524027,1.8928287352078137
"vm(PLANT_ID, k_use)_J219.A",2.7262056806711943,1.791820796453095,1.5214722845430257
"vm(PLANT_ID, k_use)_J220.A",1.4611890032873436,3.066546837099184,0.47649329389325845
"vm(PLANT_ID, k_use)_J222.A",2.6419452158347863,1.7917041121120982,1.4745432563194858
"vm(PLANT_ID, k_use)_J224.A",0.10353170063892705,3.103642818841674,0.03335812356061212
"vm(PLANT_ID, k_use)_J225.A",-2.045139491371571,1.7923431428047958,-1.1410423833079082
"vm(PLANT_ID, k_use)_J226.A",3.5861051938669344,1.7921546371296366,2.0010021008067347
"vm(PLANT_ID, k_use)_J228.A",1.5882309077529517,3.1572159833872298,0.5030479118660146
"vm(PLANT_ID, k_use)_J229.A",-1.8707157735030864,1.7918509782415575,-1.0440130324559262
"vm(PLANT_ID, k_use)_J230.A",-1.6624376503165341,1.7924303607247323,-0.9274768419144395
"vm(PLANT_ID, k_use)_J231.A",1.3654553061526833,2.816855303124198,0.48474456768803326
"vm(PLANT_ID, k_use)_J234.A",-0.4534556868759457,3.1139178759216772,-0.14562223698392462
"vm(PLANT_ID, k_use)_J235.A",2.611539523855223,1.7916817511661645,1.457591183342372
"vm(PLANT_ID, k_use)_J237.A",0.20935502803829376,3.090944968408507,0.06773172288023242
"vm(PLANT_ID, k_use)_J238.A",0.5786448412549435,3.0488564051976117,0.1897907819694246
"vm(PLANT_ID, k_use)_J240.A",3.5244006162704515,1.7890874803594106,1.9699431441789717
"vm(PLANT_ID, k_use)_J246.A",-3.098229641702097,1.7934124714473787,-1.727561111026323
"vm(PLANT_ID, k_use)_J206.A",-2.7843641998567525,1.706117051073913,-1.6319889647103276
"vm(PLANT_ID, k_use)_J189.A",1.3013942582673794,3.052967870037231,0.42627184879332153
"vm(PLANT_ID, k_use)_J250.A",-2.0310551306907683,1.7916698620969194,-1.1336101441778337
"vm(PLANT_ID, k_use)_J251.A",-1.7135306190348756,1.791058280929123,-0.956714048493146
"vm(PLANT_ID, k_use)_J270.A",3.727678021983906,2.6503350264587286,1.4064931356865775
"vm(PLANT_ID, k_use)_J273.A",-0.923275827935074,1.7875065769841518,-0.5165160452124367
"vm(PLANT_ID, k_use)_J276.A",3.9177558139645163,2.923271030020458,1.34019588800738
"vm(PLANT_ID, k_use)_J279.A",6.6957281384316305,1.786193154958591,3.7486025068699003
"vm(PLANT_ID, k_use)_J280.A",-0.8606696387855572,3.0316944746949885,-0.28389062485333294
"vm(PLANT_ID, k_use)_J294.A",1.8157192086308631,3.151501440148669,0.5761441786125944
"vm(PLANT_ID, k_use)_J295.A",-1.7298164868443624,1.7919355532114383,-0.9653340957180361
"vm(PLANT_ID, k_use)_J303.A",1.7056719344091549,3.305943828255806,0.5159409908392352
"vm(PLANT_ID, k_use)_J308.A",4.258775030229902,1.7913884300726477,2.3773599062807347
"vm(PLANT_ID, k_use)_J312.A",1.514708931301546,3.236052770193985,0.4680730009266032
"vm(PLANT_ID, k_use)_J314.A",0.3476890970935199,1.7929960984224234,0.1939151442657549
"vm(PLANT_ID, k_use)_J318.A",-0.36943075992583263,3.0356676330631522,-0.12169670879056581
"vm(PLANT_ID, k_use)_J319.A",3.9244614199388037,1.7914064262201257,2.190715274042771
"vm(PLANT_ID, k_use)_J324.A",-1.594931435442163,1.791603436438946,-0.8902257067625997
"vm(PLANT_ID, k_use)_J326.A",-1.3087393852700717,1.7911675017365027,-0.7306627571130415
"vm(PLANT_ID, k_use)_J329.A",3.8057901093960633,1.7904522397688876,2.125602696828884
"vm(PLANT_ID, k_use)_J330.A",0.0773383007004782,3.0917899866094594,0.025014086026357008
"vm(PLANT_ID, k_use)_J331.A",3.7017847691256907,1.7967076717953887,2.060315557859573
"vm(PLANT_ID, k_use)_J337.A",1.4412751506628536,3.0568507420151927,0.47149019441908047
"vm(PLANT_ID, k_use)_J340.A",1.2401028043766054,3.050413327116047,0.406535990828835
"vm(PLANT_ID, k_use)_J343.A",1.4865810171535156,3.2839521010405894,0.45268048114418635
"vm(PLANT_ID, k_use)_J424.A",-0.9482922686184432,3.2464685580705717,-0.2920996312319219
"vm(PLANT_ID, k_use)_J463.A",1.5221039396161449,2.956082045080087,0.5149058505156976
"vm(PLANT_ID, k_use)_J466.A",3.02077519773724,2.738489982988978,1.1030806088398235
"vm(PLANT_ID, k_use)_J477.A",-1.4808272927778012,1.7903506653066004,-0.8271157832223931
"vm(PLANT_ID, k_use)_J483.A",-1.3387598473030013,2.6931652782386863,-0.49709531684536723
"vm(PLANT_ID, k_use)_J484.A",-3.97107399309368,1.7916425398772748,-2.2164432383737065
"vm(PLANT_ID, k_use)_J496.A",1.8902906643407338,3.2205746617235254,0.5869420407503064
"vm(PLANT_ID, k_use)_J497.A",1.7116674428511507,3.245266390596664,0.5274351122024374
"vm(PLANT_ID, k_use)_J498.A",2.0403855557966293,2.9238335020323083,0.6978460142748864
"vm(PLANT_ID, k_use)_J500.A",3.5627470459525608,1.7865963463112344,1.994153325852549
"vm(PLANT_ID, k_use)_J501.A",2.274473349855513,2.949188800421155,0.7712199875201987
"vm(PLANT_ID, k_use)_J502.A",2.2866457944830056,2.952282450557304,0.7745349006330184
"vm(PLANT_ID, k_use)_J503.A",4.37227341152478,1.7881084146088622,2.445194807989978
"vm(PLANT_ID, k_use)_J504.A",6.806231243803353,1.7848717282330842,3.8132887288999266
"vm(PLANT_ID, k_use)_J514.A",-1.495972156675195,1.792617899706427,-0.8345181407148656
"vm(PLANT_ID, k_use)_J535.A",2.530975852856969,1.7933916986147043,1.4112788939594219
"vm(PLANT_ID, k_use)_J018.A",-3.210743161281186,1.7908714179223189,-1.7928384635263948
"vm(PLANT_ID, k_use)_J022.A",4.2037831621279205,1.7912993792631176,2.3467786629040313
"vm(PLANT_ID, k_use)_J305.A",1.5436469806656288,3.1286128848266834,0.49339660657670104
"vm(PLANT_ID, k_use)_J323.A",-1.568025904010285,1.7913488607967163,-0.8753325152493711
"vm(PLANT_ID, k_use)_J481.B",-1.9337917274709695,1.7897245439882485,-1.0804968473872965
"vm(PLANT_ID, k_use)_J419.B",-3.15653881625525,1.7911004753661168,-1.7623460323240803
"vm(PLANT_ID, k_use)_J306.A",-2.1852902147708,1.7906228817732537,-1.2204078463504875
