Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",-2.3828156330569445,5.157054947816195,-0.46204968866309465
"vm(PLANT_ID, k_use)_J344.C",-1.5065590239484499,5.099211334417739,-0.2954494185757215
"vm(PLANT_ID, k_use)_J384.C",-2.1244218849147734,5.002941629998957,-0.4246345534347592
"vm(PLANT_ID, k_use)_J488.C",-2.078278124938909,5.01996687640196,-0.41400235820450393
"vm(PLANT_ID, k_use)_J352.B",-2.310646168759784,5.0101234283129825,-0.46119545792065025
"vm(PLANT_ID, k_use)_J386.B",-1.8317731507067256,6.138071794225098,-0.298428107737371
"vm(PLANT_ID, k_use)_J348.A",6.639973857512441,4.973316840074894,1.335119814608966
"vm(PLANT_ID, k_use)_J352.C",-2.2488857958325195,5.173765975942512,-0.43467095463722377
"vm(PLANT_ID, k_use)_J258.A",-1.7436654430710645,5.1886797971607255,-0.3360518496487696
"vm(PLANT_ID, k_use)_J394.B",-2.380952582831138,5.061537311998006,-0.47040107304697004
"vm(PLANT_ID, k_use)_J348.C",-1.0591725667049332,4.981131140848838,-0.21263695669824081
"vm(PLANT_ID, k_use)_J353.C",-1.832805639595474,5.023506919914391,-0.36484584749546
"vm(PLANT_ID, k_use)_J396.A",-0.9211202051293507,5.11871736965027,-0.17995137035516479
"vm(PLANT_ID, k_use)_J354.C",-2.384290545922691,5.153913568997971,-0.46261748746908987
"vm(PLANT_ID, k_use)_J350.B",-2.205311266207756,5.171950186162428,-0.42639839650971006
"vm(PLANT_ID, k_use)_J350.C",-2.7485524004875193,4.914484616616081,-0.5592758172839828
"vm(PLANT_ID, k_use)_J045.C",-1.054246133711959,5.1127106775120845,-0.20620101551002878
"vm(PLANT_ID, k_use)_J359.A",-1.083206714021784,5.0115539814512005,-0.21614188294308642
"vm(PLANT_ID, k_use)_J390.A",-0.9193854310642728,5.08733037961996,-0.18072060638077803
"vm(PLANT_ID, k_use)_J395.A",-0.27098622875659784,4.689089799614782,-0.05779079530079802
"vm(PLANT_ID, k_use)_J403.A",9.201486210660057,5.107456555342242,1.8015789485346843
"vm(PLANT_ID, k_use)_J407.A",10.732226744137199,5.152487578591905,2.082921420078445
"vm(PLANT_ID, k_use)_J490.A",-2.5977850187067064,4.998230637647144,-0.5197409257467922
"vm(PLANT_ID, k_use)_J530.A",-0.13461791062102454,4.762925312553544,-0.02826370387673619
"vm(PLANT_ID, k_use)_J536.A",7.6919078005243655,4.776267747943238,1.610443175811629
"vm(PLANT_ID, k_use)_J539.A",7.983263010322166,4.828432675866506,1.6533860045774578
"vm(PLANT_ID, k_use)_J374.B",7.96038969127151,5.100420176725399,1.5607321388141564
"vm(PLANT_ID, k_use)_J355.C",-2.0969824593399626,5.062683622575737,-0.4142037337646398
"vm(PLANT_ID, k_use)_J384.B",-2.6341451258552033,5.065308584123783,-0.5200364562410699
"vm(PLANT_ID, k_use)_J400.A",0.8551169664735572,6.941201506759056,0.12319437285329918
"vm(PLANT_ID, k_use)_J257.A",-0.6503211144436731,5.065959925755634,-0.128370757758545
"vm(PLANT_ID, k_use)_J385.A",-2.1725848549188087,5.064134571187614,-0.42901404462664305
"vm(PLANT_ID, k_use)_J376.C",-2.4031456417716055,4.982571830547844,-0.4823102854309227
"vm(PLANT_ID, k_use)_J358.A",-1.8899477685860204,4.999182604525738,-0.3780513572108886
"vm(PLANT_ID, k_use)_J422.A",-0.2921878979137891,4.5268381322721964,-0.06454569157902021
"vm(PLANT_ID, k_use)_J024.A",0.008330184395820192,5.03379283706207,0.0016548524473410852
"vm(PLANT_ID, k_use)_J029.A",-0.35416256591672646,5.064220178799206,-0.06993427485625302
"vm(PLANT_ID, k_use)_J036.A",15.820362169048144,5.099744425512486,3.102187256660086
"vm(PLANT_ID, k_use)_J037.A",15.525142503344997,5.00683527837565,3.100789548719039
"vm(PLANT_ID, k_use)_J379.A",-2.5984294616378154,5.075965352382377,-0.5119084314510257
"vm(PLANT_ID, k_use)_J365.B",-1.4667975316831672,5.065985346204462,-0.28953844739841605
"vm(PLANT_ID, k_use)_J351.B",-1.975987494733012,5.094415663660262,-0.38787323712672755
