Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",194.9400245353171,106.59173614295882,1.8288474471779614
"vm(PLANT_ID, k_use)_J251.C",165.02235911228354,138.87097681612244,1.1883142388404733
"vm(PLANT_ID, k_use)_J352.A",-228.16044641422215,141.95538868600232,-1.6072686533858942
"vm(PLANT_ID, k_use)_J344.C",-242.5901864837788,140.3944105378918,-1.7279191212409761
"vm(PLANT_ID, k_use)_J004.B",161.26441358556033,139.24349411649894,1.1581468463484366
"vm(PLANT_ID, k_use)_J301.A",184.21338351855547,105.68038996548869,1.7431179387085225
"vm(PLANT_ID, k_use)_J013.C",225.8868195649374,106.57513908498984,2.1195076216114606
"vm(PLANT_ID, k_use)_J018.C",137.7155874699101,105.12000164096482,1.310079769026972
"vm(PLANT_ID, k_use)_J384.C",-92.34676021057324,136.49757033988317,-0.6765450841405232
"vm(PLANT_ID, k_use)_J488.C",-91.92241986654756,106.50766364640249,-0.8630592083187849
"vm(PLANT_ID, k_use)_J022.C",165.88674532148252,140.15030512463832,1.183634564148514
"vm(PLANT_ID, k_use)_J065.A",227.6421533406128,105.91969142762375,2.1491957753310067
"vm(PLANT_ID, k_use)_J311.A",145.476917905826,143.5072768846588,1.0137250254058563
"vm(PLANT_ID, k_use)_J016.B",208.17736198103265,106.05641591290275,1.9628926754605323
"vm(PLANT_ID, k_use)_J352.B",-210.61936913659497,106.48612029900758,-1.9779044305979647
"vm(PLANT_ID, k_use)_J001.B",39.387676435713345,106.37050517003442,0.3702875752329249
"vm(PLANT_ID, k_use)_J008.D",120.18705869846995,105.98936776664237,1.1339539166144168
"vm(PLANT_ID, k_use)_J005.B",169.46069877994768,106.41735417196934,1.5924160123930629
"vm(PLANT_ID, k_use)_J065.B",168.15174091728667,106.22531972078795,1.5829723210932347
"vm(PLANT_ID, k_use)_J020.B",117.41049726821096,104.73618593352293,1.1210117708767104
"vm(PLANT_ID, k_use)_J386.B",-101.43257386683999,131.60129887018897,-0.7707566318695129
"vm(PLANT_ID, k_use)_J022.D",181.08317758096717,136.51978511170148,1.3264244258281215
