Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",0.22682178542849388,0.6318388637190681,0.358986758258898
"vm(PLANT_ID, k_use)_J251.C",0.03952823386943228,0.6442495877547793,0.06135546629868844
"vm(PLANT_ID, k_use)_J004.B",0.030621636119078463,0.6456507101030521,0.04742755740823232
"vm(PLANT_ID, k_use)_J301.A",-0.02096970156793194,0.6293607973964965,-0.03331904633189451
"vm(PLANT_ID, k_use)_J013.C",-0.4842395885965709,0.6664785248505136,-0.726564428621586
"vm(PLANT_ID, k_use)_J018.C",0.0034728713799761645,0.6275155300479366,0.005534319413116147
"vm(PLANT_ID, k_use)_J022.C",0.05884658329015389,0.6504151078719954,0.09047542496773485
"vm(PLANT_ID, k_use)_J065.A",-0.12761559199390082,0.6258060351030343,-0.20392195797998314
"vm(PLANT_ID, k_use)_J311.A",0.08712837954233697,0.6565998821204566,0.13269630701266685
"vm(PLANT_ID, k_use)_J016.B",-0.4568071286065519,0.644120816135103,-0.7091947925973217
"vm(PLANT_ID, k_use)_J001.B",-0.2274416764709091,0.6310679557465417,-0.36040758273306683
"vm(PLANT_ID, k_use)_J008.D",-0.037297631144288024,0.6317059939222974,-0.05904270578897783
"vm(PLANT_ID, k_use)_J005.B",-0.25538403074702026,0.6347550349022231,-0.40233478539695133
"vm(PLANT_ID, k_use)_J065.B",0.1893535981646971,0.6326407312109624,0.2993066820124717
"vm(PLANT_ID, k_use)_J020.B",-0.10669120612794696,0.6277900788039614,-0.16994726379112335
"vm(PLANT_ID, k_use)_J022.D",0.023831003981142143,0.6473502588223244,0.03681315278145728
"vm(PLANT_ID, k_use)_J005.D",-0.1402762135466578,0.6293080519708462,-0.22290548024508094
"vm(PLANT_ID, k_use)_J316.A",0.04632305730918793,0.6583683596470031,0.07036039419334326
"vm(PLANT_ID, k_use)_J016.C",-0.32625934035046217,0.6445170978177927,-0.5062074248380869
"vm(PLANT_ID, k_use)_J009.C",0.0835346220854808,0.6455260769514205,0.12940549587087752
"vm(PLANT_ID, k_use)_J023.B",-0.5134159651951179,0.6355829961149703,-0.807787446066676
"vm(PLANT_ID, k_use)_J073.A",0.05484747131818942,0.6502039724499772,0.08435425442192152
"vm(PLANT_ID, k_use)_J020.C",-0.34259823780645043,0.6259713413751006,-0.5473065860393047
"vm(PLANT_ID, k_use)_J320.A",0.07294986086987605,0.6494446417937936,0.11232652665881644
"vm(PLANT_ID, k_use)_J016.D",-0.1999335947270839,0.5926228757794594,-0.337370700488261
"vm(PLANT_ID, k_use)_J003.D",-0.2885188612525318,0.6022542578918753,-0.4790648757925935
"vm(PLANT_ID, k_use)_J030.C",-0.194658076967825,0.638520454937382,-0.3048580127114559
"vm(PLANT_ID, k_use)_J086.A",0.033434571827995495,0.6175457927121052,0.05414104058770978
"vm(PLANT_ID, k_use)_J003.E",-0.4653360914483969,0.617802985414178,-0.7532111408241794
"vm(PLANT_ID, k_use)_J296.A",-0.23346539542680503,0.6562098581768258,-0.35577855546920817
"vm(PLANT_ID, k_use)_J336.A",0.08730284404193744,0.6579435216318493,0.13269048356218566
"vm(PLANT_ID, k_use)_J016.E",-0.44686583564635735,0.6404311429885319,-0.6977578160254447
"vm(PLANT_ID, k_use)_J458.C",0.03928296252286554,0.6815221822640467,0.057640035123091383
"vm(PLANT_ID, k_use)_J018.B",-0.018186534242720306,0.6345700707750496,-0.028659615510242525
"vm(PLANT_ID, k_use)_J003.F",-0.09969841375525244,0.6593837630069604,-0.15119937637014583
"vm(PLANT_ID, k_use)_J299.A",-0.14851285325382682,0.602411044602124,-0.24653076098881202
"vm(PLANT_ID, k_use)_J013.B",-0.3314240702979318,0.6330029930804043,-0.5235742546573302
"vm(PLANT_ID, k_use)_J008.B",-0.18665771035373818,0.6292706747481758,-0.29662547111135545
"vm(PLANT_ID, k_use)_J461.C",0.06975817286180419,0.7102691212291894,0.09821372037275242
"vm(PLANT_ID, k_use)_J022.B",0.06518645979087855,0.6497172777956547,0.10033050069415056
"vm(PLANT_ID, k_use)_J587.A",0.07522236991441969,0.6602941502226144,0.11392251451729339
"vm(PLANT_ID, k_use)_J650.A",0.02736001764538512,0.6575610121129256,0.041608333130137704
"vm(PLANT_ID, k_use)_J650.B",0.08246237712727883,0.6611535067920756,0.12472500906391198
"vm(PLANT_ID, k_use)_J650.C",0.08950117943106736,0.6505623911995699,0.13757508986345862
"vm(PLANT_ID, k_use)_J651.A",-0.17708033635266188,0.6520610287277784,-0.2715701882968828
"vm(PLANT_ID, k_use)_J651.C",-0.16987405275681516,0.6566584669655179,-0.2586946811815578
"vm(PLANT_ID, k_use)_J652.B",-0.1534015846079306,0.6382872837248608,-0.24033313606488152
"vm(PLANT_ID, k_use)_J209.A",0.10215920140329245,0.66277313978707,0.1541390187238325
"vm(PLANT_ID, k_use)_J210.A",0.028039321416274104,0.7035459033339172,0.0398542885167879
"vm(PLANT_ID, k_use)_J211.A",0.058333370654096293,0.6470430841729262,0.09015376577072934
"vm(PLANT_ID, k_use)_J215.A",0.11316706562935425,0.6446218650350495,0.1755557354902957
"vm(PLANT_ID, k_use)_J216.A",0.06491501163477668,0.6458682402198557,0.10050813400064292
"vm(PLANT_ID, k_use)_J218.A",0.06506807396487016,0.6516661925474586,0.09984877949630858
"vm(PLANT_ID, k_use)_J219.A",0.09429373272177782,0.658595104556294,0.14317405651732715
"vm(PLANT_ID, k_use)_J220.A",0.1090269451371796,0.6488023681495142,0.16804338345456643
"vm(PLANT_ID, k_use)_J222.A",0.209293984604101,0.6283612960099894,0.333079051706542
"vm(PLANT_ID, k_use)_J224.A",0.04179629331905095,0.6479690246285527,0.06450353601857839
"vm(PLANT_ID, k_use)_J225.A",0.06878595493386468,0.6555139474123863,0.10493438805595874
"vm(PLANT_ID, k_use)_J226.A",0.18870218028190028,0.6349506122253072,0.2971919022497781
"vm(PLANT_ID, k_use)_J228.A",0.07927421715685613,0.6632034867483497,0.11953226836235929
"vm(PLANT_ID, k_use)_J229.A",0.09492157763496477,0.6393975716090894,0.14845470463093546
"vm(PLANT_ID, k_use)_J230.A",0.12069343239738695,0.6361387879759086,0.18972814530208737
"vm(PLANT_ID, k_use)_J231.A",0.07607562180776725,0.6327550095188428,0.12022918928072399
"vm(PLANT_ID, k_use)_J234.A",0.06623584294159145,0.6653956337518163,0.09954354910344441
"vm(PLANT_ID, k_use)_J235.A",0.24472523067077562,0.6292245715348761,0.38893145903983695
"vm(PLANT_ID, k_use)_J237.A",0.04133475091274981,0.645420367295244,0.06404314615290325
"vm(PLANT_ID, k_use)_J238.A",0.0865018988023312,0.6554285405766508,0.13197761990380552
"vm(PLANT_ID, k_use)_J240.A",0.09382461702087028,0.654181989040194,0.14342280679192704
"vm(PLANT_ID, k_use)_J246.A",-0.18043585845544344,0.6396864188261885,-0.2820692344641919
