Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",0.0620178833483333,0.40778269059365935,0.15208562005916987
"vm(PLANT_ID, k_use)_J344.C",0.07330917189109666,0.40405911920337795,0.18143179650450467
"vm(PLANT_ID, k_use)_J384.C",-0.5436220356792539,0.38088046962836086,-1.427277266827795
"vm(PLANT_ID, k_use)_J488.C",-0.35314269430858064,0.13487017054783462,-2.618389914346041
"vm(PLANT_ID, k_use)_J352.B",0.04539028668186567,0.13487017524379152,0.3365479921696411
"vm(PLANT_ID, k_use)_J386.B",-0.44201477713656595,0.3548105464345,-1.2457768845328399
"vm(PLANT_ID, k_use)_J348.A",0.09850258402712887,0.3736004151019385,0.2636575872118665
"vm(PLANT_ID, k_use)_J352.C",0.04539027864932288,0.13487017607273188,0.3365479305435556
"vm(PLANT_ID, k_use)_J258.A",0.0595059043137771,0.41959135616629106,0.1418187087014107
"vm(PLANT_ID, k_use)_J394.B",0.38935687044926437,0.1348701764463428,2.8869011719886597
"vm(PLANT_ID, k_use)_J348.C",0.1034843982405237,0.13487017553763986,0.7672889712495633
"vm(PLANT_ID, k_use)_J353.C",0.056633287045525574,0.3894990204097611,0.14540033242175082
"vm(PLANT_ID, k_use)_J396.A",0.21127193630815028,0.13487017473531665,1.566483744258302
"vm(PLANT_ID, k_use)_J354.C",0.1588254126966026,0.13487017602635334,1.177617004559766
"vm(PLANT_ID, k_use)_J350.B",-0.01531503107807652,0.13487017850784616,-0.11355387267605313
"vm(PLANT_ID, k_use)_J350.C",0.30692383950910623,0.1348701770218342,2.2756983514555493
"vm(PLANT_ID, k_use)_J045.C",-0.21169644982227573,0.1348701751764838,-1.5696313105937707
"vm(PLANT_ID, k_use)_J359.A",-0.07849059492377251,0.13487017420229272,-0.5819714802625221
"vm(PLANT_ID, k_use)_J390.A",0.4252980182997144,0.1348701768650046,3.15338815582193
"vm(PLANT_ID, k_use)_J395.A",-0.015315013096517336,0.13487017341795518,-0.11355374363653378
"vm(PLANT_ID, k_use)_J403.A",0.11372599659775275,0.39916125474553416,0.28491241383198185
"vm(PLANT_ID, k_use)_J407.A",0.09753981892088909,0.42423399774811643,0.2299198542281897
"vm(PLANT_ID, k_use)_J490.A",-0.3560788150733379,0.3870735296001191,-0.9199255124503051
"vm(PLANT_ID, k_use)_J530.A",0.0793403482140293,0.3413972235683254,0.23239892634378892
"vm(PLANT_ID, k_use)_J536.A",-0.0784905399628319,0.1348701757894799,-0.5819710659037658
"vm(PLANT_ID, k_use)_J539.A",0.10743501809697503,0.3552332748258068,0.3024351199916651
"vm(PLANT_ID, k_use)_J374.B",0.38935680482477225,0.13487017568621468,2.886900701683961
"vm(PLANT_ID, k_use)_J355.C",-0.01531510694167051,0.13487017389258965,-0.11355443905534986
"vm(PLANT_ID, k_use)_J384.B",-1.2362146763128754,0.1348701729416274,-9.165960488891168
"vm(PLANT_ID, k_use)_J400.A",0.05240220479857649,0.42302862929190393,0.12387389687145078
"vm(PLANT_ID, k_use)_J257.A",0.2606839701931256,0.13487017351744865,1.93285115155131
"vm(PLANT_ID, k_use)_J385.A",-0.015315301402675533,0.13487017516108554,-0.11355587982579042
"vm(PLANT_ID, k_use)_J376.C",0.34985792238763996,0.13487017656101147,2.594034732573914
"vm(PLANT_ID, k_use)_J358.A",0.07325757404096254,0.3883975216038656,0.18861493692969394
"vm(PLANT_ID, k_use)_J422.A",0.0543840890276519,0.3236685152650951,0.16802403218956763
"vm(PLANT_ID, k_use)_J024.A",0.48605447760861464,0.1348701744251198,3.60386927414017
"vm(PLANT_ID, k_use)_J029.A",0.05144686379430679,0.3923805859776348,0.13111470249254176
"vm(PLANT_ID, k_use)_J036.A",0.2567252296535144,0.39759453758580854,0.6456960681913497
"vm(PLANT_ID, k_use)_J037.A",0.5313155780998556,0.13487017362087347,3.9394594359566053
"vm(PLANT_ID, k_use)_J379.A",0.3069238498444093,0.13487017393179324,2.2756984802260827
"vm(PLANT_ID, k_use)_J365.B",0.15882535985484408,0.1348701753636442,1.1776166185489907
"vm(PLANT_ID, k_use)_J351.B",0.11472447501880766,0.40055547297265565,0.2864134502205128
"vm(PLANT_ID, k_use)_J415.B",0.045390321786159996,0.13487017445531294,0.3365482544192849
"vm(PLANT_ID, k_use)_J264.A",0.04698011781044229,0.4086088634780666,0.11497576780530143
"vm(PLANT_ID, k_use)_J387.C",-0.5785314762500824,0.13487017401379742,-4.289543484913853
"vm(PLANT_ID, k_use)_J353.B",0.10348435951737674,0.13487017605205318,0.7672886812087865
"vm(PLANT_ID, k_use)_J489.B",-0.2616268016716927,0.39186832076113925,-0.6676395814888175
"vm(PLANT_ID, k_use)_J381.A",-0.015314982978943282,0.1348701749144681,-0.11355351906865792
"vm(PLANT_ID, k_use)_J371.A",0.30692389198902714,0.13487017551624328,2.275698765974115
"vm(PLANT_ID, k_use)_J393.A",0.14521498234905,0.3974283401341917,0.3653865808865522
"vm(PLANT_ID, k_use)_J374.A",0.1588254395653795,0.13487017564174,1.1776172071375708
"vm(PLANT_ID, k_use)_J355.A",0.3069237584980821,0.13487017531745088,2.275697779554745
"vm(PLANT_ID, k_use)_J489.C",-0.2670253366514844,0.39584195743958006,-0.6745756270474239
"vm(PLANT_ID, k_use)_J384.A",-0.7362359825377102,0.13487017392935127,-5.458849507552136
"vm(PLANT_ID, k_use)_J470.A",-0.3329392374206145,0.3922340838290459,-0.8488279095238574
"vm(PLANT_ID, k_use)_J029.B",0.04539032524189299,0.13487017711543292,0.33654827340401755
"vm(PLANT_ID, k_use)_J394.A",0.4252980720254936,0.13487017825693606,3.1533885216291058
"vm(PLANT_ID, k_use)_J636.B",0.573011798837546,0.1348701743079033,4.248617618965796
"vm(PLANT_ID, k_use)_J636.C",0.5730115590397405,0.1348701708802555,4.2486159489520405
"vm(PLANT_ID, k_use)_J365.A",-0.015315060060545536,0.13487017474356508,-0.11355409073699778
"vm(PLANT_ID, k_use)_J376.A",0.389356851776873,0.13487017631361956,2.886901036382457
"vm(PLANT_ID, k_use)_J376.B",0.2514925047436118,0.3893713447809327,0.6458937158950564
"vm(PLANT_ID, k_use)_J378.A",0.34985787598324214,0.13487017483102023,2.5940344217806603
"vm(PLANT_ID, k_use)_J385.B",-1.1505999589521598,0.1348701748251049,-8.531166808704882
"vm(PLANT_ID, k_use)_J386.A",-0.6567124071424653,0.13487017216430153,-4.869219017103687
"vm(PLANT_ID, k_use)_J393.B",0.04539036695603297,0.1348701758465154,0.3365485858614732
"vm(PLANT_ID, k_use)_J403.B",0.30692383822756547,0.13487017417789166,2.2756983899400747
"vm(PLANT_ID, k_use)_J470.B",-0.28464830908752065,0.39949100577869623,-0.7125274536098208
"vm(PLANT_ID, k_use)_J471.C",-0.2658405300257487,0.39311252414209974,-0.6762453844631376
"vm(PLANT_ID, k_use)_J488.B",-1.4095777391799673,0.13487016764294338,-10.451367888202656
"vm(PLANT_ID, k_use)_J490.C",-1.2362146328532686,0.13487017171188698,-9.165960250233098
"vm(PLANT_ID, k_use)_J491.B",-0.20228905158683833,0.40105141269080224,-0.5043968059596307
"vm(PLANT_ID, k_use)_J530.B",0.1034843678662918,0.13487017458489947,0.7672887514589031
"vm(PLANT_ID, k_use)_J386.C",-0.35314261325132507,0.1348701742872719,-2.6183892407459592
"vm(PLANT_ID, k_use)_J407.B",0.09150860304643817,0.4230995111483496,0.21628151447887844
"vm(PLANT_ID, k_use)_J259.A",0.21127192873045345,0.13487017511559515,1.5664836836563423
"vm(PLANT_ID, k_use)_J359.B",0.08895840318707214,0.3942532407163709,0.2256377221539938
"vm(PLANT_ID, k_use)_J378.B",0.38935684769832785,0.13487017588645214,2.8869010152854644
"vm(PLANT_ID, k_use)_J409.B",0.08806899362119176,0.39736354895185805,0.22163329740106993
"vm(PLANT_ID, k_use)_J387.A",-0.22984453278678618,0.39151716212260174,-0.5870611943054784
"vm(PLANT_ID, k_use)_J368.A",-0.01531499330992326,0.13487017522255632,-0.11355359540870463
"vm(PLANT_ID, k_use)_J368.B",0.2606839634194788,0.13487017580641972,1.9328510685241536
"vm(PLANT_ID, k_use)_J368.C",0.1113933151871158,0.39340990490582356,0.2831482222436207
"vm(PLANT_ID, k_use)_J395.B",0.13164045730352414,0.39646546736532856,0.3320351156390179
"vm(PLANT_ID, k_use)_J420.A",0.23830772067080433,0.39194262994796825,0.6080168434406855
"vm(PLANT_ID, k_use)_J580.A",0.3069238655159818,0.13487017454125172,2.2756985861400016
"vm(PLANT_ID, k_use)_J656.A",-0.3277622754054868,0.4151905388392181,-0.7894261664098571
"vm(PLANT_ID, k_use)_J656.B",-0.35395846302718564,0.398703765840418,-0.8877730619902352
"vm(PLANT_ID, k_use)_J656.C",-0.35074486344138317,0.4071780706643664,-0.8614041096788322
"vm(PLANT_ID, k_use)_J657.A",-0.3441203499869175,0.4031148387133921,-0.8536533933735475
"vm(PLANT_ID, k_use)_J657.B",-0.3487654379576602,0.4024953034195822,-0.8665080933729277
"vm(PLANT_ID, k_use)_J657.C",-0.380944254200324,0.40236280797484586,-0.9467680577081049
"vm(PLANT_ID, k_use)_J658.A",-0.27926097868240934,0.3935494004694456,-0.7095957416001466
"vm(PLANT_ID, k_use)_J658.B",-0.28379255190413527,0.39269880444295724,-0.7226723093967516
"vm(PLANT_ID, k_use)_J488.A",-0.8149621189610726,0.35418447049109536,-2.3009538442808766
"vm(PLANT_ID, k_use)_J357.B",-0.5785312484799094,0.13487017567795276,-4.289541743174892
"vm(PLANT_ID, k_use)_J258.C",0.08076641891095145,0.4134432792433038,0.19535066347860955
"vm(PLANT_ID, k_use)_J267.A",0.13976752100900544,0.40488885911717903,0.3451997205202311
"vm(PLANT_ID, k_use)_J267.B",0.1488373181186579,0.39986462368349274,0.3722192694807331
"vm(PLANT_ID, k_use)_J267.C",0.11858003907312513,0.39123674950881115,0.3030902368501928
"vm(PLANT_ID, k_use)_J344.A",0.26068393352723584,0.13487017441778348,1.9328508667878095
"vm(PLANT_ID, k_use)_J348.B",0.30692383474882673,0.13487017570705498,2.2756983383448777
"vm(PLANT_ID, k_use)_J349.A",-0.015315007245059319,0.13487017569707238,-0.11355369833177847
"vm(PLANT_ID, k_use)_J349.B",0.10495116646281914,0.3878910074809931,0.2705687021320334
"vm(PLANT_ID, k_use)_J349.C",0.10348437565374284,0.13487017522490166,0.7672888055582215
"vm(PLANT_ID, k_use)_J489.A",-0.2726595500687386,0.39057867200295404,-0.6980912415685524
"vm(PLANT_ID, k_use)_J581.C",0.3069238637355915,0.13487017376107135,2.2756985861034114
"vm(PLANT_ID, k_use)_J582.A",0.11351155886769004,0.39033705247464934,0.2908039555764748
"vm(PLANT_ID, k_use)_J582.C",0.10152254267935848,0.3914283612251075,0.2593642994125651
"vm(PLANT_ID, k_use)_J583.C",0.17865635155247583,0.39155632953249325,0.45627241364170074
"vm(PLANT_ID, k_use)_J536.B",0.42529782333687915,0.13487017666739823,3.1533867148828696
"vm(PLANT_ID, k_use)_J351.C",0.26068400601981706,0.13487017700575746,1.9328513671980185
"vm(PLANT_ID, k_use)_J353.A",0.26068392017258324,0.134870175733516,1.9328507489132143
"vm(PLANT_ID, k_use)_J354.B",0.08213359156733538,0.38763481297328944,0.21188394029252197
"vm(PLANT_ID, k_use)_J355.B",0.01529756854013318,0.36979004715232555,0.041368253845490165
"vm(PLANT_ID, k_use)_J357.C",0.054114082693208276,0.4082021405814095,0.13256687634252146
"vm(PLANT_ID, k_use)_J378.C",0.26203855774389195,0.37419929063561314,0.7002647100126633
"vm(PLANT_ID, k_use)_J379.B",0.09986021554270397,0.423421616867013,0.2358410897431053
"vm(PLANT_ID, k_use)_J380.B",0.17895589989605398,0.4023767590816842,0.44474710792062716
"vm(PLANT_ID, k_use)_J382.A",0.11149503382534416,0.41182658285234663,0.27073296981734374
"vm(PLANT_ID, k_use)_J382.B",0.133355119111095,0.3965337684558685,0.33630204971039307
"vm(PLANT_ID, k_use)_J387.B",-0.23153625061413152,0.38981273537961636,-0.5939678968893912
"vm(PLANT_ID, k_use)_J390.B",0.2606838885023741,0.13487017142604416,1.9328505758244676
"vm(PLANT_ID, k_use)_J406.A",-0.07849061450545743,0.13487017412477517,-0.5819716257861565
"vm(PLANT_ID, k_use)_J412.A",0.09467031496544266,0.40722257322504724,0.23247806283352598
"vm(PLANT_ID, k_use)_J420.B",0.3069239515224424,0.13487017502363852,2.2756992156987135
"vm(PLANT_ID, k_use)_J421.A",-0.35314267252044257,0.13487016589222797,-2.6183898431817143
"vm(PLANT_ID, k_use)_J421.B",-0.3401912698616471,0.37402489682339984,-0.9095417785043126
"vm(PLANT_ID, k_use)_J431.B",0.03755956681037502,0.3597176859756483,0.10441401208423674
"vm(PLANT_ID, k_use)_J440.A",0.24844943699208974,0.3856900186481816,0.6441686976056286
"vm(PLANT_ID, k_use)_J448.A",0.0770522599508511,0.35336365041017814,0.21805372414907484
"vm(PLANT_ID, k_use)_J460.C",-0.0772494667801963,0.3585707423711866,-0.21543717222814826
"vm(PLANT_ID, k_use)_J527.B",0.10348436537663719,0.13487017620952968,0.7672887237565956
"vm(PLANT_ID, k_use)_J539.B",0.21127190238288926,0.13487017528343484,1.5664834863519177
