Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",241.8231690938526,285.58021117767595,0.8467784518283742
"vm(PLANT_ID, k_use)_J251.C",327.7475800394085,277.0081967001432,1.1831692489381094
"vm(PLANT_ID, k_use)_J352.A",-455.1049612033214,287.5844307015357,-1.5825090394954093
"vm(PLANT_ID, k_use)_J344.C",-471.7137365521956,284.4751311428249,-1.6581897147113531
"vm(PLANT_ID, k_use)_J004.B",470.0163760983522,211.95022835998768,2.2175790030291975
"vm(PLANT_ID, k_use)_J301.A",199.7732217470195,272.4307989655638,0.7332989607106484
"vm(PLANT_ID, k_use)_J013.C",146.52151189776657,282.97826323337745,0.5177836284086864
"vm(PLANT_ID, k_use)_J018.C",198.45004929410393,209.82464190845607,0.9457900058310847
"vm(PLANT_ID, k_use)_J384.C",-223.80538767395555,277.1167271646918,-0.8076213585654357
"vm(PLANT_ID, k_use)_J488.C",-79.08547865622906,212.0092291040155,-0.37302847140408363
"vm(PLANT_ID, k_use)_J022.C",364.4591792724241,212.23381898679634,1.717253079704032
"vm(PLANT_ID, k_use)_J065.A",216.31306757338103,276.29711778259934,0.7829001956639449
"vm(PLANT_ID, k_use)_J311.A",265.32925283892126,286.50555353719693,0.9260876431998155
"vm(PLANT_ID, k_use)_J016.B",133.21996319989535,275.18824339104106,0.4841048496777185
"vm(PLANT_ID, k_use)_J352.B",-441.8545273507951,211.98914232381372,-2.084326218348776
"vm(PLANT_ID, k_use)_J001.B",9.217278101913369,212.09924478590378,0.04345738293984701
"vm(PLANT_ID, k_use)_J008.D",139.83461303845596,276.22490334310925,0.5062346346982414
"vm(PLANT_ID, k_use)_J005.B",47.95661406767834,279.23398822166666,0.1717434699589956
"vm(PLANT_ID, k_use)_J065.B",134.12530414228567,212.007481507868,0.6326442028759632
"vm(PLANT_ID, k_use)_J020.B",83.57935214097202,208.98787156452383,0.3999244143465396
"vm(PLANT_ID, k_use)_J386.B",-323.50189989002706,278.102090796246,-1.163248715476374
"vm(PLANT_ID, k_use)_J022.D",372.8109930973419,276.1576112933019,1.349993546625033
"vm(PLANT_ID, k_use)_J348.A",-628.3404528877736,211.95290225523914,-2.964528658027574
"vm(PLANT_ID, k_use)_J005.D",32.048964266803424,212.46904531280143,0.150840628194193
"vm(PLANT_ID, k_use)_J316.A",276.6830590768803,285.27363915388264,0.9698865268361918
"vm(PLANT_ID, k_use)_J016.C",145.28480357007942,273.66849372233764,0.5308788073993073
"vm(PLANT_ID, k_use)_J352.C",-434.6485384493193,290.31021755980026,-1.4971864996787003
"vm(PLANT_ID, k_use)_J258.A",-454.38645452720135,213.19532965593604,-2.1313152368792982
"vm(PLANT_ID, k_use)_J009.C",348.5494544044267,279.7342207564655,1.2460021997375545
"vm(PLANT_ID, k_use)_J023.B",173.2192789223516,270.5427172286248,0.6402659095641852
"vm(PLANT_ID, k_use)_J073.A",276.85455456665585,282.7964791916333,0.9789886895269619
"vm(PLANT_ID, k_use)_J020.C",207.96569111819088,211.34855816451974,0.9839938957913517
"vm(PLANT_ID, k_use)_J394.B",-525.3034448559055,277.09816471237883,-1.8957305090820709
"vm(PLANT_ID, k_use)_J348.C",-497.48945024696894,274.414905537336,-1.8129097224978625
"vm(PLANT_ID, k_use)_J320.A",298.6554827541795,282.02313433703387,1.0589751208043416
"vm(PLANT_ID, k_use)_J016.D",203.51073752793903,209.7426710458867,0.9702877173878257
"vm(PLANT_ID, k_use)_J353.C",-443.80388013867696,278.5492845884052,-1.5932687847124005
"vm(PLANT_ID, k_use)_J003.D",296.76308111202115,258.2401141602914,1.1491749919527152
"vm(PLANT_ID, k_use)_J030.C",177.1169893154948,270.9649964549496,0.6536526548916887
"vm(PLANT_ID, k_use)_J086.A",-324.2098688253889,210.61247595149106,-1.5393668744488906
"vm(PLANT_ID, k_use)_J396.A",-699.8870793088213,212.57689950291356,-3.292394803694221
"vm(PLANT_ID, k_use)_J354.C",-485.8133490062929,212.9560761374365,-2.2812842808615668
"vm(PLANT_ID, k_use)_J003.E",392.0849135057373,211.314329322503,1.855458239688736
"vm(PLANT_ID, k_use)_J296.A",221.78430285576636,212.16998628779078,1.045314215908628
"vm(PLANT_ID, k_use)_J350.B",-379.26382148887745,213.12277157120894,-1.7795555993046814
"vm(PLANT_ID, k_use)_J336.A",282.0704776657404,289.7040463649315,0.9736504588217751
"vm(PLANT_ID, k_use)_J016.E",150.03959304272522,273.43412991679986,0.5487229889274577
"vm(PLANT_ID, k_use)_J458.C",222.32912480167712,281.057035683183,0.7910462880292171
"vm(PLANT_ID, k_use)_J018.B",142.46854975474815,274.0271036604776,0.5199067824008684
"vm(PLANT_ID, k_use)_J003.F",18.323955320945725,279.7621388069626,0.06549833869260399
"vm(PLANT_ID, k_use)_J299.A",108.99821454221897,210.71607315731123,0.5172752743016702
"vm(PLANT_ID, k_use)_J013.B",-6.311873873576685,210.48675029844168,-0.02998703654566049
"vm(PLANT_ID, k_use)_J350.C",-475.12592741183335,210.52943008037116,-2.2568147704121486
"vm(PLANT_ID, k_use)_J008.B",-110.53920720141096,211.44275463294574,-0.5227855047258612
"vm(PLANT_ID, k_use)_J461.C",205.54057841693233,290.1202874452857,0.7084667543482135
