Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",0.05315604148685362,1.1177422114466238,0.047556619891859574
"vm(PLANT_ID, k_use)_J251.C",-0.07122787057099415,1.1010558952629577,-0.06469051287717167
"vm(PLANT_ID, k_use)_J004.B",-0.3656758381771336,1.0460216458924119,-0.34958725721699363
"vm(PLANT_ID, k_use)_J301.A",-0.09098874743127158,1.0930612284722268,-0.08324213233548379
"vm(PLANT_ID, k_use)_J013.C",-0.3000934374645521,1.1552492810758395,-0.25976509345678755
"vm(PLANT_ID, k_use)_J018.C",-0.7143419394398532,1.028401790330125,-0.6946136676896915
"vm(PLANT_ID, k_use)_J022.C",-0.07882613306541879,1.0532739219162937,-0.07483915762578171
"vm(PLANT_ID, k_use)_J065.A",-0.16226029580958676,1.0934627098851046,-0.14839124767833758
"vm(PLANT_ID, k_use)_J311.A",0.16456566628522695,1.1280141176155039,0.14588972222537466
"vm(PLANT_ID, k_use)_J016.B",-0.23399710745187083,1.1131546701349206,-0.21021077639058824
"vm(PLANT_ID, k_use)_J001.B",-0.20138954570402795,1.0565531496784493,-0.19060995252848256
"vm(PLANT_ID, k_use)_J008.D",-0.446595183278339,1.0983510725145282,-0.4066051324153751
"vm(PLANT_ID, k_use)_J005.B",-0.25236213219817255,1.1207444082921283,-0.22517367058091353
"vm(PLANT_ID, k_use)_J065.B",0.6871152140613533,1.0500325163056448,0.6543751773315056
"vm(PLANT_ID, k_use)_J020.B",-0.5591493608445,1.0258810572934574,-0.5450430699243851
"vm(PLANT_ID, k_use)_J022.D",0.26217397652333824,1.1077048293467386,0.23668216439748985
"vm(PLANT_ID, k_use)_J005.D",-0.36105274609204596,1.0550028243604224,-0.34222917489432136
"vm(PLANT_ID, k_use)_J316.A",-0.008245906364649638,1.1288886895198111,-0.007304445904367375
"vm(PLANT_ID, k_use)_J016.C",-0.3868687538042138,1.11044511686214,-0.34839070200733113
"vm(PLANT_ID, k_use)_J009.C",-0.009738592216913441,1.1058339050526653,-0.008806559622034414
"vm(PLANT_ID, k_use)_J023.B",-0.42850781444778735,1.0929007210775323,-0.39208301923829386
"vm(PLANT_ID, k_use)_J073.A",-0.018664930756594332,1.1148177483411865,-0.01674258486139744
"vm(PLANT_ID, k_use)_J020.C",-0.5302938694272902,1.0327179277383458,-0.51349342853826
"vm(PLANT_ID, k_use)_J320.A",0.07701058139154719,1.1142525133817514,0.0691141195255826
"vm(PLANT_ID, k_use)_J016.D",-0.520094867203352,0.9866230554878205,-0.5271464763675111
"vm(PLANT_ID, k_use)_J003.D",-0.19871744529479754,1.021863477939684,-0.1944657477097219
"vm(PLANT_ID, k_use)_J030.C",-0.21662581398188477,1.0857109531348137,-0.19952438847228443
"vm(PLANT_ID, k_use)_J086.A",-0.6184580380964486,1.0262713198990723,-0.6026262510748818
"vm(PLANT_ID, k_use)_J003.E",0.16926845307688973,1.0221665986630852,0.16559771498920015
"vm(PLANT_ID, k_use)_J296.A",-0.48292049909082646,1.0572480585085846,-0.4567712328288047
"vm(PLANT_ID, k_use)_J336.A",0.3374107692468763,1.1327841491684552,0.2978597197838264
"vm(PLANT_ID, k_use)_J016.E",-0.45438746019737475,1.1010540238520405,-0.41268407394552625
"vm(PLANT_ID, k_use)_J458.C",-0.06471682452652923,1.1394885206166585,-0.05679462614639272
"vm(PLANT_ID, k_use)_J018.B",-0.45049956876830766,1.0974874946055682,-0.4104826442056318
"vm(PLANT_ID, k_use)_J003.F",-0.41961119968792765,1.1328851962541362,-0.3703916346293201
"vm(PLANT_ID, k_use)_J299.A",-0.5132594010928293,1.0122692401705402,-0.5070384248822565
"vm(PLANT_ID, k_use)_J013.B",0.2588726157328557,1.0353510148243652,0.2500336716980669
"vm(PLANT_ID, k_use)_J008.B",-0.49760703606569306,1.0375481296037907,-0.479598990994003
"vm(PLANT_ID, k_use)_J461.C",-0.022731873832208427,1.1789688868396433,-0.019281148201581243
"vm(PLANT_ID, k_use)_J022.B",-0.03033950255934903,1.1135941955480841,-0.027244666576603932
"vm(PLANT_ID, k_use)_J587.A",0.3370342139206723,1.0143469775991898,0.33226718407381933
"vm(PLANT_ID, k_use)_J650.A",0.043163453464417564,1.1327033988104769,0.03810658068983127
"vm(PLANT_ID, k_use)_J650.B",0.8661352211044895,1.0704089867227105,0.8091628824570603
"vm(PLANT_ID, k_use)_J650.C",0.2577601966566815,1.0565166504767711,0.24397173157693522
"vm(PLANT_ID, k_use)_J651.A",-0.4688478985700336,1.043541104149749,-0.44928551132831424
"vm(PLANT_ID, k_use)_J651.C",-0.4439014041643613,1.105380838473357,-0.40158232232199187
"vm(PLANT_ID, k_use)_J652.B",-0.6605165537256042,1.0505363752006533,-0.628742201905617
"vm(PLANT_ID, k_use)_J209.A",0.4128847583852958,1.1268002739013647,0.3664223092134587
"vm(PLANT_ID, k_use)_J210.A",-0.463698323951115,1.12620884515296,-0.41173386796490324
"vm(PLANT_ID, k_use)_J211.A",-0.019458482531594937,1.1084253260969779,-0.017555068504355415
"vm(PLANT_ID, k_use)_J215.A",0.26241096459860863,1.11108366865364,0.23617570125622145
"vm(PLANT_ID, k_use)_J216.A",-0.11256564226618751,1.045653212214298,-0.10765102708173778
"vm(PLANT_ID, k_use)_J218.A",-0.5661819531322463,1.0050303248349741,-0.5633481290479602
"vm(PLANT_ID, k_use)_J219.A",0.27406524101712293,1.1353752883550001,0.24138735784377086
"vm(PLANT_ID, k_use)_J220.A",0.3408647432278852,1.11677940496299,0.30522119383029045
"vm(PLANT_ID, k_use)_J222.A",0.05291344980365939,1.1088611590685882,0.04771873319839716
"vm(PLANT_ID, k_use)_J224.A",0.02915592158018838,1.1189407058736083,0.026056717239029227
