Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",1.2090739409066144e-4,0.3496714729193687,3.457742579948513e-4
"vm(PLANT_ID, k_use)_J251.C",4.767421188469114e-4,0.347650175484115,0.0013713271341889341
"vm(PLANT_ID, k_use)_J004.B",9.890193648110957e-4,0.3484653218927324,0.002838214601783371
"vm(PLANT_ID, k_use)_J301.A",3.804429994900724e-4,0.3586503985524574,0.0010607627958189138
"vm(PLANT_ID, k_use)_J013.C",4.0798238916057224e-4,0.38634530867991074,0.0010560045120117866
"vm(PLANT_ID, k_use)_J018.C",5.781853221085442e-4,0.35580338903367476,0.0016250135325546948
"vm(PLANT_ID, k_use)_J022.C",6.543417369734741e-4,0.3507959752887615,0.0018653057134844426
"vm(PLANT_ID, k_use)_J065.A",4.3144648230543077e-4,0.35285998298735644,0.0012227129827892392
"vm(PLANT_ID, k_use)_J311.A",1.517654496481386e-6,0.3533551625903935,4.2949832269484595e-6
"vm(PLANT_ID, k_use)_J016.B",3.633816439747388e-4,0.37195648618084287,9.76946652297562e-4
"vm(PLANT_ID, k_use)_J001.B",-5.227902542670457e-4,0.34972971144864906,-0.0014948408360889497
"vm(PLANT_ID, k_use)_J008.D",4.0307628492818417e-4,0.357008875134357,0.0011290371556631194
"vm(PLANT_ID, k_use)_J005.B",-3.3778624072000786e-4,0.3520832853799423,-9.593930037192587e-4
"vm(PLANT_ID, k_use)_J065.B",-4.440941931346969e-4,0.35502184618107135,-0.0012508925800250503
"vm(PLANT_ID, k_use)_J020.B",5.654572363557396e-4,0.35673212732788206,0.001585103199398726
"vm(PLANT_ID, k_use)_J022.D",3.253799923896575e-4,0.34986017446114537,9.300286689984298e-4
"vm(PLANT_ID, k_use)_J005.D",-2.7114414968243313e-4,0.34883908979515804,-7.77275705660314e-4
"vm(PLANT_ID, k_use)_J316.A",3.324175590929934e-4,0.3548164240626503,9.368719612435362e-4
"vm(PLANT_ID, k_use)_J016.C",4.713584482327885e-4,0.37223213141261874,0.0012663024184505136
"vm(PLANT_ID, k_use)_J009.C",4.471444529709312e-4,0.3484716924962316,0.0012831586111568204
"vm(PLANT_ID, k_use)_J023.B",6.602811170106061e-4,0.37079771353759833,0.0017807043919208382
