Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",0.8817675443947566,3.1271701583877376,0.2819698000857638
"vm(PLANT_ID, k_use)_J344.C",0.8563844780252591,3.0971130476355713,0.2765105647916367
"vm(PLANT_ID, k_use)_J384.C",-0.19987755611048,2.92458474938695,-0.06834390973022007
"vm(PLANT_ID, k_use)_J488.C",-0.6386420615304294,1.048154977043554,-0.6093011773237916
"vm(PLANT_ID, k_use)_J352.B",1.2035789494941365,1.048155299822599,1.1482830356320701
"vm(PLANT_ID, k_use)_J386.B",-0.4760537542133146,2.979126574760993,-0.15979641759649205
"vm(PLANT_ID, k_use)_J348.A",6.195223325124608,1.0481552829726948,5.910596860757318
"vm(PLANT_ID, k_use)_J352.C",0.4772669947613337,3.1822442286145045,0.1499781162205541
"vm(PLANT_ID, k_use)_J258.A",0.13136059238098446,1.0481553973472084,0.12532549344634095
"vm(PLANT_ID, k_use)_J394.B",-0.49911681397949215,2.9206014890526495,-0.17089521314371095
"vm(PLANT_ID, k_use)_J348.C",2.190275863634543,2.890478975774422,0.7577553346665394
"vm(PLANT_ID, k_use)_J353.C",0.4687927830262886,2.9947642898391083,0.15653745592494497
"vm(PLANT_ID, k_use)_J396.A",7.080774233494809,1.048155405863779,6.755462209021937
"vm(PLANT_ID, k_use)_J354.C",2.1852433146541648,1.048155438617572,2.0848466116211877
"vm(PLANT_ID, k_use)_J350.B",-3.055291567916969,1.0481554595102363,-2.914922152239318
"vm(PLANT_ID, k_use)_J350.C",1.6291299152708218,1.0481555114364918,1.5542826398328122
"vm(PLANT_ID, k_use)_J045.C",2.711900648067195,1.0481554016346373,2.587307801722803
"vm(PLANT_ID, k_use)_J359.A",-0.3597509762215149,1.0481553600109161,-0.34322295143133
"vm(PLANT_ID, k_use)_J390.A",-0.3597475616662706,1.0481553131011938,-0.3432197091115054
"vm(PLANT_ID, k_use)_J395.A",-0.9751478315607848,2.510541511225393,-0.3884213135694442
"vm(PLANT_ID, k_use)_J403.A",-0.6386381217056337,1.0481555044672486,-0.6092971119111164
"vm(PLANT_ID, k_use)_J407.A",-0.4568564126537968,3.2465035098082895,-0.14072259933603914
"vm(PLANT_ID, k_use)_J490.A",-0.5295747831700552,2.963238131787928,-0.17871489216107173
"vm(PLANT_ID, k_use)_J530.A",-0.6386422165268404,1.0481549949571494,-0.609301314785939
"vm(PLANT_ID, k_use)_J536.A",-2.8641832577598803,1.048155101545852,-2.7325948741132806
"vm(PLANT_ID, k_use)_J539.A",-0.7545964276633021,2.7761903450227985,-0.2718100468205127
"vm(PLANT_ID, k_use)_J374.B",1.2825601436241847,3.0821833367859295,0.41612065327743475
"vm(PLANT_ID, k_use)_J355.C",-1.618070944399126,1.0481554070959893,-1.5437319060177725
"vm(PLANT_ID, k_use)_J384.B",0.1313577491540556,1.0481551252997101,0.12532281337315895
