Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",0.028318722080988613,0.12009252261832087,0.23580753791800532
"vm(PLANT_ID, k_use)_J251.C",0.05354159534646467,0.11797867999539532,0.45382432951915025
"vm(PLANT_ID, k_use)_J004.B",0.04835584194873,0.1184637856288593,0.40819092258478273
"vm(PLANT_ID, k_use)_J301.A",0.03218933897736152,0.08475776464827275,0.3797804143483567
"vm(PLANT_ID, k_use)_J013.C",0.05646400410398707,0.08675021575351519,0.6508802729023657
"vm(PLANT_ID, k_use)_J018.C",-0.009833843609704344,0.08489774309741288,-0.11583162579976775
"vm(PLANT_ID, k_use)_J022.C",0.05307954578551997,0.0854784207272192,0.6209701271261047
"vm(PLANT_ID, k_use)_J065.A",0.01541943578544756,0.11465311947097527,0.13448771264658899
"vm(PLANT_ID, k_use)_J311.A",0.027387885294406084,0.12149671984907576,0.22542077949452088
"vm(PLANT_ID, k_use)_J016.B",0.02948210502469214,0.08590120356388571,0.3432094522722951
"vm(PLANT_ID, k_use)_J001.B",-0.05443393694316448,0.08563235055635623,-0.6356702413224136
"vm(PLANT_ID, k_use)_J008.D",-0.013141414388332558,0.08582688759982045,-0.15311535529059603
"vm(PLANT_ID, k_use)_J005.B",0.12242178234527211,0.0855028126596497,1.4317866107233352
"vm(PLANT_ID, k_use)_J065.B",0.0308650234258399,0.11671002914414874,0.264459049939217
"vm(PLANT_ID, k_use)_J020.B",-0.026158359738979058,0.08448493528946333,-0.3096215869652378
"vm(PLANT_ID, k_use)_J022.D",0.1490355523123033,0.08527541529725591,1.7476965874958237
"vm(PLANT_ID, k_use)_J005.D",0.043552721492570404,0.08558011058524559,0.5089117225337998
"vm(PLANT_ID, k_use)_J316.A",0.05906971571923831,0.12088425862205744,0.48864687919308636
"vm(PLANT_ID, k_use)_J016.C",0.02636091244023898,0.08603406450954902,0.30640087261381393
"vm(PLANT_ID, k_use)_J009.C",0.09602818897537466,0.11216612777249181,0.856124668671366
"vm(PLANT_ID, k_use)_J023.B",-0.043348126369883215,0.08559781325202957,-0.5064162824142637
"vm(PLANT_ID, k_use)_J073.A",0.04268875940795453,0.11905272819651898,0.35857019032347315
"vm(PLANT_ID, k_use)_J020.C",-0.12635816196025465,0.08565619784892986,-1.4751782723663505
"vm(PLANT_ID, k_use)_J320.A",0.051367616550286335,0.11865716067266033,0.4329078519921292
"vm(PLANT_ID, k_use)_J016.D",-0.019468509620752313,0.10679902458480775,-0.18229108080750883
"vm(PLANT_ID, k_use)_J003.D",0.07658812254868506,0.10166307707761375,0.7533523945002625
"vm(PLANT_ID, k_use)_J030.C",-0.0013403910632368101,0.08466163926737603,-0.015832330614383976
"vm(PLANT_ID, k_use)_J086.A",0.06306495331459006,0.08480713553290897,0.7436279143058431
"vm(PLANT_ID, k_use)_J003.E",0.06231614171515189,0.11041963812884757,0.5643574165895726
"vm(PLANT_ID, k_use)_J296.A",-0.005761020682501934,0.11764902547875929,-0.048967857226680095
"vm(PLANT_ID, k_use)_J336.A",0.006008021613248556,0.12145876819477075,0.04946552400082074
"vm(PLANT_ID, k_use)_J016.E",-0.011242826191877577,0.08572278645399768,-0.13115329840463053
"vm(PLANT_ID, k_use)_J458.C",-0.09684150238330375,0.11919305493761158,-0.8124760493301632
"vm(PLANT_ID, k_use)_J018.B",0.03969135051236165,0.08592285936811803,0.46194168588259604
