Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",6.0310716812473615,5.006015410285169,1.2047649052090712
"vm(PLANT_ID, k_use)_J251.C",8.08435025569002,4.838211928702587,1.6709376056327316
"vm(PLANT_ID, k_use)_J352.A",-9.196118677504497,4.957363736953805,-1.8550421485019613
"vm(PLANT_ID, k_use)_J344.C",-8.844336247542186,4.896191481289894,-1.8063705803458812
"vm(PLANT_ID, k_use)_J004.B",7.7933518030312134,4.86765986820212,1.6010469124889173
"vm(PLANT_ID, k_use)_J301.A",6.536545696500421,3.7043487269941275,1.7645600288298082
"vm(PLANT_ID, k_use)_J013.C",7.805060768357252,3.7618047238830723,2.074818163421461
"vm(PLANT_ID, k_use)_J018.C",4.691648375219685,3.7049021736999412,1.2663352917991675
"vm(PLANT_ID, k_use)_J384.C",-9.0768336844356,4.774671923948024,-1.9010381925739215
"vm(PLANT_ID, k_use)_J488.C",-1.1169674575452575,3.7570885238304306,-0.29729601803645705
"vm(PLANT_ID, k_use)_J022.C",7.495415683138004,3.7469512791457347,2.0004038282683196
"vm(PLANT_ID, k_use)_J065.A",6.160490655065327,4.703010682085433,1.3099036067537932
"vm(PLANT_ID, k_use)_J311.A",6.146647752089222,5.052757828083195,1.2164936379745324
"vm(PLANT_ID, k_use)_J016.B",6.372211028673397,3.7385959632642556,1.7044396054795048
"vm(PLANT_ID, k_use)_J352.B",-9.417440828679306,3.7596175293309777,-2.5048933183251583
"vm(PLANT_ID, k_use)_J001.B",2.19806843983145,3.748389483408521,0.5864034272747669
"vm(PLANT_ID, k_use)_J008.D",4.606877879674385,3.736672929563616,1.232882290346026
"vm(PLANT_ID, k_use)_J005.B",11.929893376719637,3.7459546117169977,3.184740503636654
"vm(PLANT_ID, k_use)_J065.B",6.831123401029642,4.7821438714932185,1.42846463523412
"vm(PLANT_ID, k_use)_J020.B",4.123177330600264,3.6909619998366763,1.1171009971879182
"vm(PLANT_ID, k_use)_J386.B",-9.19001254997175,4.5959807956704255,-1.9995759248230676
"vm(PLANT_ID, k_use)_J022.D",13.514748245212541,3.7416775646830045,3.6119489217285117
"vm(PLANT_ID, k_use)_J348.A",-9.362619731137661,4.702093957901912,-1.9911596439717443
"vm(PLANT_ID, k_use)_J005.D",6.958308913613059,3.743691112574784,1.8586760243762124
"vm(PLANT_ID, k_use)_J316.A",8.263740445661691,4.960282279325258,1.6659818898020051
"vm(PLANT_ID, k_use)_J016.C",6.315296062799294,3.7384246132564893,1.689293409958086
"vm(PLANT_ID, k_use)_J352.C",-9.259924971914108,4.9909773693584185,-1.8553329912422456
"vm(PLANT_ID, k_use)_J258.A",-8.91691524901132,5.031935600534193,-1.7720646599818757
"vm(PLANT_ID, k_use)_J009.C",10.304438930714495,4.648159444675615,2.2168858562969582
"vm(PLANT_ID, k_use)_J023.B",3.313828011438622,3.7245674825621964,0.8897215655115425
"vm(PLANT_ID, k_use)_J073.A",7.5196237563146875,4.88966630861128,1.5378603122817895
"vm(PLANT_ID, k_use)_J020.C",0.4393716878515407,3.73527109908915,0.11762779091420754
"vm(PLANT_ID, k_use)_J394.B",-10.897156881887671,3.754840302172652,-2.902162543526094
"vm(PLANT_ID, k_use)_J348.C",-9.60397857967405,3.755888906637789,-2.55704543409176
"vm(PLANT_ID, k_use)_J320.A",7.750113724542291,4.8788271193455275,1.588519850152414
"vm(PLANT_ID, k_use)_J016.D",3.6363518099397476,4.4409095957939195,0.8188304065869331
"vm(PLANT_ID, k_use)_J353.C",-9.491551997724807,3.7584234054780654,-2.525407856892988
"vm(PLANT_ID, k_use)_J003.D",9.395522481314016,4.258348452698147,2.206377093297963
