Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-3.610875004661047,9.18326855968345,-0.393201503494472
"vm(PLANT_ID, k_use)_J251.C",-5.620199087721739,9.01242011710792,-0.6236059809343705
"vm(PLANT_ID, k_use)_J004.B",-5.307120722433198,9.053026541798168,-0.5862261308889375
"vm(PLANT_ID, k_use)_J301.A",-7.701266058316333,5.042472728586963,-1.5272796647279905
"vm(PLANT_ID, k_use)_J013.C",-8.133622389995185,5.049222279642067,-1.6108663749641394
"vm(PLANT_ID, k_use)_J018.C",-3.774169791274378,5.045465724266683,-0.7480319949696859
"vm(PLANT_ID, k_use)_J022.C",-7.675006423696353,5.036333363319358,-1.523927403137169
"vm(PLANT_ID, k_use)_J065.A",-6.28511826360254,8.716527618720864,-0.7210575745901061
"vm(PLANT_ID, k_use)_J311.A",-3.2055206173529016,9.299753118107647,-0.344688786534709
"vm(PLANT_ID, k_use)_J016.B",-3.0027234021693125,5.0464401145223565,-0.595018138336418
"vm(PLANT_ID, k_use)_J001.B",-2.702259292595449,5.040181515571045,-0.5361432488586251
"vm(PLANT_ID, k_use)_J008.D",-5.032100251181226,5.046480711951382,-0.9971503981505171
"vm(PLANT_ID, k_use)_J005.B",-7.221536711076384,5.041513885591408,-1.4324143253310195
"vm(PLANT_ID, k_use)_J065.B",-6.657151664399484,8.882075810015747,-0.7495040356323733
"vm(PLANT_ID, k_use)_J020.B",-2.6249308416455186,5.045483153769914,-0.5202536133103937
"vm(PLANT_ID, k_use)_J022.D",-8.115450564752631,5.0341225458697485,-1.612088400869574
"vm(PLANT_ID, k_use)_J005.D",-6.88829345078205,5.0437703660576,-1.3657032241470182
"vm(PLANT_ID, k_use)_J316.A",-5.176602462941897,9.236488867071786,-0.560451329227122
"vm(PLANT_ID, k_use)_J016.C",-7.0343076994894975,5.048171253456033,-1.3934368202492604
"vm(PLANT_ID, k_use)_J009.C",-6.043530723287573,8.374231686511783,-0.7216818150639149
"vm(PLANT_ID, k_use)_J023.B",-7.426056312902383,5.047882755832839,-1.4711229781083086
"vm(PLANT_ID, k_use)_J073.A",-5.499133964300234,9.092063139309417,-0.6048279559921663
"vm(PLANT_ID, k_use)_J020.C",-7.006300514145793,5.043862243635482,-1.3890745178432624
"vm(PLANT_ID, k_use)_J320.A",-5.342782173221687,9.055555855789267,-0.5900004658251892
"vm(PLANT_ID, k_use)_J016.D",-2.5742720219243105,8.036194673774267,-0.3203347014881711
"vm(PLANT_ID, k_use)_J003.D",-7.766533575733557,7.459010110833364,-1.0412284552951
"vm(PLANT_ID, k_use)_J030.C",-7.424901029781212,5.044656145621184,-1.471834911131873
"vm(PLANT_ID, k_use)_J086.A",17.399873631970248,5.04224345153518,3.4508198184426457
"vm(PLANT_ID, k_use)_J003.E",-6.658958824637157,8.289007147821215,-0.8033481822231846
"vm(PLANT_ID, k_use)_J296.A",-3.7148017076292432,8.920823858231348,-0.41641912974232226
"vm(PLANT_ID, k_use)_J336.A",-0.9584248281166685,9.302678501702589,-0.10302676029718283
"vm(PLANT_ID, k_use)_J016.E",-7.0237654612323315,5.0468660925329765,-1.3917083061950564
"vm(PLANT_ID, k_use)_J458.C",21.25382439673272,8.97503915189982,2.368103808464585
"vm(PLANT_ID, k_use)_J018.B",-2.9638119457835477,5.0462263413495485,-0.5873323440721674
"vm(PLANT_ID, k_use)_J003.F",0.042786521702233425,8.774586784490698,0.004876186509188065
"vm(PLANT_ID, k_use)_J299.A",5.207233823018231,5.040201755332819,1.0331399566512753
"vm(PLANT_ID, k_use)_J013.B",-7.010181605571221,5.046942466654309,-1.3889957438366387
"vm(PLANT_ID, k_use)_J008.B",-0.15610355697980496,5.047475579227759,-0.030927055421967612
"vm(PLANT_ID, k_use)_J461.C",16.449442585511942,9.62999984812888,1.7081456744475532
"vm(PLANT_ID, k_use)_J022.B",-5.657678759327745,9.096565178815082,-0.6219577003091088
"vm(PLANT_ID, k_use)_J587.A",-6.1834314107006625,9.158959255721191,-0.675123803704897
"vm(PLANT_ID, k_use)_J650.A",-0.489140614132382,9.349737712189215,-0.05231597176193417
"vm(PLANT_ID, k_use)_J650.B",-2.6289498544012,9.37530562664641,-0.2804121763166016
"vm(PLANT_ID, k_use)_J650.C",-0.4342573979799468,9.193694229523066,-0.047234265915158065
"vm(PLANT_ID, k_use)_J651.A",-5.695046377169294,5.046319293749111,-1.1285545058997284
"vm(PLANT_ID, k_use)_J651.C",-6.270882383946507,5.0463887867589365,-1.2426474948582007
"vm(PLANT_ID, k_use)_J652.B",-4.016913879874808,8.89383559025134,-0.4516514656823435
"vm(PLANT_ID, k_use)_J209.A",-0.9712902492454711,9.422235342160405,-0.10308490649765133
