Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",2.7988805314614734e-5,0.029211216674456607,9.581526721921585e-4
"vm(PLANT_ID, k_use)_J344.C",4.239585316452334e-6,0.028230374608975893,1.5017814588632312e-4
"vm(PLANT_ID, k_use)_J384.C",-6.741996265410013e-6,0.02761246938947103,-2.441649158688002e-4
"vm(PLANT_ID, k_use)_J488.C",5.399009638298317e-4,0.027870844712825242,0.01937153212946528
"vm(PLANT_ID, k_use)_J352.B",3.335471866339881e-5,0.027595343827794928,0.0012087082107599201
"vm(PLANT_ID, k_use)_J386.B",1.1227514303671761e-5,0.027086441616069327,4.145068024369401e-4
"vm(PLANT_ID, k_use)_J348.A",2.495344567898265e-6,0.027772582903976835,8.984920763494956e-5
"vm(PLANT_ID, k_use)_J352.C",4.277609655846323e-6,0.029170224498033838,1.466430145621487e-4
"vm(PLANT_ID, k_use)_J258.A",1.3973282572505088e-5,0.02924795082240987,4.7775253238591727e-4
"vm(PLANT_ID, k_use)_J394.B",-2.353909174953308e-4,0.02894350638845259,-0.008132771279890375
"vm(PLANT_ID, k_use)_J348.C",6.446637856364567e-6,0.02771942763534982,2.3256749530222435e-4
"vm(PLANT_ID, k_use)_J353.C",4.750313621734358e-5,0.027658633248131087,0.0017174795222592353
"vm(PLANT_ID, k_use)_J396.A",3.7691535570482245e-5,0.02833220865071796,0.0013303422982354435
"vm(PLANT_ID, k_use)_J354.C",6.484944879985359e-5,0.028902873514848628,0.0022437024736152163
"vm(PLANT_ID, k_use)_J350.B",1.6345154085430054e-5,0.02985620193447017,5.474626049658019e-4
"vm(PLANT_ID, k_use)_J350.C",5.4476388478109536e-5,0.02773021978468742,0.0019645134045490438
"vm(PLANT_ID, k_use)_J045.C",-1.1814217241132739e-5,0.028543974370764,-4.1389531421501637e-4
"vm(PLANT_ID, k_use)_J359.A",-2.443272461922524e-4,0.02746807909974441,-0.00889495203887504
"vm(PLANT_ID, k_use)_J390.A",2.0183369049191014e-5,0.028061124723795298,7.192644360429325e-4
"vm(PLANT_ID, k_use)_J395.A",-2.500289603012259e-4,0.02800601942422951,-0.008927686456037821
"vm(PLANT_ID, k_use)_J403.A",4.565829938894196e-5,0.028707082296251775,0.0015904890269849356
"vm(PLANT_ID, k_use)_J407.A",-3.275428929754352e-5,0.02973740603736857,-0.001101450787482401
"vm(PLANT_ID, k_use)_J490.A",3.06925566846171e-5,0.027188861865682975,0.0011288650785105643
"vm(PLANT_ID, k_use)_J530.A",-5.5298660281918176e-5,0.027909932973362382,-0.0019813254419025644
"vm(PLANT_ID, k_use)_J536.A",-2.4739612637181876e-4,0.027837731119838033,-0.008887079385414302
"vm(PLANT_ID, k_use)_J539.A",-8.124379878815543e-5,0.027842982680900054,-0.002917927282405979
"vm(PLANT_ID, k_use)_J374.B",5.908674238083992e-4,0.0284507279889071,0.020768095074360754
"vm(PLANT_ID, k_use)_J355.C",6.35683979433489e-4,0.028163512400408902,0.022571189644096365
"vm(PLANT_ID, k_use)_J384.B",2.7964682859958468e-5,0.028251120175304484,9.898610280382296e-4
"vm(PLANT_ID, k_use)_J400.A",-2.621955554008724e-5,0.02944973673495865,-8.903154475049353e-4
"vm(PLANT_ID, k_use)_J257.A",2.8527475839597078e-5,0.02786718224856021,0.0010236943077038577
"vm(PLANT_ID, k_use)_J385.A",-2.5434532897919567e-4,0.02783394547269322,-0.009137954560869705
"vm(PLANT_ID, k_use)_J376.C",7.494688519072324e-6,0.028970968780307867,2.5869651014800066e-4
"vm(PLANT_ID, k_use)_J358.A",2.464487494105553e-5,0.027204484938754693,9.059122051580245e-4
"vm(PLANT_ID, k_use)_J422.A",-2.774182164085751e-5,0.02360058375132373,-0.0011754718414243252
"vm(PLANT_ID, k_use)_J024.A",-5.594016001495454e-5,0.02805531868344775,-0.001993923528231332
"vm(PLANT_ID, k_use)_J029.A",-7.283657872448815e-5,0.029619378495488246,-0.002459085315905023
"vm(PLANT_ID, k_use)_J036.A",-4.41430003805758e-5,0.02924142916280076,-0.001509604750671077
"vm(PLANT_ID, k_use)_J037.A",-4.946525475598219e-5,0.028412593980595424,-0.0017409622926285724
"vm(PLANT_ID, k_use)_J379.A",6.0208333658881886e-5,0.028387389324768617,0.002120953532220337
"vm(PLANT_ID, k_use)_J365.B",1.1633576111755434e-5,0.027880102450343485,4.172716413964292e-4
"vm(PLANT_ID, k_use)_J351.B",1.8650145599890877e-5,0.02860256747280798,6.520444578138408e-4
"vm(PLANT_ID, k_use)_J415.B",4.6793386485966166e-5,0.027631532014381482,0.001693477815910151
"vm(PLANT_ID, k_use)_J264.A",2.7580495344454003e-5,0.02850867855065688,9.674420824327723e-4
"vm(PLANT_ID, k_use)_J387.C",-2.40615874269113e-4,0.0277374887245851,-0.00867475338731164
"vm(PLANT_ID, k_use)_J353.B",3.684916243105184e-5,0.02861850808478083,0.0012875990013835846
"vm(PLANT_ID, k_use)_J489.B",3.721690833699121e-5,0.02729857585506299,0.0013633278356566243
"vm(PLANT_ID, k_use)_J381.A",-1.964473775863143e-5,0.02906727612025042,-6.758368991081847e-4
"vm(PLANT_ID, k_use)_J371.A",-2.1627812635576944e-4,0.028489105342289406,-0.007591608222063922
"vm(PLANT_ID, k_use)_J393.A",3.460419834531493e-5,0.0279723804036423,0.0012370845042851302
"vm(PLANT_ID, k_use)_J374.A",1.1034645740817995e-4,0.028502202967177495,0.003871506266910403
"vm(PLANT_ID, k_use)_J355.A",8.587509805308621e-5,0.027743891017847903,0.003095279533712195
"vm(PLANT_ID, k_use)_J489.C",1.9485388046157446e-5,0.027584003853424344,7.064017301367395e-4
