Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",1.0182875220337696e-7,0.009449108001037036,1.0776546547272112e-5
"vm(PLANT_ID, k_use)_J344.C",4.244867746515291e-6,0.009131822242535864,4.64843448960578e-4
"vm(PLANT_ID, k_use)_J384.C",2.4126213814539876e-6,0.008931952071600498,2.701113219276013e-4
"vm(PLANT_ID, k_use)_J488.C",-7.4385876574518335e-6,0.009015657816009775,-8.250743106335047e-4
"vm(PLANT_ID, k_use)_J352.B",-6.752407671901397e-6,0.00892652312342964,-7.564431950193692e-4
"vm(PLANT_ID, k_use)_J386.B",-5.164222392954051e-6,0.008761807743962902,-5.894014732875559e-4
"vm(PLANT_ID, k_use)_J348.A",2.6095274890101614e-5,0.008983761756323016,0.002904715819265248
"vm(PLANT_ID, k_use)_J352.C",2.524637716427008e-6,0.009435842150761433,2.6755828214265753e-4
"vm(PLANT_ID, k_use)_J258.A",-4.40512478185391e-6,0.009460978763847501,-4.656098371858596e-4
"vm(PLANT_ID, k_use)_J394.B",1.551940663300053e-4,0.00936266825172325,0.01657583737429135
"vm(PLANT_ID, k_use)_J348.C",5.505036677353621e-5,0.0089666699751054,0.006139443843296922
"vm(PLANT_ID, k_use)_J353.C",-1.0914842976369363e-5,0.008946999810010433,-0.0012199444739181946
"vm(PLANT_ID, k_use)_J396.A",-1.615573738319115e-5,0.009164889437139357,-0.0017627858463542853
"vm(PLANT_ID, k_use)_J354.C",-1.3000829589731131e-5,0.009349498775743967,-0.0013905376000968156
"vm(PLANT_ID, k_use)_J350.B",4.9416957742768443e-5,0.009657909710109411,0.005116734285788701
"vm(PLANT_ID, k_use)_J350.C",6.132819950445905e-6,0.008970191338703803,6.83688866700596e-4
"vm(PLANT_ID, k_use)_J045.C",-2.7809662120819525e-6,0.00923339742480342,-3.0118558577490876e-4
"vm(PLANT_ID, k_use)_J359.A",-1.5261534115006775e-5,0.008885353852080823,-0.0017176056653537485
"vm(PLANT_ID, k_use)_J390.A",-1.7205071404965683e-5,0.009077195085058406,-0.0018954171683812587
"vm(PLANT_ID, k_use)_J395.A",-3.468687820364548e-5,0.009059490032050274,-0.0038287892674898623
"vm(PLANT_ID, k_use)_J403.A",-2.3166779028112914e-6,0.009286033480119688,-2.494798137192837e-4
"vm(PLANT_ID, k_use)_J407.A",-5.72331523493771e-6,0.009619304857998152,-5.949822070748649e-4
"vm(PLANT_ID, k_use)_J490.A",-1.188334065342559e-6,0.008794917632404713,-1.3511599710316376e-4
"vm(PLANT_ID, k_use)_J530.A",-2.9176589444977342e-5,0.009028411344569246,-0.0032316415736338366
"vm(PLANT_ID, k_use)_J536.A",-2.7317697168112665e-5,0.009005041950932767,-0.003033600211632887
"vm(PLANT_ID, k_use)_J539.A",-2.0411431260229783e-05,0.009006609266978462,-0.002266272539996332
"vm(PLANT_ID, k_use)_J374.B",-4.280320913952649e-6,0.0092032374661843,-4.6508860927254626e-4
"vm(PLANT_ID, k_use)_J355.C",-1.0725047489947108e-5,0.009110328427073577,-0.0011772404887265093
"vm(PLANT_ID, k_use)_J384.B",-1.0869724864587922e-7,0.009138659611489136,-1.189422226747836e-5
"vm(PLANT_ID, k_use)_J400.A",-3.5779241039174294e-6,0.009526249740799233,-3.755857972727522e-4
"vm(PLANT_ID, k_use)_J257.A",-1.6779041913270157e-5,0.009014458701665753,-0.001861347693585818
"vm(PLANT_ID, k_use)_J385.A",-3.515101295829343e-6,0.009003709607222642,-3.9040589370070093e-4
"vm(PLANT_ID, k_use)_J376.C",4.396744347918846e-5,0.009371572631500477,0.004691575812089593
"vm(PLANT_ID, k_use)_J358.A",1.4552189292534306e-6,0.008799974902118176,1.6536625904502929e-4
"vm(PLANT_ID, k_use)_J422.A",-2.040031209092358e-5,0.007634279566887194,-0.0026721987205456264
"vm(PLANT_ID, k_use)_J024.A",-6.441390721573567e-6,0.009075197657241855,-7.097796615408642e-4
"vm(PLANT_ID, k_use)_J029.A",-2.0418815501773522e-5,0.009581203814441887,-0.002131132569270257
"vm(PLANT_ID, k_use)_J036.A",-6.0012673753348105e-6,0.00945887314863607,-6.344590186411548e-4
"vm(PLANT_ID, k_use)_J037.A",-7.594082746148453e-6,0.009190765323586472,-8.262731642880255e-4
"vm(PLANT_ID, k_use)_J379.A",-7.4529746765492954e-6,0.009182750273181542,-8.116277209798354e-4
"vm(PLANT_ID, k_use)_J365.B",1.4804798052764793e-6,0.00901863752123452,1.6415781228491187e-4
"vm(PLANT_ID, k_use)_J351.B",1.1850714017231804e-5,0.009252231961190563,0.001280849212054004
"vm(PLANT_ID, k_use)_J415.B",-1.7971492797261173e-5,0.008938234322852491,-0.002010631199420812
"vm(PLANT_ID, k_use)_J264.A",-3.6267436283196904e-6,0.009221843916465211,-3.9327748996535207e-4
"vm(PLANT_ID, k_use)_J387.C",3.482574245702398e-6,0.008972503597162647,3.8813851763778436e-4
"vm(PLANT_ID, k_use)_J353.B",3.341154470432787e-6,0.00925738096841332,3.609178969551955e-4
"vm(PLANT_ID, k_use)_J489.B",6.1788943387737255e-6,0.008830521317559837,6.997202222349832e-4
"vm(PLANT_ID, k_use)_J381.A",3.866825945729394e-6,0.00940254608725517,4.1125307016263865e-4
"vm(PLANT_ID, k_use)_J371.A",-1.566782053138944e-5,0.009215650208910449,-0.0017001318600656633
"vm(PLANT_ID, k_use)_J393.A",2.5704433820073828e-6,0.009048496559577368,2.8407408513480626e-4
"vm(PLANT_ID, k_use)_J374.A",4.552167292646676e-5,0.009219890024901034,0.004937333612822067
"vm(PLANT_ID, k_use)_J355.A",9.718821562672721e-6,0.008974466201119627,0.0010829414635781047
"vm(PLANT_ID, k_use)_J489.C",1.666556876045054e-6,0.008922733479219326,1.8677649398879788e-4
"vm(PLANT_ID, k_use)_J384.A",3.272670633574374e-6,0.008924051679565347,3.667247513893568e-4
"vm(PLANT_ID, k_use)_J470.A",3.995003038028122e-6,0.009025558813813528,4.4263220931138456e-4
"vm(PLANT_ID, k_use)_J029.B",-2.354253675918849e-5,0.010141220944934607,-0.0023214696619885443
"vm(PLANT_ID, k_use)_J394.A",5.087269363727254e-5,0.009518375132639489,0.005344682566967216
"vm(PLANT_ID, k_use)_J636.B",-8.771291775813794e-6,0.00938855150073212,-9.342539980879701e-4
"vm(PLANT_ID, k_use)_J636.C",-9.53793958252759e-6,0.008446872269904435,-0.0011291682030650024
"vm(PLANT_ID, k_use)_J365.A",-2.153371540678067e-6,0.00879992439289838,-2.447034138629484e-4
"vm(PLANT_ID, k_use)_J376.A",1.4601195312505723e-5,0.009390942741662684,0.001554816775500918
"vm(PLANT_ID, k_use)_J376.B",1.695254809005041e-5,0.00968439165759963,0.001750502116129023
"vm(PLANT_ID, k_use)_J378.A",-1.1398361486842973e-5,0.009208113565857504,-0.0012378606546629297
"vm(PLANT_ID, k_use)_J385.B",-1.7799511342285067e-5,0.009112679219129428,-0.001953268727480295
"vm(PLANT_ID, k_use)_J386.A",-1.624524464225011e-5,0.00884354403829706,-0.0018369609029931788
"vm(PLANT_ID, k_use)_J393.B",4.80956685409456e-5,0.009017989061970488,0.0053333030468808735
"vm(PLANT_ID, k_use)_J403.B",-1.4487323486428681e-5,0.009425342079973026,-0.001537060762729382
"vm(PLANT_ID, k_use)_J470.B",8.665789855800765e-7,0.0091339822978151,9.487416959274896e-5
"vm(PLANT_ID, k_use)_J471.C",2.5097280381375253e-6,0.008907507229386335,2.81754252172572e-4
"vm(PLANT_ID, k_use)_J488.B",8.265889442013837e-5,0.008985951326830312,0.00919868040830968
"vm(PLANT_ID, k_use)_J490.C",-1.435301200925827e-5,0.008890699161682948,-0.001614385072336802
"vm(PLANT_ID, k_use)_J491.B",-7.414258404968736e-7,0.009021640820118734,-8.218303690870234e-5
"vm(PLANT_ID, k_use)_J530.B",-3.284245228633687e-5,0.009329980266463643,-0.0035200987942480607
"vm(PLANT_ID, k_use)_J386.C",-1.1860816794810764e-5,0.008814733554869315,-0.0013455672506696215
"vm(PLANT_ID, k_use)_J407.B",-8.728306484160181e-6,0.009620070615754765,-9.073017062749889e-4
"vm(PLANT_ID, k_use)_J259.A",-2.6359413049939465e-6,0.008943033330626729,-2.947480130669735e-4
"vm(PLANT_ID, k_use)_J359.B",-4.562750394714864e-6,0.009022351143209687,-5.057163395983358e-4
"vm(PLANT_ID, k_use)_J378.B",-1.2907187777187039e-5,0.009168492904945862,-0.0014077763827710847
"vm(PLANT_ID, k_use)_J409.B",-4.676702858107953e-7,0.00900410443975335,-5.1939678059043726e-5
"vm(PLANT_ID, k_use)_J387.A",2.175414124822209e-6,0.008832525322288875,2.4629582655512485e-4
"vm(PLANT_ID, k_use)_J368.A",1.5885118653656996e-6,0.009473177542290353,1.6768522053706188e-4
"vm(PLANT_ID, k_use)_J368.B",-8.679753571359482e-6,0.009212235526142809,-9.421983998051037e-4
"vm(PLANT_ID, k_use)_J368.C",-8.838696202478542e-6,0.009446111250732006,-9.356968140507137e-4
"vm(PLANT_ID, k_use)_J395.B",-1.4436836208827595e-5,0.009140591204029885,-0.0015794203992475578
"vm(PLANT_ID, k_use)_J420.A",3.5721457104252216e-6,0.009163242948154548,3.898342246993071e-4
"vm(PLANT_ID, k_use)_J580.A",-5.764108291510503e-6,0.008911476864859331,-6.468185216571832e-4
"vm(PLANT_ID, k_use)_J656.A",-2.3537152737382263e-6,0.009738177869290385,-2.4169976204282866e-4
"vm(PLANT_ID, k_use)_J656.B",-1.3045939411042557e-6,0.009352793292212223,-1.39487092288306e-4
"vm(PLANT_ID, k_use)_J656.C",-1.2421319814712023e-6,0.0095726644272548,-1.2975822885158991e-4
"vm(PLANT_ID, k_use)_J657.A",-3.486965965694245e-6,0.00944334923875445,-3.692509805084965e-4
"vm(PLANT_ID, k_use)_J657.B",-3.37413289919905e-6,0.00942608683620566,-3.5795690808183346e-4
"vm(PLANT_ID, k_use)_J657.C",-2.615844650576916e-6,0.00948104583233342,-2.759025424870369e-4
"vm(PLANT_ID, k_use)_J658.A",3.7277365848593e-7,0.008945290720777387,4.1672615247717095e-5
"vm(PLANT_ID, k_use)_J658.B",6.335344515925526e-7,0.008923856291353848,7.099334983760012e-5
"vm(PLANT_ID, k_use)_J488.A",3.8563766838602766e-5,0.009155084641188074,0.004212278569780461
"vm(PLANT_ID, k_use)_J357.B",4.3631335424573516e-5,0.009014872692880243,0.004839928073419454
"vm(PLANT_ID, k_use)_J258.C",-2.551090276788959e-6,0.009313937071495268,-2.739003127470567e-4
"vm(PLANT_ID, k_use)_J267.A",-4.397159460171491e-6,0.009131171652071328,-4.815547914022658e-4
"vm(PLANT_ID, k_use)_J267.B",-2.4407149409516807e-6,0.009028543468906554,-2.7033318822213914e-4
"vm(PLANT_ID, k_use)_J267.C",-8.125230923290038e-7,0.008843646222655587,-9.187648079448138e-5
"vm(PLANT_ID, k_use)_J344.A",-1.423486986978896e-5,0.008899580289473739,-0.001599499010827028
"vm(PLANT_ID, k_use)_J348.B",5.493919173386674e-5,0.009019108125623393,0.006091421786793292
"vm(PLANT_ID, k_use)_J349.A",1.1890273882372009e-5,0.008903676619351514,0.0013354341572254923
"vm(PLANT_ID, k_use)_J349.B",9.814264991199515e-6,0.009014197913773956,0.0010887563247533132
"vm(PLANT_ID, k_use)_J349.C",9.058806872206645e-7,0.008931956270861964,1.0142018833834302e-4
"vm(PLANT_ID, k_use)_J489.A",1.6426094401031552e-6,0.008819156785710568,1.86254704391312e-4
"vm(PLANT_ID, k_use)_J581.C",-1.1320063779520036e-5,0.008788113806314187,-0.001288110740143882
"vm(PLANT_ID, k_use)_J582.A",1.116993502795374e-6,0.008833999556684935,1.2644255816722494e-4
"vm(PLANT_ID, k_use)_J582.C",-1.1088609975749054e-5,0.008872679156289061,-0.0012497476557449183
"vm(PLANT_ID, k_use)_J583.C",3.7104262683098804e-7,0.008917912420349765,4.1606444349498956e-5
"vm(PLANT_ID, k_use)_J536.B",-2.5202660266152378e-5,0.009030466850130918,-0.002790847990963724
"vm(PLANT_ID, k_use)_J351.C",5.112825242817093e-6,0.009658734056890762,5.293473464226387e-4
"vm(PLANT_ID, k_use)_J353.A",-8.007244330018089e-6,0.008935495368680725,-8.961164434244806e-4
"vm(PLANT_ID, k_use)_J354.B",-1.322482143085787e-5,0.008811758206476764,-0.001500815288047446
"vm(PLANT_ID, k_use)_J355.B",2.2033457863485587e-6,0.009144989456279264,2.4093475414951583e-4
"vm(PLANT_ID, k_use)_J357.C",2.0391693642439062e-6,0.009387357992606043,2.1722505585171662e-4
"vm(PLANT_ID, k_use)_J378.C",-3.5445290340759397e-6,0.009176300726308562,-3.8626992944049154e-4
"vm(PLANT_ID, k_use)_J379.B",1.3384704656359558e-6,0.009689844155592688,1.3813126858840458e-4
"vm(PLANT_ID, k_use)_J380.B",-1.6354968027568624e-6,0.009196595070143922,-1.778372093457049e-4
"vm(PLANT_ID, k_use)_J382.A",4.550851311017997e-6,0.009334943044227259,4.875071320153634e-4
"vm(PLANT_ID, k_use)_J382.B",4.721249737490442e-6,0.008985077710636146,5.254545246616655e-4
"vm(PLANT_ID, k_use)_J387.B",1.0469846772523035e-6,0.0087833174525009175,1.192015070517792e-4
"vm(PLANT_ID, k_use)_J390.B",-1.4596682656234738e-5,0.007518595350787874,-0.0019414108587058288
"vm(PLANT_ID, k_use)_J406.A",-1.984600201267991e-5,0.009027523200572478,-0.0021983883698489283
"vm(PLANT_ID, k_use)_J412.A",2.789176697929392e-6,0.009212415803933808,3.027627885335333e-4
"vm(PLANT_ID, k_use)_J420.B",-7.5021620450689826e-6,0.009149901318265442,-8.199172629428069e-4
"vm(PLANT_ID, k_use)_J421.A",-1.2773939524058437e-6,0.009569262029121764,-1.334892856438041e-4
"vm(PLANT_ID, k_use)_J421.B",-2.2461144656675054e-6,0.009550789448095117,-2.351757912656621e-4
"vm(PLANT_ID, k_use)_J431.B",-8.401285416451083e-6,0.008396139862814999,-0.0010006128475371014
"vm(PLANT_ID, k_use)_J440.A",-1.0245245385697167e-5,0.009168285800942016,-0.001117465751846926
"vm(PLANT_ID, k_use)_J448.A",-1.4508580904526642e-5,0.008981710358872385,-0.001615347225063282
"vm(PLANT_ID, k_use)_J460.C",-1.1002347178311003e-5,0.008643350890720134,-0.0012729261275419915
"vm(PLANT_ID, k_use)_J527.B",-3.5220845649999426e-5,0.009715978753133072,-0.003625043502554172
"vm(PLANT_ID, k_use)_J539.B",-2.2219387973101456e-5,0.00912574035383313,-0.0024348038747090297
