Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-1.4130010774111954,3.9187172715309195,-0.36057744907408956
"vm(PLANT_ID, k_use)_J251.C",-0.0734191216349089,4.877567790900896,-0.015052404145334953
"vm(PLANT_ID, k_use)_J004.B",-0.6746040320989363,3.9131964651103917,-0.172392068252547
"vm(PLANT_ID, k_use)_J301.A",-0.5790432852072721,3.4669768856928194,-0.16701677118091304
"vm(PLANT_ID, k_use)_J013.C",-0.5697599032583284,3.92986248034159,-0.14498214787627986
"vm(PLANT_ID, k_use)_J018.C",-1.5910142706712411,3.4751830778837993,-0.4578217132779329
"vm(PLANT_ID, k_use)_J022.C",0.2294801293131602,4.918477459944398,0.04665674107120019
"vm(PLANT_ID, k_use)_J065.A",9.549314511008802,3.866850922651962,2.4695326253900927
"vm(PLANT_ID, k_use)_J311.A",-0.4816253657097223,4.961692919276775,-0.09706875728615726
"vm(PLANT_ID, k_use)_J016.B",-0.42101395059268676,3.879344373104601,-0.1085270886265128
"vm(PLANT_ID, k_use)_J001.B",-1.1949016482696695,3.9337036830759775,-0.3037599536056846
"vm(PLANT_ID, k_use)_J008.D",-1.3611372677251428,3.872379305015879,-0.35149895206858134
"vm(PLANT_ID, k_use)_J005.B",-1.1689971875352494,3.9143778888274516,-0.29864188403266845
"vm(PLANT_ID, k_use)_J065.B",0.5132266861021411,4.810637895196949,0.10668578622692809
"vm(PLANT_ID, k_use)_J020.B",-1.6926362888966282,3.803483754757671,-0.44502261559007766
"vm(PLANT_ID, k_use)_J022.D",-0.9263809885314068,3.8350973307987877,-0.24155344926759836
"vm(PLANT_ID, k_use)_J005.D",-1.5952473394884275,3.8975852068208043,-0.4092912033575898
"vm(PLANT_ID, k_use)_J316.A",-1.0188296864951043,3.9462626845697395,-0.25817584077178257
"vm(PLANT_ID, k_use)_J016.C",-0.587875396716571,3.8717706151681353,-0.1518363186118251
"vm(PLANT_ID, k_use)_J009.C",-0.04160904211147828,4.861539883346846,-0.008558819450193059
"vm(PLANT_ID, k_use)_J023.B",-0.3003562198240482,3.83874094000085,-0.07824342004802795
"vm(PLANT_ID, k_use)_J073.A",-0.7933536759600408,3.927676733342555,-0.20199057351771316
"vm(PLANT_ID, k_use)_J020.C",-1.1101612621099346,3.8737728602537573,-0.28658398469888907
"vm(PLANT_ID, k_use)_J320.A",0.07167097582942694,4.883082740257909,0.01467740352596227
