Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",0.05393065134136627,0.4077540347187407,0.1322627043496121
"vm(PLANT_ID, k_use)_J344.C",0.07810237793520211,0.40334470796394645,0.19363679848300724
"vm(PLANT_ID, k_use)_J384.C",0.1618022396421837,0.3808812430320865,0.4248102068616517
"vm(PLANT_ID, k_use)_J488.C",-0.08323328359686191,0.39564251684067125,-0.21037497249159573
"vm(PLANT_ID, k_use)_J352.B",-0.1782613800544796,0.14568339869149152,-1.2236217829594798
"vm(PLANT_ID, k_use)_J386.B",-0.1429955358746864,0.35491877003049327,-0.40289651590531766
"vm(PLANT_ID, k_use)_J348.A",0.08436582670335221,0.3872218296516446,0.21787466574198575
"vm(PLANT_ID, k_use)_J352.C",0.07501259943836507,0.4134792756852854,0.18141803918477395
"vm(PLANT_ID, k_use)_J258.A",0.05926305500910392,0.4194416009632499,0.14129036050073715
"vm(PLANT_ID, k_use)_J394.B",-0.04179191670657432,0.14568339740972427,-0.2868680813987163
"vm(PLANT_ID, k_use)_J348.C",0.05912914770552344,0.3896413515996987,0.15175275278859587
"vm(PLANT_ID, k_use)_J353.C",0.4521177379219961,0.14568339946175263,3.1034266058618027
"vm(PLANT_ID, k_use)_J396.A",0.39750113160644196,0.14568339470506067,2.728527382349869
"vm(PLANT_ID, k_use)_J354.C",0.08368903109341616,0.4125692037016916,0.20284846843277127
"vm(PLANT_ID, k_use)_J350.B",0.0726358503934632,0.41442349530497474,0.1752696244695547
"vm(PLANT_ID, k_use)_J350.C",0.34274305466809485,0.14568339672792643,2.352656942151003
"vm(PLANT_ID, k_use)_J045.C",-0.31336893751759975,0.14568339842102584,-2.1510270965258633
"vm(PLANT_ID, k_use)_J359.A",-0.050293058594149564,0.3917786304559256,-0.1283711123693038
"vm(PLANT_ID, k_use)_J390.A",0.017831387678595483,0.39915595970569845,0.044672733163605365
"vm(PLANT_ID, k_use)_J395.A",-0.42003546099880257,0.14568339060753616,-2.8832076137653697
"vm(PLANT_ID, k_use)_J403.A",0.08106017093043669,0.4110570617642847,0.19719931481658765
"vm(PLANT_ID, k_use)_J407.A",-0.046262801789217115,0.4251696589116125,-0.1088102145097672
"vm(PLANT_ID, k_use)_J490.A",-0.012629338736126932,0.3895991429192434,-0.03241623849964361
"vm(PLANT_ID, k_use)_J530.A",-0.2693193852465452,0.36538034850692114,-0.737093240912062
"vm(PLANT_ID, k_use)_J536.A",-0.3133690676956463,0.1456833879035699,-2.151028145385184
"vm(PLANT_ID, k_use)_J539.A",-0.2104447385008623,0.3699630774438763,-0.5688263270887807
"vm(PLANT_ID, k_use)_J374.B",0.09909248824553582,0.40547465355014756,0.24438639352158775
"vm(PLANT_ID, k_use)_J355.C",0.11840333024568332,0.4016585177490112,0.2947860558497388
"vm(PLANT_ID, k_use)_J384.B",0.7218878607713415,0.14568339551073747,4.955182834945218
"vm(PLANT_ID, k_use)_J400.A",-0.05075776347019344,0.4217746146925636,-0.12034333433554638
"vm(PLANT_ID, k_use)_J257.A",0.018185099126174456,0.39947171752073085,0.04552287015220478
"vm(PLANT_ID, k_use)_J385.A",-0.03214794092903456,0.3990378168523403,-0.08056364477587988
"vm(PLANT_ID, k_use)_J376.C",-0.4200351876981833,0.14568339086904222,-2.883205732599686
"vm(PLANT_ID, k_use)_J358.A",0.07885359314395637,0.38871476898605567,0.20285720902666574
