Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J250.C",-0.08531415212701467,0.7696824972355546,-0.11084330543235027
"vm(PLANT_ID, k_use)_J251.C",0.3109284801052611,0.4902396779781991,0.6342376883641149
"vm(PLANT_ID, k_use)_J352.A",0.4866786452248568,0.4902826733169328,0.9926490812581781
"vm(PLANT_ID, k_use)_J344.C",0.0380257449070859,0.49027149008265064,0.07756058770758925
"vm(PLANT_ID, k_use)_J004.B",-2.407106961457488,0.4902524024988944,-4.909934044561702
"vm(PLANT_ID, k_use)_J301.A",0.36227107547186205,0.4847094023904415,0.7473984900751867
"vm(PLANT_ID, k_use)_J013.C",0.4164086948124645,0.4902511669641349,0.8493782837704649
"vm(PLANT_ID, k_use)_J018.C",0.40147654272865874,0.4901451325626988,0.8190972755958202
"vm(PLANT_ID, k_use)_J384.C",0.5395744748789931,0.49023146258022055,1.1006524796247612
"vm(PLANT_ID, k_use)_J488.C",0.3158660216082875,0.4902522439578042,0.6442928625033972
"vm(PLANT_ID, k_use)_J022.C",0.3705934140521627,0.4902643921564361,0.7559052217153716
"vm(PLANT_ID, k_use)_J065.A",0.37883578948780006,0.490224252637871,0.7727805946958041
"vm(PLANT_ID, k_use)_J311.A",0.32211321104812113,0.4902539985547342,0.65703331741854
"vm(PLANT_ID, k_use)_J016.B",0.5026229800731215,0.49021819309353953,1.0253046238478034
"vm(PLANT_ID, k_use)_J352.B",0.08533882190135902,0.49024243569602677,0.17407473463654435
"vm(PLANT_ID, k_use)_J001.B",0.5555914772112621,0.4902557765662928,1.1332685993066205
"vm(PLANT_ID, k_use)_J008.D",0.5434367485742793,0.4902245272735945,1.1085466318803485
"vm(PLANT_ID, k_use)_J005.B",0.4488178594932608,0.4902355636301611,0.9155146888361078
"vm(PLANT_ID, k_use)_J065.B",1.9703339739114868e-4,0.4902456779886124,4.0190746443607696e-4
"vm(PLANT_ID, k_use)_J020.B",0.4377442266556697,0.490099877674646,0.8931735072708328
"vm(PLANT_ID, k_use)_J386.B",0.06327483643535724,0.49016546644190134,0.12908872772018737
"vm(PLANT_ID, k_use)_J022.D",-0.1751797943414974,0.49012757921351247,-0.3574167252995663
"vm(PLANT_ID, k_use)_J348.A",-0.10000820855496971,0.49022570740587035,-0.2040044147912675
"vm(PLANT_ID, k_use)_J005.D",0.5602730170531048,0.49023504069063295,1.1428661163506464
"vm(PLANT_ID, k_use)_J316.A",0.3435533601295221,0.4902646010560027,0.7007508993909151
"vm(PLANT_ID, k_use)_J016.C",0.3611079295129829,0.49021959316213803,0.7366248402755048
"vm(PLANT_ID, k_use)_J352.C",0.432382504062162,0.49029424678452665,0.881883699223141
"vm(PLANT_ID, k_use)_J258.A",0.08212071422198094,0.49028464382161,0.1674959949426043
"vm(PLANT_ID, k_use)_J009.C",0.2521932148781563,0.4901798298785239,0.5144912122162487
"vm(PLANT_ID, k_use)_J023.B",0.5436480959211112,0.49019867879760104,1.1090362325223218
"vm(PLANT_ID, k_use)_J073.A",-2.3545560790095457,0.4902655146300183,-4.802614111633826
"vm(PLANT_ID, k_use)_J020.C",0.3979118366196959,0.49023385916354084,0.8116775885260783
"vm(PLANT_ID, k_use)_J394.B",-0.006213407840350528,0.4902299603304081,-0.012674475946273822
"vm(PLANT_ID, k_use)_J348.C",0.0959682419819111,0.7394122407736963,0.1297899016136021
"vm(PLANT_ID, k_use)_J320.A",-0.8022887894163065,0.48474528574516024,-1.6550729073785875
"vm(PLANT_ID, k_use)_J016.D",0.3068516308828298,0.4901245727599975,0.6260686526180107
"vm(PLANT_ID, k_use)_J353.C",0.0850708812061017,0.49024565427442346,0.17352704805106098
"vm(PLANT_ID, k_use)_J003.D",0.3331358806501803,0.4899855043961937,0.6798892572560932
"vm(PLANT_ID, k_use)_J030.C",0.4672008356075978,0.4901299685030747,0.9532182597087346
"vm(PLANT_ID, k_use)_J086.A",0.2873180359643861,0.4901800419405895,0.5861479688706083
"vm(PLANT_ID, k_use)_J396.A",0.32976466235029495,0.4902724659532653,0.6726150972176549
"vm(PLANT_ID, k_use)_J354.C",-0.1534425271443224,0.490291294638185,-0.3129619653099424
"vm(PLANT_ID, k_use)_J003.E",0.02468610917641969,0.4901792810721205,0.050361388434097445
"vm(PLANT_ID, k_use)_J296.A",0.5565193147138845,0.4902254470960066,1.1352313879472986
"vm(PLANT_ID, k_use)_J350.B",0.18771335019205812,0.49029054729079324,0.3828614506832917
"vm(PLANT_ID, k_use)_J336.A",-2.4527513256266267,0.4902664023847417,-5.002894984636954
"vm(PLANT_ID, k_use)_J016.E",0.35755528983961693,0.4902055407796613,0.7293987115505325
"vm(PLANT_ID, k_use)_J458.C",-0.07680114419402859,0.7442041942547333,-0.10319902089632722
"vm(PLANT_ID, k_use)_J018.B",0.5280605776672553,0.49023402017047707,1.0771602050049978
"vm(PLANT_ID, k_use)_J003.F",0.358789560421083,0.4902378411961978,0.7318683509735269
"vm(PLANT_ID, k_use)_J299.A",0.4895011296467651,0.49021086413745235,0.9985521853092015
