Effect,solution,std.error,z.ratio
"vm(PLANT_ID, k_use)_J352.A",-74.51125021261488,467.0697656219658,-0.15952916608377166
"vm(PLANT_ID, k_use)_J344.C",-78.59909142951572,461.9819311869409,-0.1701345574870776
"vm(PLANT_ID, k_use)_J384.C",245.22359045565776,436.2970605687273,0.5620564808206612
"vm(PLANT_ID, k_use)_J488.C",-83.02581951988374,155.24350566676648,-0.5348102592974191
"vm(PLANT_ID, k_use)_J352.B",-175.45096608135762,155.2435128183899,-1.1301661685960895
"vm(PLANT_ID, k_use)_J386.B",-24.555860885728457,405.87035364210675,-0.06050173575225359
"vm(PLANT_ID, k_use)_J348.A",-105.62012226437268,443.69786623965905,-0.23804514355568934
"vm(PLANT_ID, k_use)_J352.C",-101.22578425260377,473.85296253775255,-0.21362277384630463
"vm(PLANT_ID, k_use)_J258.A",145.41623477958524,477.1660572897551,0.30474974604340405
"vm(PLANT_ID, k_use)_J394.B",-310.72592130192857,155.2435157581006,-2.0015388068516793
"vm(PLANT_ID, k_use)_J348.C",-122.40307652615667,446.749389665057,-0.2739859960814415
"vm(PLANT_ID, k_use)_J353.C",-210.93592278717904,155.2435138744929,-1.3587422593237026
"vm(PLANT_ID, k_use)_J396.A",1327.1931882602394,155.24351290028693,8.549105617783185
"vm(PLANT_ID, k_use)_J354.C",-211.86094900175928,155.24351510105907,-1.36470079838017
"vm(PLANT_ID, k_use)_J350.B",-189.23484966497415,465.06313515715317,-0.40690141909663147
"vm(PLANT_ID, k_use)_J350.C",-211.86097157276095,155.24351467865765,-1.364700947484326
"vm(PLANT_ID, k_use)_J045.C",-166.5859386639659,155.24351250479407,-1.0730621587734404
"vm(PLANT_ID, k_use)_J359.A",-144.05595470207194,155.24351046491702,-0.9279354368543906
"vm(PLANT_ID, k_use)_J390.A",-310.30090399083343,155.243516030409,-1.998801057366234
"vm(PLANT_ID, k_use)_J395.A",-201.72600912703967,155.24351189749305,-1.2994166819688988
"vm(PLANT_ID, k_use)_J403.A",-42.53299754334736,455.9716048694815,-0.09327992596276279
"vm(PLANT_ID, k_use)_J407.A",-38.69377704814144,486.49295255932094,-0.07953615123216669
"vm(PLANT_ID, k_use)_J490.A",145.84585598455993,442.43019411635163,0.3296471577303898
"vm(PLANT_ID, k_use)_J530.A",-124.69806095986807,391.09583204901395,-0.31884272534062785
"vm(PLANT_ID, k_use)_J536.A",-319.46084924565866,155.24351259866148,-2.0578048248079455
"vm(PLANT_ID, k_use)_J539.A",-156.54274180364698,407.2720844851084,-0.38436894588922127
"vm(PLANT_ID, k_use)_J374.B",-211.8609352336619,155.2435131834219,-1.364700726550461
"vm(PLANT_ID, k_use)_J355.C",583.1535818451922,155.24351267733132,3.756379714605262
"vm(PLANT_ID, k_use)_J384.B",604.2236605351313,155.2435102730389,3.8921025392458333
"vm(PLANT_ID, k_use)_J400.A",-55.785717627163564,483.8377123882688,-0.11529840729404901
"vm(PLANT_ID, k_use)_J257.A",-266.02579167943264,155.24351163265464,-1.7136032861000778
"vm(PLANT_ID, k_use)_J385.A",550.238687100916,155.24351400049304,3.544358620348986
"vm(PLANT_ID, k_use)_J376.C",-227.49576703832935,155.24351496330493,-1.4654123690261893
"vm(PLANT_ID, k_use)_J358.A",-62.72068810676211,443.98716040971397,-0.1412668962068252
"vm(PLANT_ID, k_use)_J422.A",-310.05563056331744,155.24350461668007,-1.9972212771728657
"vm(PLANT_ID, k_use)_J024.A",-160.78096138909387,155.24350868184857,-1.0356694637622086
"vm(PLANT_ID, k_use)_J029.A",-88.93029168980092,449.58310422322893,-0.19780612495091648
"vm(PLANT_ID, k_use)_J036.A",5.518084800549999,472.1003673773164,0.011688372180697298
"vm(PLANT_ID, k_use)_J037.A",-7.721496448706392,457.8558672574523,-0.016864469805657412
"vm(PLANT_ID, k_use)_J379.A",-324.260861348867,155.24351278981365,-2.0887240666081057
"vm(PLANT_ID, k_use)_J365.B",-161.9959587622635,155.24351202560882,-1.0434958385606532
"vm(PLANT_ID, k_use)_J351.B",-139.79107264753932,458.41366952571815,-0.3049452534697958
"vm(PLANT_ID, k_use)_J415.B",-290.9108228574924,155.24351326080233,-1.873900021631016
"vm(PLANT_ID, k_use)_J264.A",-168.78089547207995,155.24351449933212,-1.087200943732861
"vm(PLANT_ID, k_use)_J387.C",-241.61579840491387,155.24351218135445,-1.5563664787656948
"vm(PLANT_ID, k_use)_J353.B",-95.32281641914827,460.1996318594723,-0.20713362162848553
"vm(PLANT_ID, k_use)_J489.B",623.2236125220281,155.2435092005274,4.014490626574363
"vm(PLANT_ID, k_use)_J381.A",-244.0459421055309,155.24351394651842,-1.5720202145746651
"vm(PLANT_ID, k_use)_J371.A",322.0387652882262,155.24351437175096,2.074410429263165
"vm(PLANT_ID, k_use)_J393.A",-122.32205445037289,454.6746999946329,-0.2690320232285122
"vm(PLANT_ID, k_use)_J374.A",-67.59424037488121,460.6726849657824,-0.14672942976834394
"vm(PLANT_ID, k_use)_J355.A",69.85506038761045,444.3795608054344,0.15719683475315271
"vm(PLANT_ID, k_use)_J489.C",130.66843769362882,452.5203963698664,0.2887570123730452
"vm(PLANT_ID, k_use)_J384.A",126.18533002832717,451.6727985043892,0.27937332167480733
