Effect,solution,std.error,z.ratio
SITE_BRKG,22.56662999231758,38.1652419302746,0.5912874870162055
SITE_CLMB,-7.1491728616510075,34.07230760472936,-0.2098235594896624
SITE_KBSM,-75.74210519246029,33.45694486221423,-2.263867950417741
SITE_KING,92.13502136398968,37.081217590522996,2.484681662328613
SITE_LINC,-36.68110647652944,37.34722207494245,-0.9821642531517778
SITE_PKLE,-9.921314612138062,33.40319080328991,-0.2970169727366555
SITE_STIL,32.96047488489214,37.12310092357296,0.8878696570297129
SITE_TMPL,-18.16842709854993,34.324658769550254,-0.5293112225974209
"vm(PLANT_ID, k_use)_J250.C",5.43385233351111e-6,0.027695532803492847,1.9619959551115098e-4
"vm(PLANT_ID, k_use)_J251.C",7.064283360066247e-6,0.02811301172972872,2.5128162816493853e-4
"vm(PLANT_ID, k_use)_J352.A",-1.2526722148860247e-5,0.03129804682965461,-4.002397407429045e-4
"vm(PLANT_ID, k_use)_J344.C",-1.270075191928764e-5,0.030705798588266227,-4.136271487217091e-4
"vm(PLANT_ID, k_use)_J004.B",7.435391750678398e-6,0.02815471943490519,2.6409042249095447e-4
"vm(PLANT_ID, k_use)_J301.A",1.3099165225613726e-5,0.02920879149691518,4.484665251212863e-4
"vm(PLANT_ID, k_use)_J013.C",1.5543754007970962e-5,0.030894829996326655,5.031182890412114e-4
"vm(PLANT_ID, k_use)_J018.C",9.761127925451956e-6,0.028885128097837734,3.379291894565858e-4
"vm(PLANT_ID, k_use)_J384.C",-1.1673718765292512e-5,0.02981674327770138,-3.915155540820841e-4
"vm(PLANT_ID, k_use)_J488.C",-1.131020357777159e-5,0.028849091100412047,-3.9204713723580873e-4
"vm(PLANT_ID, k_use)_J022.C",6.982174035324221e-6,0.028237036969114938,2.472700674281502e-4
"vm(PLANT_ID, k_use)_J065.A",1.1836781515797826e-5,0.028727047460204838,4.12043093958582e-4
"vm(PLANT_ID, k_use)_J311.A",5.268104978328972e-6,0.02790233236020972,1.8880518339182221e-4
"vm(PLANT_ID, k_use)_J016.B",1.501798661652325e-5,0.030007033819182523,5.004822105050163e-4
"vm(PLANT_ID, k_use)_J352.B",-1.1935504293322189e-5,0.030182136810605335,-3.954492807523262e-4
"vm(PLANT_ID, k_use)_J001.B",5.0350834365662525e-6,0.027036402280039652,1.8623348566919117e-4
"vm(PLANT_ID, k_use)_J008.D",1.1016392795403761e-5,0.02902522639741428,3.795454562375148e-4
"vm(PLANT_ID, k_use)_J005.B",4.190950249834635e-6,0.027412964578906705,1.5288205103724614e-4
"vm(PLANT_ID, k_use)_J065.B",1.1896776833711193e-5,0.028801209126061208,4.130651870079376e-4
"vm(PLANT_ID, k_use)_J020.B",1.0051405574805745e-5,0.02892003377671234,3.475585696894853e-4
"vm(PLANT_ID, k_use)_J386.B",-1.2632103657979953e-05,0.029724010024518348,-4.249797940304875e-4
"vm(PLANT_ID, k_use)_J022.D",6.381359209620636e-6,0.028142181924118735,2.2675424481396057e-4
"vm(PLANT_ID, k_use)_J348.A",-1.2088526631885571e-5,0.03056984804769931,-3.95439539412279e-4
"vm(PLANT_ID, k_use)_J005.D",5.2583767797093936e-06,0.027420868564659702,1.9176550762095275e-4
"vm(PLANT_ID, k_use)_J316.A",7.923072597339129e-6,0.028449040060525455,2.7850052516649974e-4
"vm(PLANT_ID, k_use)_J016.C",1.4673360065719524e-5,0.030049070525847595,4.883132758831193e-4
"vm(PLANT_ID, k_use)_J352.C",-1.2693648909387431e-5,0.03113823198574795,-4.0765477356573574e-4
"vm(PLANT_ID, k_use)_J258.A",-1.2922006099683937e-5,0.031157281833268605,-4.1473470531971414e-4
"vm(PLANT_ID, k_use)_J009.C",6.781604984119132e-6,0.028092996531572736,2.4139842029658612e-4
"vm(PLANT_ID, k_use)_J023.B",1.6922793334799548e-5,0.030021894057241167,5.636817351541428e-4
"vm(PLANT_ID, k_use)_J073.A",7.614119961768061e-6,0.028307294616316474,2.6898084274642206e-4
"vm(PLANT_ID, k_use)_J020.C",1.1417650700428862e-5,0.028822965300267872,3.961303280728978e-4
"vm(PLANT_ID, k_use)_J394.B",-1.3357358697844655e-5,0.03133425606147935,-4.2628612824369795e-4
"vm(PLANT_ID, k_use)_J348.C",-1.263527455387411e-5,0.030410954588303046,-4.1548431231205126e-4
"vm(PLANT_ID, k_use)_J320.A",6.8802411049861215e-6,0.028206161077797165,2.4392688838475044e-4
"vm(PLANT_ID, k_use)_J016.D",1.895724268686779e-5,0.027507478752341146,6.891668574043468e-4
"vm(PLANT_ID, k_use)_J353.C",-1.240925978182252e-5,0.030566254035752364,-4.059790829228798e-4
"vm(PLANT_ID, k_use)_J003.D",1.9946132338064008e-5,0.02820632741082535,7.071509894765261e-4
"vm(PLANT_ID, k_use)_J030.C",1.4045538016634438e-5,0.029288808474209553,4.7955306986975334e-4
"vm(PLANT_ID, k_use)_J086.A",6.079139258427551e-6,0.027275378662743183,2.2288010493256154e-4
