Effect,solution,std.error,z.ratio
SITE_BRKG,109.96071515658429,50.9917947834809,2.1564393962498203
SITE_CLMB,3.788140703039247,41.9446927404261,0.09031275366545372
SITE_KBSM,-90.35188197147802,39.65463222291966,-2.278469800540888
SITE_KING,85.46769720549618,43.912987779631464,1.9462965634312723
SITE_LINC,-32.21488955706046,49.16363587339494,-0.6552584849505334
SITE_PKLE,-47.238158493033886,39.46372111606398,-1.1970021365726018
SITE_STIL,20.464912568827753,47.55992553593825,0.43029740560387586
SITE_TMPL,-49.876535612478804,40.43146410909999,-1.2336069620900272
"vm(PLANT_ID, k_use)_J250.C",-1.5102434340412475e-6,0.032471334319640166,-4.651005157887159e-5
"vm(PLANT_ID, k_use)_J251.C",-2.9903535588411673e-6,0.0322836466253057,-9.262750251073443e-5
"vm(PLANT_ID, k_use)_J004.B",-2.330194430232614e-6,0.03235937490267614,-7.200987155162585e-5
"vm(PLANT_ID, k_use)_J301.A",1.434418196823847e-6,0.03330525825328418,4.306882072239753e-5
"vm(PLANT_ID, k_use)_J013.C",3.5291769242935377e-6,0.035877132097452635,9.836842350462338e-5
"vm(PLANT_ID, k_use)_J018.C",-2.2814917058512084e-6,0.03304088303245703,-6.905056694792425e-5
"vm(PLANT_ID, k_use)_J022.C",-2.7491707312027946e-6,0.03257580221446551,-8.439303238346672e-5
"vm(PLANT_ID, k_use)_J065.A",8.05894338461897e-7,0.03276751044488088,2.4594310874410607e-5
"vm(PLANT_ID, k_use)_J311.A",-1.390097087192202e-6,0.03281341390220849,-4.236368368542848e-5
"vm(PLANT_ID, k_use)_J016.B",3.340665948373386e-6,0.034540946862449684,9.671610803481205e-5
"vm(PLANT_ID, k_use)_J001.B",-1.2515979866155385e-6,0.032476774020233294,-3.853824846752891e-5
"vm(PLANT_ID, k_use)_J008.D",-8.022557184896702e-7,0.033152793880450726,-2.419873635334058e-5
"vm(PLANT_ID, k_use)_J005.B",-3.0229746096163768e-6,0.03269530127045691,-9.24589923368561e-5
"vm(PLANT_ID, k_use)_J065.B",1.4202114048106574e-6,0.03296827730180959,4.3078119969971975e-5
"vm(PLANT_ID, k_use)_J020.B",-1.8476717925984646e-6,0.033127133479277794,-5.577517878974495e-5
"vm(PLANT_ID, k_use)_J022.D",-3.2847987663981612e-6,0.0324888677223504,-1.0110536305758714e-4
"vm(PLANT_ID, k_use)_J005.D",-2.693263233861334e-6,0.032394068288163734,-8.314062963327791e-5
"vm(PLANT_ID, k_use)_J316.A",-1.1989570745180896e-6,0.032949115098460026,-3.638814186466957e-5
"vm(PLANT_ID, k_use)_J016.C",2.569397764526447e-6,0.0345665424286423,7.433192862232612e-5
"vm(PLANT_ID, k_use)_J009.C",-2.8150319709437504e-6,0.03235992994637261,-8.699128754632245e-5
"vm(PLANT_ID, k_use)_J023.B",5.2999348624943245e-6,0.034433387753008464,1.5391848459730094e-4
"vm(PLANT_ID, k_use)_J073.A",-2.1067976834602837e-6,0.03257916070449624,-6.466703370813125e-5
"vm(PLANT_ID, k_use)_J020.C",-2.0459334960143445e-7,0.03282599820545274,-6.232661938287969e-6
"vm(PLANT_ID, k_use)_J320.A",-2.591121045105257e-6,0.03254760588743348,-7.961018865924268e-5
"vm(PLANT_ID, k_use)_J016.D",1.1769091717986286e-5,0.031629050359752116,3.720975364142587e-4
"vm(PLANT_ID, k_use)_J003.D",1.1044778195163013e-5,0.0318374506124715,3.4691151404052763e-4
"vm(PLANT_ID, k_use)_J030.C",2.3049013489162613e-6,0.03340572791208992,6.899718979277475e-5
"vm(PLANT_ID, k_use)_J086.A",-2.5345990035039348e-6,0.031912746500056446,-7.942277871631799e-5
"vm(PLANT_ID, k_use)_J003.E",1.4173368801387424e-5,0.03352137732850354,4.228158247344949e-4
"vm(PLANT_ID, k_use)_J296.A",1.6714039487119836e-6,0.03373791157026793,4.954082428104218e-5
"vm(PLANT_ID, k_use)_J336.A",2.0850282831232074e-6,0.03297574865009119,6.322914167158542e-5
"vm(PLANT_ID, k_use)_J016.E",7.871804361665414e-6,0.03487960537795876,2.25685017831073e-4
"vm(PLANT_ID, k_use)_J458.C",1.950648479493925e-6,0.035019844506736834,5.570123188635732e-5
"vm(PLANT_ID, k_use)_J018.B",-9.938708009276634e-7,0.03335040214100028,-2.9800864071315637e-5
"vm(PLANT_ID, k_use)_J003.F",-1.1604997712203582e-6,0.03313741072293461,-3.502083433504867e-5
"vm(PLANT_ID, k_use)_J299.A",-2.2298716630914167e-6,0.030848644366942842,-7.228426755377715e-5
"vm(PLANT_ID, k_use)_J013.B",4.0296224632332985e-6,0.034036374018754305,1.1839164950452552e-4
"vm(PLANT_ID, k_use)_J008.B",-5.655557288154159e-7,0.03288709250128122,-1.719689050630982e-5
"vm(PLANT_ID, k_use)_J461.C",1.1669414944769168e-6,0.03629517948829568,3.215141820288359e-5
"vm(PLANT_ID, k_use)_J022.B",-1.900811610447183e-6,0.032574549644481074,-5.835265970497391e-5
"vm(PLANT_ID, k_use)_J587.A",-2.0552563882974354e-6,0.0331112870009234,-6.20711719311943e-5
"vm(PLANT_ID, k_use)_J650.A",-4.328941567036153e-7,0.03274360874401759,-1.3220722251108227e-5
"vm(PLANT_ID, k_use)_J650.B",-5.947179976210461e-7,0.03297528380980741,-1.8035265474930253e-5
"vm(PLANT_ID, k_use)_J650.C",-1.1766213128618483e-6,0.03247726025945079,-3.6229081623948094e-5
"vm(PLANT_ID, k_use)_J651.A",-1.9629255630994895e-6,0.03353248230175344,-5.853803322508118e-5
"vm(PLANT_ID, k_use)_J651.C",-1.1707983745515867e-6,0.03384670268089032,-3.4591209240970275e-5
"vm(PLANT_ID, k_use)_J652.B",-6.702426962483444e-7,0.03338555748940161,-2.007582759284807e-5
"vm(PLANT_ID, k_use)_J209.A",-7.679057961961685e-7,0.03311297680366928,-2.319047909069523e-5
