Effect,solution,std.error,z.ratio
SITE_BRKG,11.980736670694386,5.4944035572326975,2.18053452861562
SITE_CLMB,-13.776302526485704,5.484216579754059,-2.51199097011291
SITE_KBSM,4.161912143610592,5.484432552812423,0.7588592080463016
SITE_LINC,-2.3663462856536777,5.49297212690404,-0.4307952472694236
"vm(PLANT_ID, k_use)_J352.A",6.138772621521687,5.445705541667355,1.127268555846692
"vm(PLANT_ID, k_use)_J344.C",-1.8378748883081693,5.439996495124316,-0.3378448662522842
"vm(PLANT_ID, k_use)_J384.C",34.02462576646258,5.423610023807197,6.273427775431833
"vm(PLANT_ID, k_use)_J488.C",10.133731070906581,5.045937532945271,2.0082949907212995
"vm(PLANT_ID, k_use)_J352.B",4.343933796194831,4.827909440387329,0.8997546142552189
"vm(PLANT_ID, k_use)_J386.B",13.358292291432525,10.990989660478895,1.2153857572504059
"vm(PLANT_ID, k_use)_J348.A",-8.678312226327145,5.4195095222473455,-1.6013095263883677
"vm(PLANT_ID, k_use)_J352.C",2.2911980967850796,5.054521352268707,0.45329674901000905
"vm(PLANT_ID, k_use)_J258.A",-10.588603338971724,5.4507999591082505,-1.9425778635075828
"vm(PLANT_ID, k_use)_J394.B",-15.32966296636091,4.828408245717924,-3.1748895673757556
"vm(PLANT_ID, k_use)_J348.C",0.24711903769393265,4.825881876647898,0.0512070216408993
"vm(PLANT_ID, k_use)_J353.C",10.353971389410445,5.045142292520092,2.052265484119487
"vm(PLANT_ID, k_use)_J396.A",-6.411942458189704,4.832683759896888,-1.326787097347026
"vm(PLANT_ID, k_use)_J354.C",-3.9763307405161705,4.8343157624132145,-0.8225219319416671
"vm(PLANT_ID, k_use)_J350.B",2.3305831686227463,4.834729622318226,0.48205036282985453
"vm(PLANT_ID, k_use)_J350.C",-6.855259881078266,4.822429719834837,-1.4215365032448937
"vm(PLANT_ID, k_use)_J045.C",6.705496167451552,4.8325071709084435,1.3875812141197532
"vm(PLANT_ID, k_use)_J359.A",10.114921852877568,4.82778995428764,2.095145387154704
"vm(PLANT_ID, k_use)_J390.A",-12.788610191808662,4.831410827401619,-2.6469722092928505
"vm(PLANT_ID, k_use)_J395.A",-6.448860497452786,4.8084841294150085,-1.3411420988171885
"vm(PLANT_ID, k_use)_J403.A",-11.366104255189484,5.439120813249052,-2.089695126370976
"vm(PLANT_ID, k_use)_J407.A",-4.528526421385205,5.4426062576077605,-0.8320510812361559
"vm(PLANT_ID, k_use)_J490.A",6.192159815053962,6.330333185769937,0.9781728122894737
"vm(PLANT_ID, k_use)_J530.A",-3.283812226179907,5.023720833513374,-0.6536613667450447
"vm(PLANT_ID, k_use)_J536.A",-5.066404893718692,4.817106699205551,-1.0517526826952486
"vm(PLANT_ID, k_use)_J539.A",-8.574056770483292,6.257868595770127,-1.370124130806892
"vm(PLANT_ID, k_use)_J374.B",-10.148778035441179,4.831616174522975,-2.100493430946668
"vm(PLANT_ID, k_use)_J355.C",2.992027448121884,4.8259121161014455,0.6199921126079181
"vm(PLANT_ID, k_use)_J384.B",32.75829203863067,4.829535217305131,6.7829077881555895
"vm(PLANT_ID, k_use)_J400.A",3.7374449152852485,6.404548405037192,0.5835610380188148
"vm(PLANT_ID, k_use)_J257.A",-3.5940255370997054,4.830388259655951,-0.7440448560041203
"vm(PLANT_ID, k_use)_J385.A",6.370479973053821,4.830115438934038,1.318908430573603
"vm(PLANT_ID, k_use)_J376.C",-8.222337598398818,4.819767275866997,-1.7059615387590998
"vm(PLANT_ID, k_use)_J358.A",-11.175138596318007,5.4283622409399594,-2.0586574919478755
"vm(PLANT_ID, k_use)_J422.A",1.3959744542507206,5.001948714331945,0.2790861190261455
"vm(PLANT_ID, k_use)_J024.A",-19.819165387515667,5.045140598433299,-3.9283673072798493
"vm(PLANT_ID, k_use)_J029.A",-5.608682946892235,5.4353255323885765,-1.0318945780654054
"vm(PLANT_ID, k_use)_J036.A",-23.12231278921094,5.438133574713192,-4.251883936195961
"vm(PLANT_ID, k_use)_J037.A",-24.2822168457474,5.041910492977139,-4.816074557366701
"vm(PLANT_ID, k_use)_J379.A",-9.754561350268926,4.830799910361805,-2.0192435065145045
"vm(PLANT_ID, k_use)_J365.B",5.617760443416344,4.830634745070865,1.1629445693754128
"vm(PLANT_ID, k_use)_J351.B",-1.8310358215731375,5.439005327836992,-0.3366490215043257
"vm(PLANT_ID, k_use)_J415.B",0.2987577925473814,4.828363521241672,0.06187557983839465
"vm(PLANT_ID, k_use)_J264.A",-7.1988133669318985,6.375149718127816,-1.129199106722464
"vm(PLANT_ID, k_use)_J387.C",12.506231180028072,4.830014470086045,2.5892740606645175
"vm(PLANT_ID, k_use)_J353.B",-3.0635683014530883,5.050539042881179,-0.6065824410903704
"vm(PLANT_ID, k_use)_J489.B",23.477810477060032,5.0370637833397804,4.661011153901505
"vm(PLANT_ID, k_use)_J381.A",5.937005137029266,5.052667774598541,1.1750238491587723
"vm(PLANT_ID, k_use)_J371.A",-12.57608242223759,4.832489041678511,-2.602402677745013
"vm(PLANT_ID, k_use)_J393.A",17.57996086619445,5.048098180465716,3.48249186876405
"vm(PLANT_ID, k_use)_J374.A",-2.8920677205772014,4.832158625900556,-0.5985043009713313
"vm(PLANT_ID, k_use)_J355.A",-7.504031160589168,5.042411483663529,-1.4881830221315389
"vm(PLANT_ID, k_use)_J489.C",10.052429135559974,12.180797416245078,0.8252685593599498
"vm(PLANT_ID, k_use)_J384.A",19.34216452667529,5.045335266408061,3.833672789884905
"vm(PLANT_ID, k_use)_J470.A",8.60532614640431,5.427933768805878,1.5853778828066736
