Effect,solution,std.error,z.ratio
SITE_BRKG,-0.2781774912642234,0.48827361970012484,-0.5697164049842939
SITE_CLMB,1.4027193216565321,0.48736539638086507,2.8781676583380955
SITE_KBSM,-0.7602119641897898,0.48747629519589436,-1.5594849876429282
SITE_LINC,-0.3643298662323183,0.48812308659176296,-0.7463893354772257
"vm(PLANT_ID, k_use)_J352.A",-7.668236155326446e-7,5.77828458290523e-4,-0.001327078312828784
"vm(PLANT_ID, k_use)_J344.C",-4.7177099775052017e-7,5.584258343711314e-4,-8.448230162592725e-4
"vm(PLANT_ID, k_use)_J384.C",-4.377755655489006e-7,5.46203566141347e-4,-8.014879299334575e-4
"vm(PLANT_ID, k_use)_J488.C",1.5206999045547116e-7,5.513250261889932e-4,2.758263877601338e-4
"vm(PLANT_ID, k_use)_J352.B",-9.89684024540667e-7,5.458736795038553e-4,-0.0018130275587571669
"vm(PLANT_ID, k_use)_J386.B",2.9862045084381666e-7,5.357996949837759e-4,5.573359851443344e-4
"vm(PLANT_ID, k_use)_J348.A",-4.946838668543763e-7,5.493721122413342e-4,-9.004531825180565e-4
"vm(PLANT_ID, k_use)_J352.C",-1.4897137766904751e-6,5.770168030163542e-4,-0.0025817511186901304
"vm(PLANT_ID, k_use)_J258.A",-6.365293204065361e-7,5.785541676504765e-4,-0.0011002069572698754
"vm(PLANT_ID, k_use)_J394.B",-8.24911262751951e-8,5.725455532649855e-4,-1.4407783940471294e-4
"vm(PLANT_ID, k_use)_J348.C",-8.688564291133373e-7,5.483288786058747e-4,-0.0015845534733140508
"vm(PLANT_ID, k_use)_J353.C",1.8900561722421415e-7,5.471262292560818e-4,3.454515742760165e-4
"vm(PLANT_ID, k_use)_J396.A",-2.0379882553704584e-8,5.604503434767282e-4,-3.636340452086961e-5
"vm(PLANT_ID, k_use)_J354.C",-8.743503846823646e-7,5.717397427631657e-4,-0.0015292804038017534
"vm(PLANT_ID, k_use)_J350.B",-6.519554084038377e-9,5.906001639913198e-4,-1.1038862637590119e-5
"vm(PLANT_ID, k_use)_J350.C",-6.348882038031092e-7,5.485448091666461e-4,-0.0011574044511835537
"vm(PLANT_ID, k_use)_J045.C",-1.1235124244577424e-6,5.646398334149336e-4,-0.0019897859803173212
"vm(PLANT_ID, k_use)_J359.A",-6.039319215211782e-7,5.43356079246743e-4,-0.0011114846131075073
"vm(PLANT_ID, k_use)_J390.A",-8.253592925497814e-10,5.550875868865454e-4,-1.4868992066264255e-6
"vm(PLANT_ID, k_use)_J395.A",1.2966220516153847e-6,5.540072072392175e-4,0.002340442569469155
"vm(PLANT_ID, k_use)_J403.A",-6.78868006892236e-7,5.678562127344847e-4,-0.0011954927879069585
"vm(PLANT_ID, k_use)_J407.A",2.220346927966151e-7,5.882359945041891e-4,3.774585283305609e-4
"vm(PLANT_ID, k_use)_J490.A",-2.706797515126503e-7,5.37823852776226e-4,-5.032869965052904e-4
"vm(PLANT_ID, k_use)_J530.A",7.350791754455828e-7,5.521070176976696e-4,0.001331407049508122
"vm(PLANT_ID, k_use)_J536.A",7.658750305884189e-7,5.506774467642857e-4,0.0013907869935269879
"vm(PLANT_ID, k_use)_J539.A",1.3325741767261485e-6,5.507709248644662e-4,0.0024194708118517125
"vm(PLANT_ID, k_use)_J374.B",2.3444068402324062e-7,5.627955709895453e-4,4.1656455044774274e-4
"vm(PLANT_ID, k_use)_J355.C",-1.784760028922331e-7,5.571139995717267e-4,-3.203581368076084e-4
"vm(PLANT_ID, k_use)_J384.B",-2.3261128015430815e-7,5.588463242262664e-4,-4.162347859697619e-4
"vm(PLANT_ID, k_use)_J400.A",-1.7712137639182405e-7,5.825459045496826e-4,-3.0404707167024325e-4
"vm(PLANT_ID, k_use)_J257.A",3.8553121070507216e-7,5.512511459922455e-4,6.993748920215314e-4
"vm(PLANT_ID, k_use)_J385.A",-4.1052258950064493e-7,5.505938742840211e-4,-7.455996310065719e-4
"vm(PLANT_ID, k_use)_J376.C",-3.7957990934643314e-7,5.73090460305428e-4,-6.623385584609739e-4
"vm(PLANT_ID, k_use)_J358.A",-4.879547699392784e-7,5.381329137568739e-4,-9.067551109868264e-4
"vm(PLANT_ID, k_use)_J422.A",9.44125603445524e-7,4.668504128387408e-4,0.0020223300172418253
"vm(PLANT_ID, k_use)_J024.A",-2.484267439782752e-7,5.549628390662659e-4,-4.4764572776847053e-4
"vm(PLANT_ID, k_use)_J029.A",1.6605400180911792e-6,5.859075580619684e-4,0.0028341331243171173
"vm(PLANT_ID, k_use)_J036.A",-1.145052903608956e-6,5.784253687925218e-4,-0.001979603532948916
"vm(PLANT_ID, k_use)_J037.A",-6.484617357030799e-7,5.620298726173886e-4,-0.0011537851763700313
"vm(PLANT_ID, k_use)_J379.A",-1.85306430654969e-8,5.615427696467846e-4,-3.2999522150650856e-5
"vm(PLANT_ID, k_use)_J365.B",-1.40423770650127e-6,5.515066721635314e-4,-0.0025461844386986654
"vm(PLANT_ID, k_use)_J351.B",-7.876084632462597e-7,5.657893302799511e-4,-0.0013920525204258502
"vm(PLANT_ID, k_use)_J415.B",2.069218406380437e-7,5.465899582206039e-4,3.7856868302459736e-4
"vm(PLANT_ID, k_use)_J264.A",-4.884544161763913e-7,5.639310567668467e-4,-8.661598085709603e-4
"vm(PLANT_ID, k_use)_J387.C",1.1979210724680765e-7,5.486854892654894e-4,2.1832563388393987e-4
"vm(PLANT_ID, k_use)_J353.B",-3.55975583610889e-7,5.661037533197364e-4,-6.288168582585485e-4
"vm(PLANT_ID, k_use)_J489.B",4.858605745842954e-7,5.400032006755149e-4,8.997364718885184e-4
"vm(PLANT_ID, k_use)_J381.A",6.457976505537837e-7,5.749808022002794e-4,0.001123163848397215
"vm(PLANT_ID, k_use)_J371.A",7.115399097648052e-7,5.635546060383745e-4,0.0012625926611916536
"vm(PLANT_ID, k_use)_J393.A",-7.20670173396033e-7,5.533330831166053e-4,-0.001302416564968273
"vm(PLANT_ID, k_use)_J374.A",1.1351011952012567e-6,5.638139336923907e-4,0.002013254954107879
"vm(PLANT_ID, k_use)_J355.A",-8.043024706558508e-7,5.488031533642909e-4,-0.0014655573054296238
"vm(PLANT_ID, k_use)_J489.C",-3.1655781354907184e-8,5.456402429277233e-4,-5.801584792399628e-5
"vm(PLANT_ID, k_use)_J384.A",-5.042477741574694e-7,5.45719995164805e-4,-9.240045785846436e-4
"vm(PLANT_ID, k_use)_J470.A",8.382261967018672e-7,5.519277959580416e-4,0.0015187243745295816
"vm(PLANT_ID, k_use)_J029.B",7.88649495770865e-6,6.201540701278928e-4,0.012716992982215273
"vm(PLANT_ID, k_use)_J394.A",-1.5318670790028665e-7,5.820672995423104e-4,-2.6317696943418744e-4
"vm(PLANT_ID, k_use)_J636.B",-5.958001578193115e-7,5.741248135191049e-4,-0.0010377537145056443
"vm(PLANT_ID, k_use)_J636.C",4.7532242530602004e-7,5.165400691216156e-4,9.202043630696709e-4
"vm(PLANT_ID, k_use)_J365.A",-1.6543121285975084e-6,5.38129442160493e-4,-0.003074189960608255
"vm(PLANT_ID, k_use)_J376.A",-2.3182338579651778e-8,5.742749927310253e-4,-4.036800987869196e-5
"vm(PLANT_ID, k_use)_J376.B",-3.5096139906168984e-7,5.922178162796025e-4,-5.926221559264795e-4
"vm(PLANT_ID, k_use)_J378.A",-1.3888357777985435e-6,5.630940887562671e-4,-0.002466436436699472
"vm(PLANT_ID, k_use)_J385.B",4.6254977898267475e-7,5.572576450093345e-4,8.30046537943731e-4
"vm(PLANT_ID, k_use)_J386.A",1.0261822464835364e-6,5.407993199382547e-4,0.0018975287295122706
"vm(PLANT_ID, k_use)_J393.B",7.562219830723246e-8,5.514671556456969e-4,1.37129106480854e-4
"vm(PLANT_ID, k_use)_J403.B",-5.342738802873408e-7,5.763776772214258e-4,-9.26951027775647e-4
"vm(PLANT_ID, k_use)_J470.B",2.777335767770894e-7,5.585586166950898e-4,4.972326421538327e-4
"vm(PLANT_ID, k_use)_J471.C",-2.9402678647879823e-8,5.447088995048095e-4,-5.3978700686934917e-5
"vm(PLANT_ID, k_use)_J488.B",-6.311175389065182e-7,5.495081258338467e-4,-0.0011485135692012453
"vm(PLANT_ID, k_use)_J490.C",-5.94115709771428e-7,5.43682996772215e-4,-0.0010927612474523323
"vm(PLANT_ID, k_use)_J491.B",-5.554194453943127e-7,5.516879929905379e-4,-0.001006763700590161
"vm(PLANT_ID, k_use)_J530.B",1.656315781366347e-6,5.705492528537673e-4,0.0029030198060584675
"vm(PLANT_ID, k_use)_J386.C",5.821639467658311e-7,5.390374673220671e-4,0.0010800064597698855
"vm(PLANT_ID, k_use)_J407.B",-2.3753131060816364e-7,5.882832720313228e-4,-4.037702955380251e-4
"vm(PLANT_ID, k_use)_J259.A",-3.90169156103992e-7,5.468807009612386e-4,-7.134447337750287e-4
"vm(PLANT_ID, k_use)_J359.B",-8.305842871055079e-7,5.51731743926374e-4,-0.0015054132669523278
"vm(PLANT_ID, k_use)_J378.B",-5.578442980399349e-7,5.606710995005658e-4,-9.949581823226685e-4
"vm(PLANT_ID, k_use)_J409.B",-5.389734901445257e-7,5.506157324812801e-4,-9.788559577034056e-4
"vm(PLANT_ID, k_use)_J387.A",1.973889067174595e-7,5.40125707390621e-4,3.6544993881342344e-4
"vm(PLANT_ID, k_use)_J368.A",5.185811624124191e-7,5.793033678901996e-4,8.951806448166728e-4
"vm(PLANT_ID, k_use)_J368.B",-5.596474634926218e-8,5.633459009166027e-4,-9.934348729298228e-5
"vm(PLANT_ID, k_use)_J368.C",1.5777834937285424e-7,5.776485793097719e-4,2.7313898973210056e-4
"vm(PLANT_ID, k_use)_J395.B",3.7288078856057137e-7,5.589649384253249e-4,6.67091552488111e-4
"vm(PLANT_ID, k_use)_J420.A",-4.3445388548991553e-7,5.603482019736491e-4,-7.753284189360996e-4
"vm(PLANT_ID, k_use)_J580.A",-1.5237046401499412e-7,5.449537172751995e-4,-2.7960257758558905e-4
"vm(PLANT_ID, k_use)_J656.A",6.513334588888789e-7,5.955062899985925e-4,0.0010937474042304713
"vm(PLANT_ID, k_use)_J656.B",1.5893697738227577e-7,5.719387608102976e-4,2.7789160006763816e-4
"vm(PLANT_ID, k_use)_J656.C",7.875606069697169e-7,5.853844799563418e-4,0.0013453732272308509
"vm(PLANT_ID, k_use)_J657.A",1.451385793468681e-7,5.774764580414674e-4,2.513324609614579e-4
"vm(PLANT_ID, k_use)_J657.B",1.3283097096858485e-7,5.764208124497796e-4,2.3044096968680792e-4
"vm(PLANT_ID, k_use)_J657.C",6.50489461873838e-7,5.79781596291373e-4,0.001121956036608879
"vm(PLANT_ID, k_use)_J658.A",6.225333422213643e-7,5.470188658905912e-4,0.0011380472978894966
"vm(PLANT_ID, k_use)_J658.B",6.036697297896973e-7,5.45708104858203e-4,0.0011062136047009145
"vm(PLANT_ID, k_use)_J488.A",-1.064149925944239e-7,5.59849575098576e-4,-1.9007783041665572e-4
"vm(PLANT_ID, k_use)_J357.B",-6.448097531279006e-7,5.51276585415693e-4,-0.0011696664980640858
"vm(PLANT_ID, k_use)_J258.C",-5.817183959921703e-7,5.695626550862288e-4,-0.0010213422365342778
"vm(PLANT_ID, k_use)_J267.A",-8.360974475011183e-7,5.583862512491892e-4,-0.0014973460496755602
"vm(PLANT_ID, k_use)_J267.B",-4.949576976956708e-7,5.521103782245352e-4,-8.964832345433267e-4
"vm(PLANT_ID, k_use)_J267.C",-7.294827815032146e-7,5.40803347301326e-4,-0.0013488873268692248
"vm(PLANT_ID, k_use)_J344.A",-1.4816075499607457e-6,5.4422619061723e-4,-0.0027224113346702257
"vm(PLANT_ID, k_use)_J348.B",2.340171444907594e-9,5.515356571521197e-4,4.24301024704582e-6
"vm(PLANT_ID, k_use)_J349.A",5.126284329198013e-7,5.444743161236361e-4,9.415107705528511e-4
"vm(PLANT_ID, k_use)_J349.B",-1.8877679873683929e-7,5.512357402170468e-4,-3.4246110142007336e-4
"vm(PLANT_ID, k_use)_J349.C",6.769097449801474e-7,5.462062716279821e-4,0.001239293248981928
"vm(PLANT_ID, k_use)_J489.A",3.5971489349426077e-7,5.393060860354234e-4,6.66995798505848e-4
"vm(PLANT_ID, k_use)_J581.C",-5.50535070861963e-7,5.374097571799884e-4,-0.0010244232887598628
"vm(PLANT_ID, k_use)_J582.A",-5.54294548082475e-7,5.40213565767425e-4,-0.0010260655844416765
"vm(PLANT_ID, k_use)_J582.C",-4.972645188635051e-7,5.425813925297173e-4,-9.164791231506706e-4
"vm(PLANT_ID, k_use)_J583.C",-6.635970358482424e-8,5.453451312138011e-4,-1.2168386547638965e-4
"vm(PLANT_ID, k_use)_J536.B",6.543266726831443e-7,5.522298493662966e-4,0.0011848810299443383
"vm(PLANT_ID, k_use)_J351.C",-5.22880531815673e-8,5.906509317469402e-4,-8.852615033877524e-5
"vm(PLANT_ID, k_use)_J353.A",6.913901537750749e-8,5.464224719236047e-4,1.265303294246175e-4
