Effect,solution,std.error,z.ratio
SITE_BRKG,-12.884450071910578,11.222720483842414,-1.1480683396205573
SITE_CLMB,26.832402050562003,11.172327646599097,2.4016841341678603
SITE_KBSM,-21.407021982771475,11.178254237664204,-1.9150595010303384
SITE_LINC,7.459070003939128,11.214523797084905,0.6651258795204512
"vm(PLANT_ID, k_use)_J352.A",0.07453322212848879,2.9088825251013657,0.025622630506844386
"vm(PLANT_ID, k_use)_J344.C",0.10967197366130813,2.8209912996877637,0.03887710453890693
"vm(PLANT_ID, k_use)_J384.C",-0.1369369615426802,2.755548231490318,-0.04969499716164244
"vm(PLANT_ID, k_use)_J488.C",0.3510184261920845,2.7508869797769777,0.12760190759292575
"vm(PLANT_ID, k_use)_J352.B",-0.12088117271982794,2.7037215031466117,-0.04470918050514652
"vm(PLANT_ID, k_use)_J386.B",-0.30260912763714243,2.7477695950382324,-0.11012900360480622
"vm(PLANT_ID, k_use)_J348.A",-0.1620117298592295,2.7619520148302876,-0.058658415855637
"vm(PLANT_ID, k_use)_J352.C",-0.2915398701223002,2.877070876567426,-0.10133218214982956
"vm(PLANT_ID, k_use)_J258.A",0.1901764466328798,2.919262851046308,0.06514536591479513
"vm(PLANT_ID, k_use)_J394.B",-0.6786555583133661,2.8140063621223335,-0.2411705842063277
"vm(PLANT_ID, k_use)_J348.C",-0.14303111068867125,2.71078847778848,-0.05276365598446071
"vm(PLANT_ID, k_use)_J353.C",-0.4940461371526064,2.73517634427563,-0.18062679511929133
"vm(PLANT_ID, k_use)_J396.A",0.2693346142258208,2.7737193118339687,0.09710233226437687
"vm(PLANT_ID, k_use)_J354.C",-0.17923640438173757,2.822769065493756,-0.06349665885628718
"vm(PLANT_ID, k_use)_J350.B",-0.42498591864870117,2.899494425416317,-0.14657242135848583
"vm(PLANT_ID, k_use)_J350.C",-0.5685032965517863,2.7000400329165304,-0.21055365462033546
"vm(PLANT_ID, k_use)_J045.C",0.17712288895315606,2.7898139336542447,0.06348914055395487
"vm(PLANT_ID, k_use)_J359.A",-0.7763256309795804,2.693190931454535,-0.2882549550841921
"vm(PLANT_ID, k_use)_J390.A",0.11205079701795953,2.7491081593633684,0.040758962733539
"vm(PLANT_ID, k_use)_J395.A",0.6002255793765794,2.693514066837952,0.22284107841367748
"vm(PLANT_ID, k_use)_J403.A",-0.3046066117818079,2.860440962125356,-0.10648938950849035
"vm(PLANT_ID, k_use)_J407.A",-0.44916605427563217,2.9617384164730547,-0.15165622047422925
"vm(PLANT_ID, k_use)_J490.A",-0.047016271272777306,2.7484417249610225,-0.017106519248991564
"vm(PLANT_ID, k_use)_J530.A",0.8276143638982811,2.708378851099631,0.3055755525347795
"vm(PLANT_ID, k_use)_J536.A",0.6753375813598724,2.685516145755378,0.2514740350480799
"vm(PLANT_ID, k_use)_J539.A",1.1484053563028949,2.7593260466644467,0.41619052510707116
"vm(PLANT_ID, k_use)_J374.B",0.8803658251719024,2.7804984626508125,0.31662158314326055
"vm(PLANT_ID, k_use)_J355.C",0.27929909802115116,2.7532649200635193,0.10144287096597576
"vm(PLANT_ID, k_use)_J384.B",-0.37846832115010404,2.7627905736995095,-0.13698769814583403
"vm(PLANT_ID, k_use)_J400.A",0.12118283950613426,2.974521862752802,0.040740275277043804
"vm(PLANT_ID, k_use)_J257.A",-0.6984235981792328,2.730849645368409,-0.25575322294428665
"vm(PLANT_ID, k_use)_J385.A",-0.21317268085009436,2.727701578602574,-0.0781510274152881
"vm(PLANT_ID, k_use)_J376.C",-0.4063671484937474,2.8064545417910494,-0.14479733857880633
"vm(PLANT_ID, k_use)_J358.A",0.15278524785664152,2.721696255747788,0.056136039256395154
"vm(PLANT_ID, k_use)_J422.A",0.07481158459906437,2.347526025825923,0.0318682663263525
"vm(PLANT_ID, k_use)_J024.A",-0.7352750560484609,2.769875400193989,-0.26545419913002793
"vm(PLANT_ID, k_use)_J029.A",0.6733025681734058,2.9191556311815687,0.2306497676867188
"vm(PLANT_ID, k_use)_J036.A",-0.2648172624970093,2.905899379426883,-0.09113091264338202
"vm(PLANT_ID, k_use)_J037.A",-0.3496023801281902,2.7983666578740314,-0.12493086963585727
"vm(PLANT_ID, k_use)_J379.A",-0.20913046870936217,2.773493492609755,-0.07540326640989452
"vm(PLANT_ID, k_use)_J365.B",-0.24503913768766739,2.731887101087293,-0.08969592396045269
"vm(PLANT_ID, k_use)_J351.B",-0.22873258863056883,2.848631802324719,-0.08029559609771406
"vm(PLANT_ID, k_use)_J415.B",-0.1465471635356801,2.707035704843747,-0.054135659634433585
"vm(PLANT_ID, k_use)_J264.A",-0.1556135474100243,2.880132172810463,-0.054030002122498075
"vm(PLANT_ID, k_use)_J387.C",-0.5346587264862307,2.7203407509113533,-0.19654108637203346
"vm(PLANT_ID, k_use)_J353.B",-0.5312375711130848,2.823820249850501,-0.18812726169139468
"vm(PLANT_ID, k_use)_J489.B",-0.43642870308724085,2.7019845862250613,-0.16152153691482554
"vm(PLANT_ID, k_use)_J381.A",0.7392942041805644,2.865503405824149,0.25799801971197994
"vm(PLANT_ID, k_use)_J371.A",0.6412362576410047,2.7851039682668275,0.23023781695304055
"vm(PLANT_ID, k_use)_J393.A",-0.011756149950337079,2.7652116725983507,-0.004251446667477115
"vm(PLANT_ID, k_use)_J374.A",1.1702858028415095,2.784849533658673,0.42023304623715674
"vm(PLANT_ID, k_use)_J355.A",0.049505709118435236,2.7416685046967886,0.01805678149405238
"vm(PLANT_ID, k_use)_J489.C",-0.08838275296082898,2.8196018627656576,-0.03134582727014414
"vm(PLANT_ID, k_use)_J384.A",-0.1978454373278232,2.7327017567142042,-0.07239920596593469
"vm(PLANT_ID, k_use)_J470.A",-0.09035157079351032,2.7831949146215016,-0.03246325664036276
"vm(PLANT_ID, k_use)_J029.B",7.118439824280275,3.031808668998698,2.3479185533931632
"vm(PLANT_ID, k_use)_J394.A",-0.3077884547248004,2.8594624768053394,-0.10763857096270384
"vm(PLANT_ID, k_use)_J636.B",-0.3365679953827148,2.856513143129587,-0.11782476695135104
"vm(PLANT_ID, k_use)_J636.C",-0.17308071290969693,2.5860488041826954,-0.06692863360883013
"vm(PLANT_ID, k_use)_J365.A",-0.39288663406650165,2.695573449070275,-0.14575252408796777
"vm(PLANT_ID, k_use)_J376.A",-0.4263766480814635,2.8118211973846003,-0.15163718392835768
"vm(PLANT_ID, k_use)_J376.B",-0.20513793663359106,3.0198185472253694,-0.06793055060280799
"vm(PLANT_ID, k_use)_J378.A",-0.15696809223098454,2.7716237248645377,-0.056633983474310284
"vm(PLANT_ID, k_use)_J385.B",0.33250370205774515,2.756954393523485,0.12060544158396241
"vm(PLANT_ID, k_use)_J386.A",-0.4157804254728951,2.683741197802768,-0.15492567830806592
"vm(PLANT_ID, k_use)_J393.B",-0.4470728014025677,2.729834626072426,-0.16377285170779657
"vm(PLANT_ID, k_use)_J403.B",-0.33201184464034045,2.842210869709546,-0.116814641791258
"vm(PLANT_ID, k_use)_J470.B",0.09495575257503376,2.8762855005040007,0.03301332658332944
"vm(PLANT_ID, k_use)_J471.C",-0.12981971315573085,2.7822265068958503,-0.04666036817418277
"vm(PLANT_ID, k_use)_J488.B",0.14975872570345228,2.71569143502988,0.05514570756150892
"vm(PLANT_ID, k_use)_J490.C",-0.1499943542763526,2.6955331765057906,-0.05564552333605098
"vm(PLANT_ID, k_use)_J491.B",0.09124814692478103,2.7904305124784496,0.03270038315476087
"vm(PLANT_ID, k_use)_J530.B",0.9469297646578398,2.755678502078541,0.3436285342951269
"vm(PLANT_ID, k_use)_J386.C",-0.6097179438898759,2.676198927420767,-0.22782982895725995
"vm(PLANT_ID, k_use)_J407.B",-0.1816205312517257,2.9906890276606224,-0.060728658035634334
"vm(PLANT_ID, k_use)_J259.A",-0.1973719322539026,2.739576796788398,-0.07204467948673
"vm(PLANT_ID, k_use)_J359.B",-0.34012736910063046,2.8152458218909384,-0.1208162237399839
"vm(PLANT_ID, k_use)_J378.B",-0.5930958913375874,2.7631459249711896,-0.2146451571658386
"vm(PLANT_ID, k_use)_J409.B",-0.14957556546170486,2.782175366150384,-0.0537620910894155
"vm(PLANT_ID, k_use)_J387.A",-0.4494340309325672,2.7003341483275705,-0.16643645054480402
"vm(PLANT_ID, k_use)_J368.A",-0.03380230097603205,2.8501030328091943,-0.011860027720722406
"vm(PLANT_ID, k_use)_J368.B",0.012103126879392329,2.7820907670934774,0.0043503709593331425
"vm(PLANT_ID, k_use)_J368.C",0.78513535619261,2.868271734004217,0.2737311625271051
"vm(PLANT_ID, k_use)_J395.B",-0.42035249649157613,2.7889065910417457,-0.1507230460287883
"vm(PLANT_ID, k_use)_J420.A",-0.0023020758614771698,2.8795949297842434,-7.994443376970577e-4
"vm(PLANT_ID, k_use)_J580.A",-0.06350904217383765,2.6995180186249628,-0.023526067148159607
"vm(PLANT_ID, k_use)_J656.A",0.23904691194423994,3.0412802853261196,0.07860075018327575
"vm(PLANT_ID, k_use)_J656.B",-0.02996557072525761,2.862809857107289,-0.010467188608724493
"vm(PLANT_ID, k_use)_J656.C",0.010580141251178093,2.9489917562379366,0.00358771476006949
"vm(PLANT_ID, k_use)_J657.A",0.14647946618742932,2.8950193796049435,0.050597058941767095
"vm(PLANT_ID, k_use)_J657.B",0.13758214585802225,2.889756141343416,0.047610296207922176
"vm(PLANT_ID, k_use)_J657.C",0.06004992410198033,2.893863042165627,0.02075078302843312
"vm(PLANT_ID, k_use)_J658.A",-0.5248831833535497,2.7327130730057245,-0.19207401923694392
"vm(PLANT_ID, k_use)_J658.B",-0.5238038105175787,2.7264646204219267,-0.19211832297186343
"vm(PLANT_ID, k_use)_J488.A",0.1391100113201587,2.8545406132343247,0.04873288916444623
"vm(PLANT_ID, k_use)_J357.B",-0.08105737850159273,2.726300855050561,-0.02973163374520141
"vm(PLANT_ID, k_use)_J258.C",-0.14842675520493928,2.908835794627465,-0.051026171872293094
"vm(PLANT_ID, k_use)_J267.A",-0.06472719056853792,2.8527351597146886,-0.022689519687138254
"vm(PLANT_ID, k_use)_J267.B",-0.2672068547934364,2.8202127724976025,-0.0947470550446433
"vm(PLANT_ID, k_use)_J267.C",-0.09458891726335109,2.7360934302276507,-0.034570792144141445
"vm(PLANT_ID, k_use)_J344.A",-0.17069706187147834,2.6965427552255075,-0.06330219001374715
"vm(PLANT_ID, k_use)_J348.B",-0.8481551843934153,2.7271159188423244,-0.3110081161322478
"vm(PLANT_ID, k_use)_J349.A",-0.3748956869908294,2.7206402683175965,-0.13779686030401195
"vm(PLANT_ID, k_use)_J349.B",-0.2677769425314797,2.7508477056293166,-0.09734342689473603
"vm(PLANT_ID, k_use)_J349.C",-0.571141408868855,2.6998356904741043,-0.21154672889317935
"vm(PLANT_ID, k_use)_J489.A",-0.5222246282998936,2.7219523880956342,-0.19185663591465638
"vm(PLANT_ID, k_use)_J581.C",-0.06194365646187325,2.66545520999263,-0.02323942875860387
"vm(PLANT_ID, k_use)_J582.A",-0.15550044835523952,2.7321384105117903,-0.056915289414678966
"vm(PLANT_ID, k_use)_J582.C",-0.10659045583313814,2.7154872082385957,-0.03925279246749911
"vm(PLANT_ID, k_use)_J583.C",-0.02347824357062229,2.763147084845791,-0.008496921390607981
"vm(PLANT_ID, k_use)_J536.B",0.8745065937403911,2.7138603440845808,0.32223713930105463
"vm(PLANT_ID, k_use)_J351.C",-0.6037057230440362,2.8914185577056486,-0.20879222810379933
"vm(PLANT_ID, k_use)_J353.A",-0.3623710536776193,2.7054451013891216,-0.13394138121359714
"vm(PLANT_ID, k_use)_J354.B",0.20015187372591806,2.697246405759857,0.0742060025730323
"vm(PLANT_ID, k_use)_J355.B",0.0355494416034722,2.861303070184279,0.012424213979256197
"vm(PLANT_ID, k_use)_J357.C",-0.02653836036224197,2.9575371176060434,-0.008973128419677536
"vm(PLANT_ID, k_use)_J378.C",-0.17260288505026156,2.839161047522335,-0.06079362253891438
"vm(PLANT_ID, k_use)_J379.B",-0.5249388001560523,2.9803547386112372,-0.1761329929472286
"vm(PLANT_ID, k_use)_J380.B",-0.08879773263184003,2.8358728582457324,-0.031312310907608956
"vm(PLANT_ID, k_use)_J382.A",0.21759414800727517,2.8780086483319427,0.07560580060570352
"vm(PLANT_ID, k_use)_J382.B",0.16757086527450102,2.8019750259211627,0.05980455347542268
"vm(PLANT_ID, k_use)_J387.B",-0.22440752624781304,2.7078932434241962,-0.08287162974122433
"vm(PLANT_ID, k_use)_J390.B",-0.14790428479019693,2.3087669214187283,-0.06406202523869768
"vm(PLANT_ID, k_use)_J406.A",0.8156797232541341,2.731297877327772,0.2986418032339164
"vm(PLANT_ID, k_use)_J412.A",-0.36103018450030266,2.8441864406585013,-0.12693618791625877
"vm(PLANT_ID, k_use)_J420.B",-0.06296593128069715,2.789975724509612,-0.02256863051801805
"vm(PLANT_ID, k_use)_J421.A",0.36609157622467076,2.961068719886944,0.12363494766803265
