Effect,solution,std.error,z.ratio
SITE_KING,7.122621427887621e-6,0.19988939252473248,3.563281341708182e-5
SITE_PKLE,-8.119163698503614e-5,0.19988939186802337,-4.061828205402855e-4
SITE_TMPL,7.406901557412424e-5,0.19988939172729508,3.7055000735194114e-4
"vm(PLANT_ID, k_use)_J250.C",258.39362070974636,292.8543211838736,0.8823281816883607
"vm(PLANT_ID, k_use)_J251.C",2.1786475364465,292.0122615630111,0.0074608084084728955
"vm(PLANT_ID, k_use)_J004.B",602.1716775096739,274.9786966227163,2.1898848343727577
"vm(PLANT_ID, k_use)_J301.A",-337.50425586099266,275.6908166229458,-1.224212906310141
"vm(PLANT_ID, k_use)_J013.C",-322.6942014182112,292.20158109684934,-1.1043547410212513
"vm(PLANT_ID, k_use)_J018.C",-323.1425299299744,276.1454163588956,-1.1701897289868408
"vm(PLANT_ID, k_use)_J022.C",-13.250952241769346,293.7035473572514,-0.045116759266279206
"vm(PLANT_ID, k_use)_J065.A",-237.06012600956066,276.8640728633752,-0.8562328927615801
"vm(PLANT_ID, k_use)_J311.A",99.60735169519576,295.2133474317325,0.3374080222379843
"vm(PLANT_ID, k_use)_J016.B",-332.2513132819802,285.4863473545015,-1.1638080642413644
"vm(PLANT_ID, k_use)_J001.B",-593.0351346792866,275.5565266352393,-2.1521360496182376
"vm(PLANT_ID, k_use)_J008.D",-432.79260082075416,278.72513027376385,-1.5527577308715048
"vm(PLANT_ID, k_use)_J005.B",-16.572108669927896,276.52863842861007,-0.05992908641976419
"vm(PLANT_ID, k_use)_J065.B",-16.224795756203537,291.50620972240927,-0.05565849102032447
"vm(PLANT_ID, k_use)_J020.B",-484.88427488506716,278.27920775867796,-1.742438031178944
"vm(PLANT_ID, k_use)_J022.D",182.56641231347965,275.27935648810205,0.6632041524747259
"vm(PLANT_ID, k_use)_J005.D",-311.29493717848925,275.0765745676631,-1.1316664738455116
"vm(PLANT_ID, k_use)_J316.A",49.78492001931803,277.8472791615611,0.17918088012072764
"vm(PLANT_ID, k_use)_J016.C",-229.79153563194586,285.6147949516006,-0.8045505334234722
"vm(PLANT_ID, k_use)_J009.C",77.51050225731679,291.92083400149073,0.2655189120791597
"vm(PLANT_ID, k_use)_J023.B",-615.4367692387566,284.89858095022237,-2.1601959798679586
"vm(PLANT_ID, k_use)_J073.A",448.21647591171416,276.0633196663902,1.6236002539321888
"vm(PLANT_ID, k_use)_J020.C",-391.43923275712723,277.1696084192213,-1.412273282736945
"vm(PLANT_ID, k_use)_J320.A",410.62486853723505,290.22918092010815,1.4148297122826818
"vm(PLANT_ID, k_use)_J016.D",-43.8332546809882,271.1594894735583,-0.1616511919464376
"vm(PLANT_ID, k_use)_J003.D",-122.45442535080903,271.81763352795844,-0.45050213910501763
"vm(PLANT_ID, k_use)_J030.C",-206.77781724626644,279.7019992455614,-0.7392790105326635
"vm(PLANT_ID, k_use)_J086.A",-702.4624141734831,287.1796154108702,-2.446073385704847
"vm(PLANT_ID, k_use)_J003.E",78.01964328538206,280.3693571215218,0.2782745022009151
"vm(PLANT_ID, k_use)_J296.A",-430.7017650374826,281.5453374269513,-1.5297776513497792
