Effect,solution,std.error,z.ratio
SITE_KING,-0.29880831715523587,0.17747742792178015,-1.6836412418988291
SITE_PKLE,0.0822301684567075,0.1759826457386988,0.46726294011287833
SITE_TMPL,0.21657814853093288,0.1764206561998602,1.2276235288773658
"vm(PLANT_ID, k_use)_J352.A",5.581253778898739e-7,3.148855265217915e-4,0.0017724707262823309
"vm(PLANT_ID, k_use)_J344.C",-1.3324236940524535e-8,3.0431210116624123e-4,-4.378477520105485e-5
"vm(PLANT_ID, k_use)_J384.C",5.589850648800905e-7,2.976516203747232e-4,0.001877984283023107
"vm(PLANT_ID, k_use)_J488.C",4.062834278880759e-7,3.0044257470654385e-4,0.0013522831385828445
"vm(PLANT_ID, k_use)_J352.B",6.442192966459728e-8,2.974718462199317e-4,2.1656479590666144e-4
"vm(PLANT_ID, k_use)_J386.B",-1.1864507484183729e-7,2.9198180113756435e-4,-4.063440748005347e-4
"vm(PLANT_ID, k_use)_J348.A",-1.3536150097131892e-7,2.9937837104818886e-4,-4.5214188485757613e-4
"vm(PLANT_ID, k_use)_J352.C",4.962202102230749e-7,3.144433859215822e-4,0.001578090786577477
"vm(PLANT_ID, k_use)_J258.A",-2.0777342031838455e-7,3.15280976809237e-4,-6.59010329202638e-4
"vm(PLANT_ID, k_use)_J394.B",-2.465611338612875e-7,3.120067010659277e-4,-7.902430717639894e-4
"vm(PLANT_ID, k_use)_J348.C",1.0024987337109259e-7,2.9881027535515577e-4,3.3549674037125726e-4
"vm(PLANT_ID, k_use)_J353.C",1.1803910113794712e-7,2.9815427107437754e-4,3.958994137920671e-4
"vm(PLANT_ID, k_use)_J396.A",-7.722118326708809e-7,3.054153523010752e-4,-0.0025283988733796284
"vm(PLANT_ID, k_use)_J354.C",-1.031884693218481e-7,3.115676715398826e-4,-3.311911945544689e-4
"vm(PLANT_ID, k_use)_J350.B",1.7984576721261727e-7,3.218458325017858e-4,5.587947677141955e-4
"vm(PLANT_ID, k_use)_J350.C",4.801652506601481e-7,2.9892756640064583e-4,0.001606292977398389
"vm(PLANT_ID, k_use)_J045.C",6.040879504028095e-7,3.076984245172895e-4,0.0019632468100884474
"vm(PLANT_ID, k_use)_J359.A",3.332182214139164e-7,2.9610003463031813e-4,0.0011253569146992516
"vm(PLANT_ID, k_use)_J390.A",-5.490380968011698e-7,3.0249308816951496e-4,-0.0018150434448720124
"vm(PLANT_ID, k_use)_J395.A",9.904083072251651e-8,3.0190447508323564e-4,3.280535364545715e-4
"vm(PLANT_ID, k_use)_J403.A",-2.446353773066247e-7,3.0945118631443835e-4,-7.905459346277857e-4
"vm(PLANT_ID, k_use)_J407.A",2.326959306822621e-8,3.2055723711839503e-4,7.259107071612234e-5
"vm(PLANT_ID, k_use)_J490.A",1.2246073684788628e-7,2.9308511130295893e-4,4.178333600893835e-4
"vm(PLANT_ID, k_use)_J530.A",6.759150742658644e-8,3.008690782505243e-4,2.2465421777343667e-4
"vm(PLANT_ID, k_use)_J536.A",-4.842121868225954e-7,3.0008988839761266e-4,-0.0016135571558513317
"vm(PLANT_ID, k_use)_J539.A",-4.4312033193230073e-7,3.0014067399261265e-4,-0.0014763754809959788
"vm(PLANT_ID, k_use)_J374.B",1.559698786635431e-8,3.066935659226836e-4,5.0855282273141195e-5
"vm(PLANT_ID, k_use)_J355.C",2.3014134200365097e-7,0.00030359740964953095,7.580477786991768e-4
"vm(PLANT_ID, k_use)_J384.B",5.850840737853746e-7,3.04541265194629e-4,0.0019211980137123744
"vm(PLANT_ID, k_use)_J400.A",4.5022459277644715e-7,3.174560695529647e-4,0.0014182264444036127
"vm(PLANT_ID, k_use)_J257.A",-9.465707964190115e-8,3.004024323975614e-4,-3.151009094248251e-4
"vm(PLANT_ID, k_use)_J385.A",9.815045690588797e-8,3.000442543274616e-4,3.271199347772504e-4
"vm(PLANT_ID, k_use)_J376.C",7.805901562300383e-7,3.123037046390258e-4,0.0024994585226975723
"vm(PLANT_ID, k_use)_J358.A",-3.3449036838168034e-7,2.9325353405611595e-4,-0.0011406183712612086
"vm(PLANT_ID, k_use)_J422.A",-3.5141819630546065e-7,2.5440823954483066e-4,-0.0013813160962639944
"vm(PLANT_ID, k_use)_J024.A",-8.606995232213594e-7,3.0242482096273565e-4,-0.0028459949830884203
"vm(PLANT_ID, k_use)_J029.A",3.043869326947063e-8,3.192883550055242e-4,9.533292646687348e-5
"vm(PLANT_ID, k_use)_J036.A",-2.566842972891522e-7,3.1521100174374146e-4,-8.143253118361332e-4
"vm(PLANT_ID, k_use)_J037.A",-3.760092871202271e-7,3.062763256849071e-4,-0.001227679894224212
"vm(PLANT_ID, k_use)_J379.A",-3.2398173955734474e-8,3.0601086126195575e-4,-1.0587262759932084e-4
"vm(PLANT_ID, k_use)_J365.B",7.409280512056942e-7,3.0054168142219827e-4,0.0024653087974338076
"vm(PLANT_ID, k_use)_J351.B",4.298267559922402e-7,3.083248511406721e-4,0.0013940710727729606
"vm(PLANT_ID, k_use)_J415.B",6.511697184910607e-8,2.978623387508072e-4,2.1861431734605154e-4
"vm(PLANT_ID, k_use)_J264.A",1.9723124130504973e-7,3.073119815278629e-4,6.417948311825501e-4
"vm(PLANT_ID, k_use)_J387.C",-1.5059940832565776e-7,2.9900411516327216e-4,-5.036700188672067e-4
"vm(PLANT_ID, k_use)_J353.B",2.245396489870287e-7,3.084963464025286e-4,7.278518906478313e-4
