matrix,likelihood
flowering.identity.csv,-1056520.59589911
flowering.simple_het_1.csv,-1056416.57608107
flowering.singleton.TX2.csv,-1056350.08325335
flowering.singleton.NE.csv,-1056304.33707602
flowering.singleton.MO.csv,-1056260.95234346
flowering.singleton.SD.csv,-1056217.71057847
flowering.singleton.TX1.csv,-1056177.89654958
flowering.singleton.MI.csv,-1056147.65079083
flowering.singleton.TX3.csv,-1056116.86169899
flowering.midwest.strong.PCA_1.csv,-1056095.717907
flowering.midwest.crain_1d.U.mat.csv,-1056087.80044924
flowering.midwest.strong.tPCA.csv,-1056086.06488996
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
