matrix,likelihood
greenup.identity.csv,-1203135.92308388
greenup.simple_het_2.csv,-1201694.21625303
greenup.simple_het_1.csv,-1201612.26210217
greenup.simple_het_3.csv,-1201524.59750841
greenup.singleton.TX3.csv,-1201470.81108046
greenup.singleton.NE.csv,-1201417.0608545
greenup.singleton.TX2.csv,-1201380.39136365
greenup.singleton.MI.csv,-1201352.47666974
greenup.singleton.TX1.csv,-1201325.26639811
greenup.singleton.OK.csv,-1201299.91157587
greenup.singleton.SD.csv,-1201274.80768852
greenup.singleton.MO.csv,-1201256.87060559
greenup.all.strong.PCA_4.csv,-1201247.44375854
greenup.equal_effects.csv,-1201240.00740065
greenup.all.strong.tPCA.csv,-1201235.37071249
greenup.all.tave_10d.U.mat.csv,-1201232.41970872
greenup.all.tave_5d.U.mat.csv,-1201231.7001999
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
