matrix,likelihood
flowering.identity.csv,-1154809.44369404
flowering.simple_het_1.csv,-1154591.90532156
flowering.singleton.NE.csv,-1154481.4575065
flowering.singleton.SD.csv,-1154397.19764399
flowering.singleton.MI.csv,-1154314.79484796
flowering.singleton.TX3.csv,-1154236.83361423
flowering.singleton.TX1.csv,-1154169.32159978
flowering.singleton.MO.csv,-1154105.80713735
flowering.singleton.OK.csv,-1154064.13581518
flowering.singleton.TX2.csv,-1154033.05275301
flowering.gulf.strong.PCA_3.csv,-1154019.53067117
flowering.gulf.dyln_change_sec_14d_prior.U.mat.csv,-1154011.8031747
flowering.gulf.strong.tPCA.csv,-1154011.18545653
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
