"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "FL50" "GR50" "cgdd_12c_gr2fl" "crain_gr2fl" "crain_5d" "dyln_fl50" "dyln_change_sec" "DOY" "crain_1d" "crain_2d" "crain_3d" "crain_7d"
"1" "J001.A" "Atlantic" 28.57 82.38 "K2716" "KING" 161 70 1112.1 244.31 84.83 13.8419072044375 26.2767121428546 2019-06-11 0 0 0 84.83
"2" "J001.A" "Atlantic" 28.57 82.38 "P6616" "PKLE" 178 66 1253.15 477 25 14.1016810884826 -10.8586208492568 2019-06-28 0 15 15.3 25
"3" "J001.A" "Atlantic" 28.57 82.38 "C6409" "CLMB" 213 122 857.65 366.02 32.26 14.211725606504 -110.803261422527 2019-08-02 0 0 3.3 32.26
"4" "J001.A" "Atlantic" 28.57 82.38 "T1702" "TMPL" 214 70 1615.655 661.61 0 13.641628601562 -82.5925031687298 2019-08-03 0.48 0.48 0.48 0.48
"5" "J001.A" "Atlantic" 28.57 82.38 "F1505" "FRMI" 217 149 761.8 183 0 14.3090070631401 -131.595231859409 2019-08-06 4.6 4.6 4.6 4.6
"6" "J001.A" "Atlantic" 28.57 82.38 "B1010" "BRKG" 235 156 691.85 319.6 45.7 13.7218326859717 -169.054889841687 2019-08-24 0 0 0 45.7
"7" "J001.A" "Atlantic" 28.57 82.38 "S1215" "STIL" 238 154 1242.67 360.92 114.3 13.1939925490315 -126.560581516394 2019-08-27 0.25 1.77 12.69 114.55
"8" "J001.A" "Atlantic" 28.57 82.38 "M2012" "KBSM" 242 127 947.25 374 25 13.302667795408 -163.006213898205 2019-08-31 0 0 8 25
"9" "J001.A" "Atlantic" 28.57 82.38 "L4203" "LINC" 242 150 975.4 263.4 33.8 13.2492112196403 -155.742286846544 2019-08-31 0.5 1.3 1.3 34.3
"10" "J001.A" "Atlantic" 28.57 82.38 "L3016" "LINC" 244 136 1058.15 386.4 34.3 13.1621967214212 -156.910927936172 2019-09-02 0 0 0.5 34.3
"11" "J001.B" "Gulf" 28.57 82.38 "K1109" "KING" 149 72 874 159.48 0 13.7187853972385 48.8674808761125 2019-05-30 0 0 0 0
"12" "J001.B" "Gulf" 28.57 82.38 "P3002" "PKLE" 169 69 1074.6 451 10.6 14.1046921586474 10.8766708294617 2019-06-19 0 0 4.8 10.6
