matrix,likelihood
flowering.gulf.crain_1d,-1607270.19037195
flowering.midwest.dyln_change_sec,-1605049.40134425
flowering.gulf.crain_3d,-1604808.79814807
flowering.midwest.cgdd_12c_gr2fl,-1604805.83228466
flowering.all.crain_1d,-1604805.83228466
flowering.midwest.crain_1d,-1604805.83228466
flowering.all.crain_3d,-1604805.83228459
flowering.midwest.crain_3d,-1604805.83228459
flowering.gulf.crain_5d,-1604805.83228499
flowering.all.crain_5d,-1604805.83228502
flowering.midwest.crain_5d,-1604805.83228503
