matrix,likelihood
greenup.gulf.tave_5d,-1215620.56909523
greenup.midwest.cgdd_12c_5d,-1215248.04670184
greenup.midwest.tave_10d,-1215178.24444559
greenup.midwest.cgdd_12c_18d,-1215168.13883537
greenup.midwest.cgdd_12c_10d,-1215166.31837063
greenup.all.tave_18d,-1215166.18396455
greenup.midwest.tave_18d,-1215166.18397611
greenup.all.cgdd_12c_10d,-1215166.18188581
greenup.gulf.cgdd_12c_18d,-1215166.18304968
greenup.all.cgdd_12c_18d,-1215166.18308785
greenup.gulf.cgdd_12c_10d,-1215166.18350991
greenup.gulf.tave_10d,-1215166.18386771
greenup.all.tave_10d,-1215166.1818477
greenup.gulf.tave_18d,-1215166.1830794
greenup.all.cgdd_12c_5d,-1215166.18381374
greenup.midwest.tave_5d,-1215166.18394666
greenup.gulf.cgdd_12c_5d,-1215166.18259186
greenup.all.tave_5d,-1215166.18381122
