matrix,likelihood
greenup.all.tave_5d,-1839331.67478195
greenup.gulf.cgdd_12c_18d,-1838833.75495091
greenup.gulf.cgdd_12c_5d,-1838757.1949218
greenup.all.tave_10d,-1838743.8339125
greenup.midwest.cgdd_12c_10d,-1838743.83396847
greenup.gulf.tave_18d,-1838743.83415918
greenup.gulf.cgdd_12c_10d,-1838743.83418235
greenup.gulf.tave_5d,-1838743.83356944
greenup.all.cgdd_12c_10d,-1838743.83323858
greenup.midwest.tave_10d,-1838743.83391912
greenup.all.tave_18d,-1838743.8341888
greenup.midwest.tave_5d,-1838743.83286125
greenup.gulf.tave_10d,-1838743.83360082
greenup.all.cgdd_12c_5d,-1838743.8339792
greenup.all.cgdd_12c_18d,-1838743.83200391
greenup.midwest.cgdd_12c_18d,-1838743.83362206
greenup.midwest.tave_18d,-1838743.8340914
greenup.midwest.cgdd_12c_5d,-1838743.83419109
