matrix,likelihood
greenup.gulf.tave_5d,-1535169.12627807
greenup.all.cgdd_12c_18d,-1535121.40909724
greenup.midwest.cgdd_12c_5d,-1535115.85792654
greenup.gulf.cgdd_12c_5d,-1535114.81941329
greenup.gulf.tave_10d,-1535115.3629665
greenup.all.tave_10d,-1535114.48386125
greenup.midwest.tave_10d,-1535115.01655183
greenup.all.cgdd_12c_5d,-1535115.009961
greenup.all.tave_5d,-1535115.1321607
greenup.midwest.tave_5d,-1535114.53054339
greenup.midwest.cgdd_12c_10d,-1535115.11830921
greenup.gulf.cgdd_12c_10d,-1535114.52857092
greenup.all.tave_18d,-1535115.10792406
greenup.midwest.tave_18d,-1535115.12782874
greenup.all.cgdd_12c_10d,-1535115.36730707
greenup.gulf.cgdd_12c_18d,-1535114.5144109
greenup.gulf.tave_18d,-1535115.23823327
greenup.midwest.cgdd_12c_18d,-1535115.11950708
