SITE,GR1,GR50,GR100,EM1,EM50,FL1,FL50
BRKG,May 30,June 4,June 6,August 6,August 10,September 14,September 17
KBSM,May 10,May 16,May 21,July 30,August 3,September 5,September 17
FRMI,May 21,May 30,June 6,July 27,July 29,August 28,August 31
LINC,May 13,May 17,May 27,July 26,July 30,August 25,September 6
CLMB,April 23,May 3,May 21,July 9,July 12,August 7,August 20
STIL,April 9,April 20,May 2,July 5,July 9,August 12,August 22
OVTN,March 13,March 19,March 22,NA,NA,May 3,NA
TMPL,March 5,March 11,March 12,July 2,July 2,July 25,August 3
PKLE,February 28,March 4,March 8,June 8,June 11,July 8,July 12
KING,February 26,March 9,March 14,May 4,May 23,May 23,May 30
