Site,Site Code,Latitude,Longitude,City,State
"Stillwater, OK OSU_NSF",STIL,35.99,-97.05,Perkins,OK
"Hickory Corners, MI KBS_NSF",KBSM,42.42,-85.37,Hickory Corners,MI
"Temple, TX USDA/ARS_NSF",TMPL,31.04,-97.35,Temple,TX
"Overton, TX TX A&M ALRC_NSF",OVTN,32.3,-94.98,Overton,TX
"Kingsville, TX USDA/PMC_NSF",KING,27.55,-97.88,Kingsville,TX
"Columbia, MO BRC_NSF",CLMB,38.9,-92.22,Columbia,MO
"Manhattan, KS USDA/PMC_NSF",MNHT,39.14,-96.64,Manhattan,KS
"Austin, TX PKLE_NSF",PKLE,30.38,-97.73,Austin,TX
"Lincoln, NE UNL ARF_NSF",LINC,41.15,-96.42,Ithica,NE
"Brookings, SD SDSU_NSF",BRKG,44.31,-96.67,Aurora,SD
