PLANT_ID,LIBRARY,LIB_GROWN,LIB_BIOCLIM,Genetic_subpop_50per,Genetic_subpop_95per,Texas_Q,Eastcoast_Q,Midwest_DA,Ecotype,Ecotype_PC1,UP_ecotype,TX_ecotype,CO_ecotype,LIB_CLIMATE,LIB_PHENO,LIB_ACC,LIB_NOTES,PLOIDY,COLLECTION_TYPE,COLLECTION_METHOD,COLLECTOR,STATE,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NOTE_LATLONG,LOCALITY,TAXON,HABITAT,COLL_DATE
A4,NNBS,N,Y,Texas,Texas,1,0,0.005,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Cultivar,Unknown,NA,Texas,Live Oak ,28.3325,-98.117505,48,NA,"George West, TX",Panicum virgatum,NA,NA
Cave_In_Rock_WO1,WZGB,N,Y,Midwest,Midwest,NA,NA,1,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Cultivar,Unknown,NA,Illinios,Hardin,37.469217,-88.165308,114,GPS estimated using passport data,Cave-in-Rock,Panicum virgatum,NA,NA
DAC6,CWAB,N,Y,Midwest,Midwest,NA,NA,1,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Natural Collection,Unknown,NA,North Dakota,East Morton,46.392962,-100.941106,NA,Approximate,Derived From Several  Plants Near Breien North Dakota,Panicum virgatum,NA,NA
Dacotah_WO1,WZCY,N,Y,Midwest,Midwest,NA,NA,1,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Natural Collection,Unknown,NA,North Dakota,East Morton,46.392962,-100.941106,NA,Approximate,Derived From Several  Plants Near Breien North Dakota,Panicum virgatum,NA,NA
DVR3,OBXC,N,Y,Texas,Texas,1,0,0.008,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Natural Collection,Unknown,NA,Texas,Val Verde,29.9,-100.992,422,NA,Devil's River State Park,Panicum virgatum,NA,NA
GAasmb6,WZCW,N,Y,Eastcoast,Admixed,0.064,0.936,0,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Natural Collection,Unknown,NA,NA,NA,27.197548,-80.252826,NA,Estimated From Passport Data,"Photoperiod Sensitive: Selected from PI422001 collected from Florida, related to NAM 16",Panicum virgatum,NA,NA
Hammonasset,TCTP,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Breeding Selection,Unknown,NA,NA,NA,NA,NA,NA,Hybrid,NA,Panicum virgatum,NA,NA
i1029.1,WZGC,N,Y,Texas,Texas,1,0,0,NA,NA,NA,NA,NA,Y,Y,Y,NA,4X,Natural Collection,Unknown,NA,Coahuila,NA,29.3247,-101.3645,440,Location Approximate,"239-4, Mexico Collection, 13BFLGH; The samples were collected in 2012 in the northern state of Coahuila (Rancho los Ángeles, Saltillo, Coah)",Panicum virgatum,NA,NA
J001.A,IHWG,Y,Y,Admixed,Admixed,NA,NA,0,Texas,-181.737805377727,0.00225595093401498,0.979369296825078,0.0183747522409069,Y,Y,N,NA,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Florida,Hernado,28.57,-82.38,26,NA,FL,Panicum virgatum,NA,NA
J001.B,IHXA,Y,Y,Admixed,Admixed,NA,NA,0,Coastal,-198.031753068876,0.0109863861497695,0.264831643034183,0.724181970816047,Y,Y,Y,NA,4X,Natural Collection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Florida,Hernado,28.57,-82.38,26,NA,FL,Panicum virgatum,NA,NA
J003.A,IEKY,Y,N,NA,NA,NA,NA,NA,Texas,-147.411813246958,0.00500405719282478,0.946215226825698,0.0487807159814775,N,Y,N,J003 is a mess. ,4X,Breeding Selection,Grown from GRIN Seed Packet In Austin,T. Juenger,North Carolina,Richmond,35.029935,-79.547826,128,NA,"Hoffman, NC",Panicum virgatum,NA,NA
J003.B,IHXT,Y,Y,Eastcoast,Admixed,0.246,0.754,0,Coastal,-152.113169638548,0.00684430049623335,0.0470678587795761,0.946087840724191,Y,Y,Y,NA,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Richmond,35.029935,-79.547826,128,NA,"Hoffman, NC",Panicum virgatum,NA,NA
J003.D,IHYM,Y,N,NA,NA,NA,NA,NA,Texas,-206.016101266136,0.00171056585354879,0.977997695904172,0.020291738242279,N,Y,N,J003 is a mess. ,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Richmond,35.029935,-79.547826,128,NA,"Hoffman, NC",Panicum virgatum,NA,NA
J003.E,IHYY,Y,N,NA,NA,NA,NA,NA,Texas,-261.704856881232,0.00137646867928254,0.98437839447464,0.0142451368460779,N,Y,N,J003 is a mess. ,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Richmond,35.029935,-79.547826,128,NA,"Hoffman, NC",Panicum virgatum,NA,NA
J003.F,IHZR,Y,N,NA,NA,NA,NA,NA,Coastal,-297.513330544253,0.0102821984899459,0.288068883150035,0.701648918360019,N,Y,N,J003 is a mess. ,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,North Carolina,Richmond,35.029935,-79.547826,128,NA,"Hoffman, NC",Panicum virgatum,NA,NA
J004.B,IHWK,Y,Y,Texas,Texas,1,0,0,Texas,-322.339839012691,0.00157282383192049,0.98035822961213,0.0180689465559496,Y,Y,Y,NA,4X,Breeding Selection,"Dug up from established common garden at the Noble Foundataion in Ardmore, OK",Noble,Kansas,Ellsworth,38.736583,-98.22838,480,NA,Ellsworth,Panicum virgatum,NA,1956-01-01 00:00:00
