Effect,solution,std.error,z.ratio
(Intercept),2294.8425242694916,228.3931737881105,10.04777194610251
Effect,solution,std.error,z.ratio
SUBPOP_Midwest,401.4674118656316,258.030984236642,1.5558883870219364
SUBPOP_Gulf,-699.9591447764009,233.56335975751637,-2.9968705087265954
SUBPOP_Atlantic,90.07969291575857,235.68875847449894,0.382197663981946
SUBPOP_4X,476.24846155015405,249.00945947818516,1.9125717655391983
SUBPOP_8X,-267.8364206929442,231.01905505536422,-1.1593693889396122
LATITUDE:SUBPOP_Midwest,-48.91779396446127,3.785825959685399,-12.921300261918622
LATITUDE:SUBPOP_Gulf,-14.828201459219462,1.9763218987515043,-7.502928277314964
LATITUDE:SUBPOP_Atlantic,-42.692436078082665,1.9568885842070403,-21.816487879090094
LATITUDE:SUBPOP_4X,-51.80813272702737,3.416146471190557,-15.165664927994666
LATITUDE:SUBPOP_8X,-32.35466825358877,1.1625684988773275,-27.830332823255677
