sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
north_sites,Gulf_and_Midwest,crain_1d,Chr01K,0.4,Pavir.1KG002100,294,0.07302527110104574,AT3G23130.1,"FLO10,FON1,SUP",C2H2 and C2HC zinc fingers superfamily protein,"ZOS7-01 - C2H2 zinc finger protein, expressed",LOC_Os07g01180.1
north_sites,Gulf,crain_1d,Chr01K,0.6,Pavir.1KG005033,8756,0.013098197707859043,AT2G37460.1,NA,nodulin MtN21 /EamA-like transporter family protein,"integral membrane protein DUF6 containing protein, expressed",LOC_Os12g18960.1
north_sites,Gulf_and_Midwest,crain_1d,Chr01K,0.64,Pavir.1KG005500,450,0.09981575061835775,AT1G76890.2,"AT-GT2,GT2",Duplicated homeodomain-like superfamily protein,expressed protein,LOC_Os02g01380.1
north_sites,Gulf_and_Midwest,crain_1d,Chr01K,0.64,Pavir.1KG005500,472,0.07514681846666714,AT1G76890.2,"AT-GT2,GT2",Duplicated homeodomain-like superfamily protein,expressed protein,LOC_Os02g01380.1
north_sites,Gulf,dyln_fl50,Chr01K,0.65,Pavir.1KG005600,1726,0.02453977403894691,AT3G47450.2,"ATNOA1,ATNOS1,NOA1,NOS1,RIF1",P-loop containing nucleoside triphosphate hydrolases superfamily protein,"nitric oxide synthase 1, putative, expressed",LOC_Os02g01440.1
north_sites,Gulf,FL50,Chr01K,0.65,Pavir.1KG005600,1726,0.026389147865596478,AT3G47450.2,"ATNOA1,ATNOS1,NOA1,NOS1,RIF1",P-loop containing nucleoside triphosphate hydrolases superfamily protein,"nitric oxide synthase 1, putative, expressed",LOC_Os02g01440.1
north_sites,Gulf_and_Midwest,GR50,Chr01K,0.65,Pavir.1KG005600,1460,0.001785853594677429,AT3G47450.2,"ATNOA1,ATNOS1,NOA1,NOS1,RIF1",P-loop containing nucleoside triphosphate hydrolases superfamily protein,"nitric oxide synthase 1, putative, expressed",LOC_Os02g01440.1
north_sites,Gulf,dyln_fl50,Chr01K,0.77,Pavir.1KG007450,974,0.04076447432778802,AT5G24680.1,NA,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2","peptidase family C78 domain containing protein, expressed",LOC_Os02g01710.2
north_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,0.77,Pavir.1KG007450,974,0.010906411939333274,AT5G24680.1,NA,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2","peptidase family C78 domain containing protein, expressed",LOC_Os02g01710.2
north_sites,Gulf,FL50,Chr01K,0.77,Pavir.1KG007450,974,0.04753884527074169,AT5G24680.1,NA,"Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2","peptidase family C78 domain containing protein, expressed",LOC_Os02g01710.2
north_sites,Gulf,crain_1d,Chr01K,0.78,Pavir.1KG007500,966,0.0141857359557363,AT1G33230.1,NA,TMPIT-like protein,"transmembrane protein 120A, putative, expressed",LOC_Os02g01720.1
north_sites,Gulf,crain_1d,Chr01K,0.79,Pavir.1KG007600,3427,0.012928612163798665,AT1G33260.1,NA,Protein kinase superfamily protein,"serine/threonine-protein kinase At1g18390 precursor, putative, expressed",LOC_Os02g01730.1
north_sites,Gulf,crain_1d,Chr01K,0.83,Pavir.1KG008000,69,0.017017862976451536,AT1G11950.1,NA,Transcription factor jumonji (jmjC) domain-containing protein,"transcription factor jumonji, putative, expressed",LOC_Os02g01940.1
north_sites,Gulf_and_Midwest,crain_1d,Chr01K,0.83,Pavir.1KG008000,744,0.09275551792278919,AT1G11950.1,NA,Transcription factor jumonji (jmjC) domain-containing protein,"transcription factor jumonji, putative, expressed",LOC_Os02g01940.1
north_sites,Gulf_and_Midwest,crain_1d,Chr01K,0.83,Pavir.1KG008000,69,0.07338880697808511,AT1G11950.1,NA,Transcription factor jumonji (jmjC) domain-containing protein,"transcription factor jumonji, putative, expressed",LOC_Os02g01940.1
north_sites,Gulf,crain_1d,Chr01K,1.08,Pavir.1KG011100,1858,0.004892833446441803,AT1G08090.1,"ACH1,ATNRT2.1,ATNRT2:1,LIN1,NRT2,NRT2.1,NRT2:1,NRT2;1AT",nitrate transporter 2:1,"transporter, major facilitator family, putative, expressed",LOC_Os02g02190.1
north_sites,Gulf,GR50,Chr01K,1.18,Pavir.1KG021993,46,0.03698711955853526,AT4G38180.1,FRS5,FAR1-related sequence 5,"transposon protein, putative, unclassified, expressed",LOC_Os06g42420.1
north_sites,Gulf,GR50,Chr01K,1.18,Pavir.1KG021993,59,0.03882188903156647,AT4G38180.1,FRS5,FAR1-related sequence 5,"transposon protein, putative, unclassified, expressed",LOC_Os06g42420.1
north_sites,Gulf,crain_1d,Chr01K,1.21,Pavir.1KG021100,4357,0.012825953726087415,AT1G20630.1,CAT1,catalase 1,"catalase isozyme A, putative, expressed",LOC_Os02g02400.1
