Chr,Pos_lo,Pos_hi,inQTLandBF,inBF,notinBF,inQTL,pvalue,subpop,lod,lodcolumn,pos
Chr02K,63660000,65440000,3,310,63057,182,0.012594806755003457,Midwest,21.2654309582329,FL50,81.9047066
Chr02N,58070000,61270000,1,358,35377,124,0.3531699524319676,Both,33.7544827005477,FL50,73.0648032
Chr03K,17930000,26170000,2,505,49985,379,0.7321568489489012,Gulf,19.5392664215303,FL50,48.8646253
Chr03K,17930000,26170000,2,310,63057,427,0.34751667822611787,Midwest,19.5392664215303,FL50,48.8646253
Chr03K,17930000,26170000,1,358,35377,248,0.7121228303299592,Both,19.5392664215303,FL50,48.8646253
Chr04K,2280000,5500000,1,505,49985,211,0.6250761402534624,Gulf,24.837176660298798,FL50,7.7621614
Chr04K,2280000,5500000,1,310,63057,241,0.33005059754152055,Midwest,24.837176660298798,FL50,7.7621614
Chr04K,2280000,5500000,1,358,35377,144,0.42384805561347716,Both,24.837176660298798,FL50,7.7621614
Chr05N,2040000,4330000,1,505,49985,195,0.5822309777437396,Gulf,28.7121631796921,FL50,6.0730412
Chr05N,2040000,4330000,2,358,35377,121,0.12200185865521257,Both,28.7121631796921,FL50,6.0730412
Chr05N,63830000,65980000.00000001,4,505,49985,162,0.023928820589584482,Gulf,33.3958125894174,dyln_change_sec_2d_prior,85.8462548
Chr05N,63830000,65980000.00000001,4,358,35377,108,0.004715736575008206,Both,33.3958125894174,dyln_change_sec_2d_prior,85.8462548
Chr08N,13470000,34420000,18,505,49985,684,7.588984757534036e-5,Gulf,18.1367881167826,FL50,17.3886695
Chr08N,13470000,34420000,3,310,63057,894,0.6382316692036212,Midwest,18.1367881167826,FL50,17.3886695
Chr08N,13470000,34420000,3,358,35377,431,0.6286578832857537,Both,18.1367881167826,FL50,17.3886695
Chr09K,13100000,17670000,2,505,49985,240,0.43118484507827903,Gulf,15.8795601088049,FL50,41.5810369
Chr09K,13100000,17670000,2,310,63057,333,0.22368674581909542,Midwest,15.8795601088049,FL50,41.5810369
Chr09K,13100000,17670000,2,358,35377,157,0.20884668715118657,Both,15.8795601088049,FL50,41.5810369
