sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
tx_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,0.5,Pavir.1KG003701,757,1.9417700895480453e-4,NA,NA,NA,NA,NA
tx_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,0.54,Pavir.1KG004300,793,6.843299651472034e-4,AT1G31930.3,XLG3,extra-large GTP-binding protein 3,"G-protein alpha subunit, putative, expressed",LOC_Os11g10050.1
tx_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,0.55,Pavir.1KG004300,8962,7.372518562297e-4,AT1G31930.3,XLG3,extra-large GTP-binding protein 3,"G-protein alpha subunit, putative, expressed",LOC_Os11g10050.1
tx_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,0.55,Pavir.1KG004400,5607,2.3754320067940923e-4,AT5G46940.1,NA,Plant invertase/pectin methylesterase inhibitor superfamily protein,"invertase/pectin methylesterase inhibitor family protein, putative, expressed",LOC_Os02g01300.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr01K,0.69,Pavir.1KG006200,1598,0.056059227046464585,AT1G54220.1,NA,"Dihydrolipoamide acetyltransferase, long form protein","2-oxo acid dehydrogenases acyltransferase domain containing protein, expressed",LOC_Os07g22720.2
tx_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,1.56,Pavir.1KG016800,6488,0.00821115157624505,AT1G76250.1,NA,NA,expressed protein,LOC_Os02g02730.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr01K,1.6,Pavir.1KG015800,164,0.06503743754076138,AT2G17033.1,NA,pentatricopeptide (PPR) repeat-containing protein,"PPR repeat domain containing protein, putative, expressed",LOC_Os02g02770.1
tx_sites,Gulf,cgdd_12c_10d,Chr01K,2.62,Pavir.1KG034550,202,0.010684529244552713,NA,NA,NA,NA,NA
tx_sites,Midwest,crain_1d,Chr01K,2.79,Pavir.1KG023400,5670,1.8419696503069134e-4,NA,NA,NA,NA,NA
tx_sites,Gulf,crain_1d,Chr01K,3.2,Pavir.1KG058100,815,0.03486779428552199,AT4G23230.1,CRK15,cysteine-rich RLK (RECEPTOR-like protein kinase) 15,"cysteine-rich receptor-like protein kinase 12 precursor, putative, expressed",LOC_Os04g30030.1
tx_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,3.37,Pavir.1KG042531,393,0.00391326565895201,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
tx_sites,Gulf,crain_gr2fl,Chr01K,3.37,Pavir.1KG042531,393,0.045745729045120434,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
tx_sites,Gulf,crain_gr2fl,Chr01K,3.37,Pavir.1KG042531,398,0.0848352120492155,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
tx_sites,Gulf_and_Midwest,FL50,Chr01K,3.37,Pavir.1KG042531,393,0.009794306868946272,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
tx_sites,Gulf,crain_1d,Chr01K,5.67,Pavir.1KG080870,639,0.03205614097628007,AT3G21150.1,BBX32,B-box 32,"B-box zinc finger family protein, putative, expressed",LOC_Os02g07930.1
tx_sites,Gulf,crain_1d,Chr01K,5.93,Pavir.1KG080400,688,0.004220110827108237,AT1G02065.1,SPL8,squamosa promoter binding protein-like 8,"OsSPL5 - SBP-box gene family member, expressed",LOC_Os02g08070.1
tx_sites,Gulf,crain_1d,Chr01K,6.31,Pavir.1KG085600,2198,0.0023200120196633766,AT4G31860.1,NA,Protein phosphatase 2C family protein,"protein phosphatase 2C, putative, expressed",LOC_Os02g08364.1
tx_sites,Gulf,crain_1d,Chr01K,6.31,Pavir.1KG085600,2220,0.008952092670473382,AT4G31860.1,NA,Protein phosphatase 2C family protein,"protein phosphatase 2C, putative, expressed",LOC_Os02g08364.1
tx_sites,Gulf,crain_1d,Chr01K,6.31,Pavir.1KG085600,2278,0.0037835517267991396,AT4G31860.1,NA,Protein phosphatase 2C family protein,"protein phosphatase 2C, putative, expressed",LOC_Os02g08364.1
