"","lodindex","lodcolumn","chr","pos","lod","ci_lo","ci_hi","flank_lo","flank_hi"
"1",1,"GR50","8K",28.9380806,18.9722320211279,26.5342801,30.1241839,"Chr08K_38.790496","Chr08K_41.433486"
"2",3,"dyln_change_sec","5N",85.8462548,22.5378973659885,83.4477126,86.8593248,"Chr05N_63.832578","Chr05N_65.255869"
"3",3,"dyln_change_sec","9N",39.2630919,19.3833323029659,32.2312576,40.3415146,"Chr09N_15.146515","Chr09N_19.547488"
"4",5,"FL50","2K",81.9047066,21.2654309582329,80.3863334,85.550016,"Chr02K_63.664705","Chr02K_65.437876"
"5",5,"FL50","2N",73.0648032,33.7544827005477,70.709171,80.7813049,"Chr02N_58.072303","Chr02N_61.274395"
"6",5,"FL50","3K",48.8646253,19.5392664215303,38.2706837,49.9889913,"Chr03K_17.929351","Chr03K_26.170048"
"7",5,"FL50","4K",7.7621614,24.8371766602988,1.3470216,9.964211,"Chr04K_2.280313","Chr04K_5.499253"
"8",5,"FL50","5N",6.0730412,28.7121631796921,1.3736633,9.3282408,"Chr05N_2.041849","Chr05N_4.328965"
"9",5,"FL50","5N",85.8462548,30.474957334926,77.7184594,87.8683268,"Chr05N_58.916323","Chr05N_65.981629"
"10",5,"FL50","8N",17.3886695,18.1367881167826,15.1430972,22.8897186,"Chr08N_13.466899","Chr08N_34.415808"
"11",5,"FL50","9K",41.5810369,15.8795601088049,36.8818649,43.7637801,"Chr09K_13.101589","Chr09K_17.665777"
"12",6,"dyln_change_sec_2d_prior","2K",81.9047066,20.3442654235669,80.3863334,85.550016,"Chr02K_63.664705","Chr02K_65.437876"
"13",6,"dyln_change_sec_2d_prior","2N",78.7234996,33.8107837829388,70.709171,80.7813049,"Chr02N_58.072303","Chr02N_61.274395"
"14",6,"dyln_change_sec_2d_prior","3K",39.4017978,20.2696618109005,38.2706837,49.9889913,"Chr03K_17.929351","Chr03K_26.170048"
"15",6,"dyln_change_sec_2d_prior","4K",7.7621614,27.8582529824491,1.3470216,9.964211,"Chr04K_2.280313","Chr04K_5.499253"
"16",6,"dyln_change_sec_2d_prior","5N",6.0730412,30.2736449218999,1.3736633,9.3282408,"Chr05N_2.041849","Chr05N_4.328965"
"17",6,"dyln_change_sec_2d_prior","5N",85.8462548,33.3958125894174,83.4477126,87.8683268,"Chr05N_63.832578","Chr05N_65.981629"
"18",6,"dyln_change_sec_2d_prior","8N",17.3886695,17.3668248623056,9.5563394,22.8897186,"Chr08N_9.505189","Chr08N_34.415808"
"19",6,"dyln_change_sec_2d_prior","9K",41.5810369,15.4093702241378,36.8818649,43.7637801,"Chr09K_13.101589","Chr09K_17.665777"
